SampleID,Group,Class,LipidName,Adduct,Formula,RT,MZ,Score,Intensity,Batch,Platform
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
,,,,,,,,,,batch1,untargeted
