feature_id	lipidName	LipidIon	Class	CalcMz	logFC	AveExpr	t	P.Value	adj.P.Val	B	sig_FDR_0.05	sig_FDR_0.05_logFC1
CL(15:0_16:0_20:0_20:4) | CL(15:0_16:0_20:0_20:4)-2H | 720.5023	CL(15:0_16:0_20:0_20:4)	CL(15:0_16:0_20:0_20:4)-2H	CL	720.502314	1.284638285187021	24.275941063920662	2.8002584408995572	0.023187557723733897	0.514582896612364	-4.475001095442043	FALSE	FALSE
CL(16:0_16:0_16:0_16:0) | CL(16:0_16:0_16:0_16:0)-H | 1351.9650	CL(16:0_16:0_16:0_16:0)	CL(16:0_16:0_16:0_16:0)-H	CL	1351.964955	-3.476682692986004	19.908325366888473	-3.1188759520328575	0.016869093653486995	0.514582896612364	-4.484980207511146	FALSE	FALSE
CL(17:1_18:1_18:2_18:1) | CL(17:1_18:1_18:2_18:1)-H | 1439.9963	CL(17:1_18:1_18:2_18:1)	CL(17:1_18:1_18:2_18:1)-H	CL	1439.996255	-0.06043017876638686	19.996211365549	-0.054000694012424626	0.9582587309213507	0.9957568449572634	-4.6305979256629595	FALSE	FALSE
CL(17:1_18:2_18:1_18:2) | CL(17:1_18:2_18:1_18:2)-H | 1437.9806	CL(17:1_18:2_18:1_18:2)	CL(17:1_18:2_18:1_18:2)-H	CL	1437.980605	-0.6205297485146901	21.16330749820949	-1.0925637884493329	0.3107523938754103	0.667353501601291	-4.590968910209677	FALSE	FALSE
CL(17:1_18:2_18:2_18:2) | CL(17:1_18:2_18:2_18:2)-H | 1435.9650	CL(17:1_18:2_18:2_18:2)	CL(17:1_18:2_18:2_18:2)-H	CL	1435.964955	-0.036932316937734806	20.40386643097181	-0.0981338015067278	0.9231253635444652	0.9831660375961376	-4.6590095953465065	FALSE	FALSE
CL(18:1_16:0_16:0_18:1) | CL(18:1_16:0_16:0_18:1)-H | 1403.9963	CL(18:1_16:0_16:0_18:1)	CL(18:1_16:0_16:0_18:1)-H	CL	1403.996255	0.47686606010467003	21.169898728915065	1.3940300391731923	0.20080654351086627	0.6020403963325379	-4.569874530646648	FALSE	FALSE
CL(18:1_18:1_16:0_18:2) | CL(18:1_18:1_16:0_18:2)-H | 1427.9963	CL(18:1_18:1_16:0_18:2)	CL(18:1_18:1_16:0_18:2)-H	CL	1427.996255	0.6508294161448368	22.76450125319893	0.5472513203482641	0.5991353259461367	0.8531166054233035	-4.61954004329775	FALSE	FALSE
CL(18:1_18:1_18:2_20:4)-H | CL(18:1_18:1_18:2_20:4)-H | 1475.9963	CL(18:1_18:1_18:2_20:4)-H	CL(18:1_18:1_18:2_20:4)-H	CL	1475.996255	-3.7162798358850258	25.470665962216	-2.5126592517200264	0.036219300168317425	0.514582896612364	-4.492223652853984	FALSE	FALSE
CL(18:2_14:0_16:1_18:1) | CL(18:2_14:0_16:1_18:1)-H | 1371.9337	CL(18:2_14:0_16:1_18:1)	CL(18:2_14:0_16:1_18:1)-H	CL	1371.933655	-1.4118388137390274	20.99727699507277	-2.764274906953345	0.02792198207701957	0.514582896612364	-4.49964762469225	FALSE	FALSE
CL(18:2_16:0_16:1_18:1) | CL(18:2_16:0_16:1_18:1)-H | 1399.9650	CL(18:2_16:0_16:1_18:1)	CL(18:2_16:0_16:1_18:1)-H	CL	1399.964955	0.9147841537139957	21.523225291822783	1.3867913992828538	0.20292031098775304	0.6020403963325379	-4.570385981041305	FALSE	FALSE
