feature_id	lipidName	LipidIon	Class	CalcMz	logFC	AveExpr	t	P.Value	adj.P.Val	B	sig_FDR_0.05	sig_FDR_0.05_logFC1
AEA(12:0) | AEA(12:0)+H | 244.2271	AEA(12:0)	AEA(12:0)+H	AEA	244.22710547000003	0.06044337472364522	27.36597934801191	0.10266362623909202	0.9207566099935605	0.9812622969265301	-4.951385651509292	FALSE	FALSE
AEA(15:1) | AEA(15:1)+NH4 | 301.2850	AEA(15:1)	AEA(15:1)+NH4	AEA	301.28495447000006	0.9757621202436146	26.838806259355387	1.3805827404736823	0.2047487098685599	0.6850404571681388	-4.487179280443061	FALSE	FALSE
AcCa(14:0) | AcCa(14:0)+H | 372.3108	AcCa(14:0)	AcCa(14:0)+H	AcCa	372.3108355	0.13581953616400338	25.64150520949084	0.45353016316548556	0.654241244250408	0.8950146209061839	-5.226324855061636	FALSE	FALSE
AcCa(14:1) | AcCa(14:1)+H | 370.2952	AcCa(14:1)	AcCa(14:1)+H	AcCa	370.2951854700001	0.3573237283113481	23.047307214009855	0.793929064934998	0.4388534858387324	0.7895473913373791	-4.940125159685118	FALSE	FALSE
AcCa(15:0) | AcCa(15:0)+H | 386.3265	AcCa(15:0)	AcCa(15:0)+H	AcCa	386.3264855	0.23537359791489088	24.180344595845007	1.0179152287765711	0.338509855974461	0.7496564334055112	-4.681844259957283	FALSE	FALSE
AcCa(16:0) | AcCa(16:0)+H | 400.3421	AcCa(16:0)	AcCa(16:0)+H	AcCa	400.3421355	0.2964720532855232	28.01009222946772	0.9638902028006086	0.34471322375023894	0.7518722098998807	-4.9484038731235	FALSE	FALSE
AcCa(16:1) | AcCa(16:1)+H | 398.3265	AcCa(16:1)	AcCa(16:1)+H	AcCa	398.3264854700001	0.18868245251280913	25.26354203478371	0.5836698590348777	0.5675799927832392	0.8591179065366619	-5.0403673951977845	FALSE	FALSE
AcCa(17:1) | AcCa(17:1)+H | 412.3421	AcCa(17:1)	AcCa(17:1)+H	AcCa	412.3421355	0.1084295291523844	22.525532150481453	0.3017843978911372	0.7667035352256674	0.9347672199979739	-5.12865736480757	FALSE	FALSE
AcCa(18:0) | AcCa(18:0)+H | 428.3734	AcCa(18:0)	AcCa(18:0)+H	AcCa	428.3734355	0.20947540491219982	25.60356730914026	0.459979621606741	0.6496708444813801	0.8931925691884013	-5.22401977233649	FALSE	FALSE
AcCa(18:1) | AcCa(18:1)+H | 426.3578	AcCa(18:1)	AcCa(18:1)+H	AcCa	426.35778547000007	0.24915175138098153	26.737912885583597	0.8128355992456993	0.42430248830576267	0.7798109215159356	-5.050328141702329	FALSE	FALSE
AcCa(18:2) | AcCa(18:2)+H | 424.3421	AcCa(18:2)	AcCa(18:2)+H	AcCa	424.3421355	0.5335807998730034	24.125084174144018	1.316159092872075	0.20055329858362603	0.6850404571681388	-4.651380524448123	FALSE	FALSE
AcCa(20:1) | AcCa(20:1)+H | 454.3891	AcCa(20:1)	AcCa(20:1)+H	AcCa	454.3890855	-0.07926671679737102	23.493074062336397	-0.3959585760967146	0.7024857317123291	0.9151508111487391	-4.909867116760639	FALSE	FALSE
AcCa(20:3) | AcCa(20:3)+H | 450.3578	AcCa(20:3)	AcCa(20:3)+H	AcCa	450.3577855	-0.17338284738348422	24.15716287963817	-0.5291945641812505	0.6039355297125099	0.8733761031230736	-5.061646708307513	FALSE	FALSE
AcCa(20:4) | AcCa(20:4)+H | 448.3421	AcCa(20:4)	AcCa(20:4)+H	AcCa	448.3421355	0.26549953411073846	23.64549138451631	1.175645452560453	0.2735344109942996	0.7189702710147853	-4.601115090763198	FALSE	FALSE
CL(15:0_16:0_20:0_20:4) | CL(15:0_16:0_20:0_20:4)-2H | 720.5023	CL(15:0_16:0_20:0_20:4)	CL(15:0_16:0_20:0_20:4)-2H	CL	720.502314	1.284638285187021	24.275941063920662	2.876307716152893	0.020627154866711402	0.6589799408539474	-3.595867390393174	FALSE	FALSE
CL(17:1_18:1_18:2_18:1) | CL(17:1_18:1_18:2_18:1)-H | 1439.9963	CL(17:1_18:1_18:2_18:1)	CL(17:1_18:1_18:2_18:1)-H	CL	1439.996255	-0.06043017876638686	19.996211365549	-0.054239037753620795	0.958074699469182	0.9911290539589672	-4.953573531665835	FALSE	FALSE
CL(17:1_18:2_18:2_18:2) | CL(17:1_18:2_18:2_18:2)-H | 1435.9650	CL(17:1_18:2_18:2_18:2)	CL(17:1_18:2_18:2_18:2)-H	CL	1435.964955	0.563041829145699	20.066397936257285	1.243524781086864	0.24887671244556722	0.7074449923657309	-4.564370801557645	FALSE	FALSE
CL(18:1_16:0_16:0_18:1) | CL(18:1_16:0_16:0_18:1)-H | 1403.9963	CL(18:1_16:0_16:0_18:1)	CL(18:1_16:0_16:0_18:1)-H	CL	1403.996255	0.47686606010467003	21.169898728915065	1.464440425689443	0.18123094202962217	0.6800287799011466	-4.438313774372452	FALSE	FALSE
CL(18:1_18:1_16:0_18:2) | CL(18:1_18:1_16:0_18:2)-H | 1427.9963	CL(18:1_18:1_16:0_18:2)	CL(18:1_18:1_16:0_18:2)-H	CL	1427.996255	0.6508294161448368	22.76450125319893	0.5493883463461755	0.5977353739844755	0.871480004974918	-4.869771799169783	FALSE	FALSE
