batch	sample_id	intensity	lipidName	LipidIon	Class	CalcMz	qc_grade	qc_sn	qc_rt	qc_height	is_qc
batch1	QC_1	563739263.1	CL(74:1)-2H	CL(74:1)-2H	CL	744.5492640299999	NA	179.97884766178734	NA	NA	TRUE
batch1	WT_4	473575829.2	CL(74:1)-2H	CL(74:1)-2H	CL	744.5492640299999	D	35695316	NA	NA	FALSE
batch1	WT_3	524719013.6	CL(74:1)-2H	CL(74:1)-2H	CL	744.5492640299999	NA	38527504	NA	NA	FALSE
batch1	WT_2	471720831.2	CL(74:1)-2H	CL(74:1)-2H	CL	744.5492640299999	NA	150.98092376002538	NA	NA	FALSE
batch1	WT_1	492625083	CL(74:1)-2H	CL(74:1)-2H	CL	744.5492640299999	NA	38484932	NA	NA	FALSE
batch1	HO_8	540923331.1	CL(74:1)-2H	CL(74:1)-2H	CL	744.5492640299999	NA	109.48488065102642	NA	NA	FALSE
batch1	HO_7	473147609.9	CL(74:1)-2H	CL(74:1)-2H	CL	744.5492640299999	NA	36240816	NA	NA	FALSE
batch1	HO_6	452744868.2	CL(74:1)-2H	CL(74:1)-2H	CL	744.5492640299999	NA	36566180	NA	NA	FALSE
batch1	HO_5	522018363.3	CL(74:1)-2H	CL(74:1)-2H	CL	744.5492640299999	NA	203.71791111856103	NA	NA	FALSE
batch1	QC_1	224649569.3	CL(74:1)-2H	CL(74:1)-2H	CL	744.5492640299999	NA	99.39895824408532	NA	NA	TRUE
batch1	WT_4	211699742	CL(74:1)-2H	CL(74:1)-2H	CL	744.5492640299999	D	86.68867309227912	NA	NA	FALSE
batch1	WT_3	226415197.2	CL(74:1)-2H	CL(74:1)-2H	CL	744.5492640299999	NA	100.04390169857388	NA	NA	FALSE
batch1	WT_2	228269343.3	CL(74:1)-2H	CL(74:1)-2H	CL	744.5492640299999	NA	21130564	NA	NA	FALSE
batch1	WT_1	193698905.8	CL(74:1)-2H	CL(74:1)-2H	CL	744.5492640299999	NA	104.88623862832584	NA	NA	FALSE
batch1	HO_8	230692954.2	CL(74:1)-2H	CL(74:1)-2H	CL	744.5492640299999	NA	125.62312633939858	NA	NA	FALSE
batch1	HO_7	202686979.2	CL(74:1)-2H	CL(74:1)-2H	CL	744.5492640299999	NA	76.43496881969047	NA	NA	FALSE
batch1	HO_6	176020342	CL(74:1)-2H	CL(74:1)-2H	CL	744.5492640299999	NA	89.493347	NA	NA	FALSE
batch1	HO_5	207834629.3	CL(74:1)-2H	CL(74:1)-2H	CL	744.5492640299999	NA	111.7036396363231	NA	NA	FALSE
batch1	QC_1	34381372.58	CL(18:2_18:2_18:2_20:4)-H	CL(18:2_18:2_18:2_20:4)-H	CL	1471.9649545300001	A	3248145.75	NA	NA	TRUE
batch1	WT_4	28809542.23	CL(18:2_18:2_18:2_20:4)-H	CL(18:2_18:2_18:2_20:4)-H	CL	1471.9649545300001	A	1.7339551062981522	NA	NA	FALSE
batch1	WT_3	17785195.73	CL(18:2_18:2_18:2_20:4)-H	CL(18:2_18:2_18:2_20:4)-H	CL	1471.9649545300001	A	1.1567440322478344	NA	NA	FALSE
