batch	sample_id	n_features_used	sample_median_pqn	sample_median_pqn_bb
batch2	HO_10	668	107751937.84194534	99539097.28376034
batch2	HO_11	670	109872563.80645996	101498089.37626375
batch2	HO_12	665	95174532.92011264	87920340.74753962
batch2	HO_9	670	104733328.31540632	96750565.83512326
batch2	QC_0	670	105246000.1234785	97224161.8557646
batch2	QC_1	670	98995715.20157428	91450272.94617268
batch2	QC_2	670	100750435.48937666	93071248.65140365
batch2	QC_3	670	100298893.87414521	92654123.48719436
batch2	WT_1	669	99641911.00241584	92047215.77590327
batch2	WT_2	667	90281306.55837923	83400075.54760891
batch2	WT_3	666	95832429.22161266	88528092.26708719
batch2	WT_5	670	91579569.41316798	84599384.95392573
batch3	HO_5	750	94819869.3587102	94819869.3587102
batch3	HO_6	750	88824357.40491964	88824357.40491964
batch3	HO_7	749	91916445.56210516	91916445.56210516
batch3	HO_8	750	99652979.2848064	99652979.2848064
batch3	QC_0	750	91198037.61445174	91198037.61445174
batch3	QC_1	750	93193065.15900749	93193065.15900749
batch3	QC_2	750	94502033.48043045	94502033.48043045
batch3	QC_3	750	92784893.70099248	92784893.70099248
batch3	WT_1	749	90853285.7510423	90853285.7510423
batch3	WT_2	749	97878147.9588989	97878147.9588989
batch3	WT_3	750	87534543.2299878	87534543.2299878
batch3	WT_4	749	90715010.1128314	90715010.1128314
batch4	HO_10	41	20083947.36842105	113712380.83726794
batch4	HO_6	43	18325545.171339564	103756564.05326197
batch4	HO_7	43	16030095.759233924	90760064.26395984
batch4	QC_1	43	15625174.825174823	88467460.99140254
batch4	QC_2	43	16655702.917771883	94302160.75332054
batch4	QC_3	43	17200000	97383891.44936167
batch4	WT_1	43	16522058.823529411	93545487.38317187
batch4	WT_3	43	16100000.000000002	91155851.87992576
batch4	WT_4	43	14744134.807557676	83479140.90778789
batch4	WT_5	43	15800137.81503287	89458075.92233229
