feature_id	lipidName	LipidIon	Class	CalcMz	n_samples_total	n_non_na_global	detect_rate_global	min_detect_rate_group	var_log	pass_global	pass_group	pass_var	keep_feature	n_batches_qc	any_keep_for_corr	qc_mean_median	qc_cv_median	qc_sn_median_median	qc_rt_sd_median
CL(15:0_16:0_20:0_20:4) | CL(15:0_16:0_20:0_20:4)-2H | 720.5023	CL(15:0_16:0_20:0_20:4)	CL(15:0_16:0_20:0_20:4)-2H	CL	720.502314	12	12	1	1	0.8484698535978263	TRUE	TRUE	TRUE	TRUE	1	FALSE	18145948.46775	0.6070562052921815	9.5511030015	0.02949011133696611
CL(16:0_16:0_16:0_16:0) | CL(16:0_16:0_16:0_16:0)-H | 1351.9650	CL(16:0_16:0_16:0_16:0)	CL(16:0_16:0_16:0_16:0)-H	CL	1351.964955	10	10	1	1	4.203745149664481	TRUE	TRUE	TRUE	TRUE	1	FALSE	3904205.922	0.33619061339552625	5.382194804	0.0140118997046569
CL(17:1_18:1_18:2_18:1) | CL(17:1_18:1_18:2_18:1)-H | 1439.9963	CL(17:1_18:1_18:2_18:1)	CL(17:1_18:1_18:2_18:1)-H	CL	1439.996255	12	12	1	1	2.004212091029979	TRUE	TRUE	TRUE	TRUE	1	FALSE	2090607.701	0.14227252404885918	3.8512303185	0.02567099530598698
CL(17:1_18:2_18:1_18:2) | CL(17:1_18:2_18:1_18:2)-H | 1437.9806	CL(17:1_18:2_18:1_18:2)	CL(17:1_18:2_18:1_18:2)-H	CL	1437.980605	10	10	1	1	0.4496831993784852	TRUE	TRUE	TRUE	TRUE	1	FALSE	4164620.876	0.0785456867490386	4.49703151	0.0115325625946701
CL(17:1_18:2_18:2_18:2) | CL(17:1_18:2_18:2_18:2)-H | 1435.9650	CL(17:1_18:2_18:2_18:2)	CL(17:1_18:2_18:2_18:2)-H	CL	1435.964955	22	22	1	1	0.35796873012972413	TRUE	TRUE	TRUE	TRUE	2	FALSE	2025514.583375	0.040944298009088484	1.756473296	0.01951479246489879
CL(18:1_16:0_16:0_18:1) | CL(18:1_16:0_16:0_18:1)-H | 1403.9963	CL(18:1_16:0_16:0_18:1)	CL(18:1_16:0_16:0_18:1)-H	CL	1403.996255	12	12	1	1	0.1709283652263897	TRUE	TRUE	TRUE	TRUE	1	FALSE	2531776.605	0.15336680125958985	1.4462723965	0.04998249693642878
CL(18:1_18:1_16:0_18:2) | CL(18:1_18:1_16:0_18:2)-H | 1427.9963	CL(18:1_18:1_16:0_18:2)	CL(18:1_18:1_16:0_18:2)-H	CL	1427.996255	12	12	1	1	3.7945316102542024	TRUE	TRUE	TRUE	TRUE	1	FALSE	10309840.67395	1.0430371026908736	3.246683973	0.02782534815595418
CL(18:1_18:1_18:2_20:4)-H | CL(18:1_18:1_18:2_20:4)-H | 1475.9963	CL(18:1_18:1_18:2_20:4)-H	CL(18:1_18:1_18:2_20:4)-H	CL	1475.996255	9	9	1	1	7.926929782296743	TRUE	TRUE	TRUE	TRUE	1	FALSE	108713420.2	NA	21.740001729578708	NA
CL(18:2_14:0_16:1_18:1) | CL(18:2_14:0_16:1_18:1)-H | 1371.9337	CL(18:2_14:0_16:1_18:1)	CL(18:2_14:0_16:1_18:1)-H	CL	1371.933655	10	10	1	1	0.675332458394105	TRUE	TRUE	TRUE	TRUE	1	FALSE	3497803.467	0.09250240325232144	3.182052636	0.03521836642056714
CL(18:2_16:0_16:1_18:1) | CL(18:2_16:0_16:1_18:1)-H | 1399.9650	CL(18:2_16:0_16:1_18:1)	CL(18:2_16:0_16:1_18:1)-H	CL	1399.964955	12	12	1	1	0.7827811565257224	TRUE	TRUE	TRUE	TRUE	1	FALSE	3730851.45875	0.2562895523344742	4.7186227044999995	0.02879091291825723
CL(18:2_16:0_18:1_16:1) | CL(18:2_16:0_18:1_16:1)-H | 1399.9650	CL(18:2_16:0_18:1_16:1)	CL(18:2_16:0_18:1_16:1)-H	CL	1399.964955	10	10	1	1	0.3290369842066714	TRUE	TRUE	TRUE	TRUE	1	TRUE	12733333.333333334	0.05571674516699675	24.89955108	0.02608320021265248
CL(18:2_16:0_18:1_18:2)-H | CL(18:2_16:0_18:1_18:2)-H | 1425.9806	CL(18:2_16:0_18:1_18:2)-H	CL(18:2_16:0_18:1_18:2)-H	CL	1425.9806045300002	9	9	1	1	112.20823316861606	TRUE	TRUE	TRUE	TRUE	1	FALSE	16752688.1	NA	1.8791912681231515	NA
CL(18:2_16:1_16:1_16:1) | CL(18:2_16:1_16:1_16:1)-H | 1369.9180	CL(18:2_16:1_16:1_16:1)	CL(18:2_16:1_16:1_16:1)-H	CL	1369.918005	10	10	1	1	0.7594475444971124	TRUE	TRUE	TRUE	TRUE	1	FALSE	2483936.2153333332	0.11123391212291477	4.99486722	0.04110150037812777
CL(18:2_16:1_16:1_18:1) | CL(18:2_16:1_16:1_18:1)-H | 1397.9493	CL(18:2_16:1_16:1_18:1)	CL(18:2_16:1_16:1_18:1)-H	CL	1397.949305	10	10	1	1	0.29905986406347185	TRUE	TRUE	TRUE	TRUE	1	FALSE	16600000	0.1389465372851903	6.161781818	0.01890326250500935
CL(18:2_16:1_16:1_18:2) | CL(18:2_16:1_16:1_18:2)-H | 1395.9337	CL(18:2_16:1_16:1_18:2)	CL(18:2_16:1_16:1_18:2)-H	CL	1395.933655	22	22	1	1	0.6623112970778967	TRUE	TRUE	TRUE	TRUE	2	FALSE	6381790.0084999995	0.04965522558558602	3.1163720337500003	0.014964430519937202
CL(18:2_16:1_18:1_16:0) | CL(18:2_16:1_18:1_16:0)-H | 1399.9650	CL(18:2_16:1_18:1_16:0)	CL(18:2_16:1_18:1_16:0)-H	CL	1399.964955	12	12	1	1	0.8682968848099178	TRUE	TRUE	TRUE	TRUE	1	FALSE	3730851.45875	0.2562895523344742	4.7186227044999995	0.02879091291825723
CL(18:2_16:1_18:1_18:2) | CL(18:2_16:1_18:1_18:2)-H | 1423.9650	CL(18:2_16:1_18:1_18:2)	CL(18:2_16:1_18:1_18:2)-H	CL	1423.964955	22	22	1	1	0.1301927231649707	TRUE	TRUE	TRUE	TRUE	2	TRUE	37504166.66666667	0.17815671265782113	9.651288546	0.01514806736219213
CL(18:2_16:1_18:2_18:1)-H | CL(18:2_16:1_18:2_18:1)-H | 1423.9650	CL(18:2_16:1_18:2_18:1)-H	CL(18:2_16:1_18:2_18:1)-H	CL	1423.9649545300001	9	9	1	1	122.95620033970448	TRUE	TRUE	TRUE	TRUE	1	FALSE	25720910.7	NA	1.9197069337341224	NA
