feature_id	lipidName	LipidIon	Class	CalcMz	n_samples_total	n_non_na_global	detect_rate_global	min_detect_rate_group	var_log	pass_global	pass_group	pass_var	keep_feature
AEA(12:0) | AEA(12:0)+H | 244.2271	AEA(12:0)	AEA(12:0)+H	AEA	244.22710547000003	9	9	1	1	0.6515442150755666	TRUE	TRUE	TRUE	TRUE
AEA(15:1) | AEA(15:1)+NH4 | 301.2850	AEA(15:1)	AEA(15:1)+NH4	AEA	301.28495447000006	9	9	1	1	1.2200277823150203	TRUE	TRUE	TRUE	TRUE
AcCa(14:0) | AcCa(14:0)+H | 372.3108	AcCa(14:0)	AcCa(14:0)+H	AcCa	372.3108355	33	33	1	1	0.5577059295187411	TRUE	TRUE	TRUE	TRUE
AcCa(14:1) | AcCa(14:1)+H | 370.2952	AcCa(14:1)	AcCa(14:1)+H	AcCa	370.2951854700001	21	21	1	1	0.7206207698246344	TRUE	TRUE	TRUE	TRUE
AcCa(15:0) | AcCa(15:0)+H | 386.3265	AcCa(15:0)	AcCa(15:0)+H	AcCa	386.3264855	12	12	1	1	0.07485887395987847	TRUE	TRUE	TRUE	TRUE
AcCa(16:0) | AcCa(16:0)+H | 400.3421	AcCa(16:0)	AcCa(16:0)+H	AcCa	400.3421355	33	33	1	1	0.5812537249439972	TRUE	TRUE	TRUE	TRUE
AcCa(16:1) | AcCa(16:1)+H | 398.3265	AcCa(16:1)	AcCa(16:1)+H	AcCa	398.3264854700001	21	21	1	1	0.41634945690692904	TRUE	TRUE	TRUE	TRUE
AcCa(17:1) | AcCa(17:1)+H | 412.3421	AcCa(17:1)	AcCa(17:1)+H	AcCa	412.3421355	21	21	1	1	0.4637046448209701	TRUE	TRUE	TRUE	TRUE
AcCa(18:0) | AcCa(18:0)+H | 428.3734	AcCa(18:0)	AcCa(18:0)+H	AcCa	428.3734355	33	33	1	1	1.3217656150026345	TRUE	TRUE	TRUE	TRUE
AcCa(18:1) | AcCa(18:1)+H | 426.3578	AcCa(18:1)	AcCa(18:1)+H	AcCa	426.35778547000007	33	33	1	1	0.5748644579577542	TRUE	TRUE	TRUE	TRUE
AcCa(18:2) | AcCa(18:2)+H | 424.3421	AcCa(18:2)	AcCa(18:2)+H	AcCa	424.3421355	33	33	1	1	1.071664851998222	TRUE	TRUE	TRUE	TRUE
AcCa(20:1) | AcCa(20:1)+H | 454.3891	AcCa(20:1)	AcCa(20:1)+H	AcCa	454.3890855	12	12	1	1	0.02875645093691115	TRUE	TRUE	TRUE	TRUE
AcCa(20:3) | AcCa(20:3)+H | 450.3578	AcCa(20:3)	AcCa(20:3)+H	AcCa	450.3577855	24	24	1	1	0.3909945802092471	TRUE	TRUE	TRUE	TRUE
AcCa(20:4) | AcCa(20:4)+H | 448.3421	AcCa(20:4)	AcCa(20:4)+H	AcCa	448.3421355	12	12	1	1	0.05479421422950576	TRUE	TRUE	TRUE	TRUE
CL(15:0_16:0_20:0_20:4) | CL(15:0_16:0_20:0_20:4)-2H | 720.5023	CL(15:0_16:0_20:0_20:4)	CL(15:0_16:0_20:0_20:4)-2H	CL	720.502314	12	12	1	1	0.8484698535978263	TRUE	TRUE	TRUE	TRUE
CL(17:1_18:1_18:2_18:1) | CL(17:1_18:1_18:2_18:1)-H | 1439.9963	CL(17:1_18:1_18:2_18:1)	CL(17:1_18:1_18:2_18:1)-H	CL	1439.996255	12	12	1	1	2.004212091029979	TRUE	TRUE	TRUE	TRUE
CL(17:1_18:2_18:2_18:2) | CL(17:1_18:2_18:2_18:2)-H | 1435.9650	CL(17:1_18:2_18:2_18:2)	CL(17:1_18:2_18:2_18:2)-H	CL	1435.964955	12	12	1	1	0.3371376473523451	TRUE	TRUE	TRUE	TRUE
CL(18:1_16:0_16:0_18:1) | CL(18:1_16:0_16:0_18:1)-H | 1403.9963	CL(18:1_16:0_16:0_18:1)	CL(18:1_16:0_16:0_18:1)-H	CL	1403.996255	12	12	1	1	0.1709283652263897	TRUE	TRUE	TRUE	TRUE
CL(18:1_18:1_16:0_18:2) | CL(18:1_18:1_16:0_18:2)-H | 1427.9963	CL(18:1_18:1_16:0_18:2)	CL(18:1_18:1_16:0_18:2)-H	CL	1427.996255	12	12	1	1	3.7945316102542024	TRUE	TRUE	TRUE	TRUE
CL(18:1_18:1_18:2_20:4)-H | CL(18:1_18:1_18:2_20:4)-H | 1475.9963	CL(18:1_18:1_18:2_20:4)-H	CL(18:1_18:1_18:2_20:4)-H	CL	1475.996255	9	9	1	1	7.926929782296743	TRUE	TRUE	TRUE	TRUE
CL(18:2_16:0_16:1_18:1) | CL(18:2_16:0_16:1_18:1)-H | 1399.9650	CL(18:2_16:0_16:1_18:1)	CL(18:2_16:0_16:1_18:1)-H	CL	1399.964955	12	12	1	1	0.7827811565257224	TRUE	TRUE	TRUE	TRUE
CL(18:2_16:0_18:1_18:2)-H | CL(18:2_16:0_18:1_18:2)-H | 1425.9806	CL(18:2_16:0_18:1_18:2)-H	CL(18:2_16:0_18:1_18:2)-H	CL	1425.9806045300002	9	9	1	1	112.20823316861606	TRUE	TRUE	TRUE	TRUE
CL(18:2_16:1_16:1_18:2) | CL(18:2_16:1_16:1_18:2)-H | 1395.9337	CL(18:2_16:1_16:1_18:2)	CL(18:2_16:1_16:1_18:2)-H	CL	1395.933655	12	12	1	1	0.0248853627543215	TRUE	TRUE	TRUE	TRUE
CL(18:2_16:1_18:1_16:0) | CL(18:2_16:1_18:1_16:0)-H | 1399.9650	CL(18:2_16:1_18:1_16:0)	CL(18:2_16:1_18:1_16:0)-H	CL	1399.964955	12	12	1	1	0.8682968848099178	TRUE	TRUE	TRUE	TRUE
CL(18:2_16:1_18:1_18:2) | CL(18:2_16:1_18:1_18:2)-H | 1423.9650	CL(18:2_16:1_18:1_18:2)	CL(18:2_16:1_18:1_18:2)-H	CL	1423.964955	12	12	1	1	0.04827026120732337	TRUE	TRUE	TRUE	TRUE
CL(18:2_16:1_18:2_18:1)-H | CL(18:2_16:1_18:2_18:1)-H | 1423.9650	CL(18:2_16:1_18:2_18:1)-H	CL(18:2_16:1_18:2_18:1)-H	CL	1423.9649545300001	9	9	1	1	122.95620033970448	TRUE	TRUE	TRUE	TRUE
CL(18:2_16:1_18:2_18:2) | CL(18:2_16:1_18:2_18:2)-H | 1421.9493	CL(18:2_16:1_18:2_18:2)	CL(18:2_16:1_18:2_18:2)-H	CL	1421.949305	24	24	1	1	23.652155700736024	TRUE	TRUE	TRUE	TRUE
CL(18:2_16:1_18:2_18:2)-H | CL(18:2_16:1_18:2_18:2)-H | 1421.9493	CL(18:2_16:1_18:2_18:2)-H	CL(18:2_16:1_18:2_18:2)-H	CL	1421.949305	9	9	1	1	6.599722072616672	TRUE	TRUE	TRUE	TRUE
CL(18:2_16:1_20:4_18:2) | CL(18:2_16:1_20:4_18:2)-H | 1445.9493	CL(18:2_16:1_20:4_18:2)	CL(18:2_16:1_20:4_18:2)-H	CL	1445.949305	12	12	1	1	1.354295757701366	TRUE	TRUE	TRUE	TRUE
CL(18:2_18:1_15:1_18:1) | CL(18:2_18:1_15:1_18:1)-H | 1411.9650	CL(18:2_18:1_15:1_18:1)	CL(18:2_18:1_15:1_18:1)-H	CL	1411.964955	12	12	1	1	0.12515455132618294	TRUE	TRUE	TRUE	TRUE
CL(18:2_18:1_16:1_16:1) | CL(18:2_18:1_16:1_16:1)-H | 1397.9493	CL(18:2_18:1_16:1_16:1)	CL(18:2_18:1_16:1_16:1)-H	CL	1397.949305	12	12	1	1	0.06568287544529425	TRUE	TRUE	TRUE	TRUE
