feature_id	lipidName	LipidIon	Class	CalcMz	n_samples_total	n_non_na_global	detect_rate_global	min_detect_rate_group	var_log	pass_global	pass_group	pass_var	keep_feature	n_batches_qc	any_keep_for_corr	qc_mean_median	qc_cv_median	qc_sn_median_median	qc_rt_sd_median
AEA(12:0) | AEA(12:0)+H | 244.2271	AEA(12:0)	AEA(12:0)+H	AEA	244.22710547000003	9	9	1	1	0.6515442150755666	TRUE	TRUE	TRUE	TRUE	1	FALSE	194431871.6	NA	20.693352346539648	NA
AEA(15:1) | AEA(15:1)+NH4 | 301.2850	AEA(15:1)	AEA(15:1)+NH4	AEA	301.28495447000006	9	9	1	1	1.2200277823150203	TRUE	TRUE	TRUE	TRUE	1	FALSE	170729465.8	NA	55.06395793481454	NA
AcCa(14:0) | AcCa(14:0)+H | 372.3108	AcCa(14:0)	AcCa(14:0)+H	AcCa	372.3108355	33	33	1	1	0.5577059295187411	TRUE	TRUE	TRUE	TRUE	3	TRUE	38189130.91	0.05554363341817811	41.289508600000005	0.00974251849711708
AcCa(14:1) | AcCa(14:1)+H | 370.2952	AcCa(14:1)	AcCa(14:1)+H	AcCa	370.2951854700001	21	21	1	1	0.7206207698246344	TRUE	TRUE	TRUE	TRUE	2	FALSE	10676742.131000001	0.11033394545991576	3.495187862987323	NA
AcCa(15:0) | AcCa(15:0)+H | 386.3265	AcCa(15:0)	AcCa(15:0)+H	AcCa	386.3264855	12	12	1	1	0.07485887395987847	TRUE	TRUE	TRUE	TRUE	1	FALSE	21100000	0.14785919692635183	5.739613589499999	NA
AcCa(16:0) | AcCa(16:0)+H | 400.3421	AcCa(16:0)	AcCa(16:0)+H	AcCa	400.3421355	33	33	1	1	0.5812537249439972	TRUE	TRUE	TRUE	TRUE	3	TRUE	206750000	0.053571728503857274	114.797928295	0.00853912563829968
AcCa(16:1) | AcCa(16:1)+H | 398.3265	AcCa(16:1)	AcCa(16:1)+H	AcCa	398.3264854700001	21	21	1	1	0.41634945690692904	TRUE	TRUE	TRUE	TRUE	2	TRUE	44579983.765	0.03511934666174193	17.24018518058052	NA
AcCa(17:1) | AcCa(17:1)+H | 412.3421	AcCa(17:1)	AcCa(17:1)+H	AcCa	412.3421355	21	21	1	1	0.4637046448209701	TRUE	TRUE	TRUE	TRUE	2	FALSE	6797899.096625	0.04867018844314085	4.204765757538995	NA
AcCa(18:0) | AcCa(18:0)+H | 428.3734	AcCa(18:0)	AcCa(18:0)+H	AcCa	428.3734355	33	33	1	1	1.3217656150026345	TRUE	TRUE	TRUE	TRUE	3	TRUE	30888895.04	0.01854285188876449	16.2295267645	0.0155429512427125
AcCa(18:1) | AcCa(18:1)+H | 426.3578	AcCa(18:1)	AcCa(18:1)+H	AcCa	426.35778547000007	33	33	1	1	0.5748644579577542	TRUE	TRUE	TRUE	TRUE	3	TRUE	100640264.5	0.04902736118220907	36.681576165	0.01132475165290601
