feature_id	lipidName	LipidIon	Class	CalcMz	n_samples_total	n_non_na_global	detect_rate_global	min_detect_rate_group	var_log	pass_global	pass_group	pass_var	keep_feature
CL(15:0_16:0_20:0_20:4) | CL(15:0_16:0_20:0_20:4)-2H | 720.5023	CL(15:0_16:0_20:0_20:4)	CL(15:0_16:0_20:0_20:4)-2H	CL	720.502314	12	12	1	1	0.8484698535978263	TRUE	TRUE	TRUE	TRUE
CL(16:0_16:0_16:0_16:0) | CL(16:0_16:0_16:0_16:0)-H | 1351.9650	CL(16:0_16:0_16:0_16:0)	CL(16:0_16:0_16:0_16:0)-H	CL	1351.964955	10	10	1	1	4.203745149664481	TRUE	TRUE	TRUE	TRUE
CL(17:1_18:1_18:2_18:1) | CL(17:1_18:1_18:2_18:1)-H | 1439.9963	CL(17:1_18:1_18:2_18:1)	CL(17:1_18:1_18:2_18:1)-H	CL	1439.996255	12	12	1	1	2.0042120910299794	TRUE	TRUE	TRUE	TRUE
CL(17:1_18:2_18:1_18:2) | CL(17:1_18:2_18:1_18:2)-H | 1437.9806	CL(17:1_18:2_18:1_18:2)	CL(17:1_18:2_18:1_18:2)-H	CL	1437.980605	10	10	1	1	0.44968319937848517	TRUE	TRUE	TRUE	TRUE
CL(17:1_18:2_18:2_18:2) | CL(17:1_18:2_18:2_18:2)-H | 1435.9650	CL(17:1_18:2_18:2_18:2)	CL(17:1_18:2_18:2_18:2)-H	CL	1435.964955	22	22	1	1	0.35796873012972413	TRUE	TRUE	TRUE	TRUE
CL(18:1_16:0_16:0_18:1) | CL(18:1_16:0_16:0_18:1)-H | 1403.9963	CL(18:1_16:0_16:0_18:1)	CL(18:1_16:0_16:0_18:1)-H	CL	1403.996255	12	12	1	1	0.1709283652263897	TRUE	TRUE	TRUE	TRUE
CL(18:1_18:1_16:0_18:2) | CL(18:1_18:1_16:0_18:2)-H | 1427.9963	CL(18:1_18:1_16:0_18:2)	CL(18:1_18:1_16:0_18:2)-H	CL	1427.996255	12	12	1	1	3.7945316102542024	TRUE	TRUE	TRUE	TRUE
CL(18:1_18:1_18:2_20:4)-H | CL(18:1_18:1_18:2_20:4)-H | 1475.9963	CL(18:1_18:1_18:2_20:4)-H	CL(18:1_18:1_18:2_20:4)-H	CL	1475.996255	9	9	1	1	7.926929782296743	TRUE	TRUE	TRUE	TRUE
CL(18:2_14:0_16:1_18:1) | CL(18:2_14:0_16:1_18:1)-H | 1371.9337	CL(18:2_14:0_16:1_18:1)	CL(18:2_14:0_16:1_18:1)-H	CL	1371.933655	10	10	1	1	0.675332458394105	TRUE	TRUE	TRUE	TRUE
CL(18:2_16:0_16:1_18:1) | CL(18:2_16:0_16:1_18:1)-H | 1399.9650	CL(18:2_16:0_16:1_18:1)	CL(18:2_16:0_16:1_18:1)-H	CL	1399.964955	12	12	1	1	0.7827811565257224	TRUE	TRUE	TRUE	TRUE
CL(18:2_16:0_18:1_16:1) | CL(18:2_16:0_18:1_16:1)-H | 1399.9650	CL(18:2_16:0_18:1_16:1)	CL(18:2_16:0_18:1_16:1)-H	CL	1399.964955	10	10	1	1	0.3290369842066714	TRUE	TRUE	TRUE	TRUE
CL(18:2_16:0_18:1_18:2)-H | CL(18:2_16:0_18:1_18:2)-H | 1425.9806	CL(18:2_16:0_18:1_18:2)-H	CL(18:2_16:0_18:1_18:2)-H	CL	1425.9806045300002	9	9	1	1	112.20823316861606	TRUE	TRUE	TRUE	TRUE
CL(18:2_16:1_16:1_16:1) | CL(18:2_16:1_16:1_16:1)-H | 1369.9180	CL(18:2_16:1_16:1_16:1)	CL(18:2_16:1_16:1_16:1)-H	CL	1369.918005	10	10	1	1	0.7594475444971124	TRUE	TRUE	TRUE	TRUE
