Class	global_sample_id	group	sum_intensity	mean_intensity	log2_mean_intensity
AEA	batch1_HO_5	HO	343968833.7972024	171984416.8986012	27.357702610761258
AEA	batch1_HO_6	HO	461359908.5574825	230679954.27874124	27.781317400661372
AEA	batch1_HO_7	HO	391661355.2670065	195830677.63350326	27.545031545505836
AEA	batch1_HO_8	HO	378047241.74014235	189023620.87007117	27.493991287634174
AEA	batch1_QC_1	NA	365161337.4	182580668.7	27.443958782652047
AEA	batch1_WT_1	WT	613388299.5648011	306694149.78240055	28.192225406432836
AEA	batch1_WT_2	WT	115098219.87936005	57549109.939680025	25.77829027987507
AEA	batch1_WT_3	WT	327878248.2253934	163939124.1126967	27.288584954156317
AEA	batch1_WT_4	WT	206287568.2159201	103143784.10796005	26.620081639879007
AcCa	batch1_HO_5	HO	476611598.3420161	59576449.79275201	25.82823881903439
AcCa	batch1_HO_6	HO	488100631.8731666	61012578.98414583	25.862603378479964
AcCa	batch1_HO_7	HO	489392345.1519843	61174043.143998034	25.866416294726196
AcCa	batch1_HO_8	HO	441944279.2610244	55243034.90762805	25.719289243871106
AcCa	batch1_QC_1	NA	393440331.868	49180041.4835	25.5515696160633
AcCa	batch1_WT_1	WT	271638450.6226495	33954806.32783119	25.017112467681372
AcCa	batch1_WT_2	WT	371282919.6220834	46410364.95276042	25.467943706547672
AcCa	batch1_WT_3	WT	483588808.99215424	60448601.12401928	25.849205617833327
AcCa	batch1_WT_4	WT	481066688.5960163	60133336.07450204	25.84166166273609
AcCa	batch2_HO_10	HO	1375177555.8415854	114598129.65346543	26.772008257280206
AcCa	batch2_HO_11	HO	1598747537.239369	133228961.4366141	26.989332490001246
AcCa	batch2_HO_12	HO	1287344670.1990862	107278722.51659052	26.67678872183096
AcCa	batch2_HO_9	HO	1254995920.732553	104582993.3943794	26.640073028079826
AcCa	batch2_QC_0	NA	1161795330.7727716	96816277.56439762	26.528746290091554
AcCa	batch2_QC_1	NA	1229681533.4749038	102473461.12290868	26.610675083816485
AcCa	batch2_QC_2	NA	1183608062.2223728	98634005.18519774	26.555581781953038
AcCa	batch2_QC_3	NA	1179047855.1117408	98253987.92597842	26.550012628776408
AcCa	batch2_WT_1	WT	828733614.3640774	69061134.53033978	26.04137069906678
AcCa	batch2_WT_2	WT	1037147359.6184373	86428946.63486977	26.365011242485796
AcCa	batch2_WT_3	WT	1174907529.1345286	97908960.76121072	26.544937567494713
AcCa	batch2_WT_5	WT	1068071582.6074079	89005965.217284	26.407398693560236
AcCa	batch3_HO_5	HO	445013497.2970142	74168916.21616903	26.144311352183006
AcCa	batch3_HO_6	HO	236952224.09440687	39492037.34906781	25.235058460917873
AcCa	batch3_HO_7	HO	358929169.6009334	59821528.266822234	25.834161431820313
AcCa	batch3_HO_8	HO	371074958.61221623	61845826.43536937	25.882172904778514
AcCa	batch3_QC_0	NA	354992361.32818377	59165393.5546973	25.818250239635894
AcCa	batch3_QC_1	NA	368866264.3531699	61477710.72552831	25.87356010792568
AcCa	batch3_QC_2	NA	360107748.74394715	60017958.12399119	25.838890901933148
AcCa	batch3_QC_3	NA	364249607.44993573	60708267.90832263	25.85538967588283
AcCa	batch3_WT_1	WT	360288160.6436897	60048026.77394828	25.83961350281171
AcCa	batch3_WT_2	WT	439296451.6223972	73216075.27039951	26.125657104615982
AcCa	batch3_WT_3	WT	343618033.5985356	57269672.266422614	25.771268011677368
AcCa	batch3_WT_4	WT	236955164.3114302	39492527.385238364	25.235076362459917
CL	batch1_HO_5	HO	4768063646.086637	55442600.53589112	25.724491592903206
CL	batch1_HO_6	HO	4727184171.160023	54967257.8041863	25.712069172494246
CL	batch1_HO_7	HO	5320476082.773533	61866000.96248295	25.88264344492151
CL	batch1_HO_8	HO	4487852528.834226	52184331.73063053	25.637113368944114
CL	batch1_QC_1	NA	5873203379.2468	68293062.5493814	26.025235696109903
CL	batch1_WT_1	WT	4850227787.211569	56397997.52571591	25.749140603236224
CL	batch1_WT_2	WT	6734258625.271165	78305332.85199028	26.22260722737451
CL	batch1_WT_3	WT	6340470854.141247	73726405.28071217	26.135678080612742
CL	batch1_WT_4	WT	5957881425.549627	69277690.9947631	26.045887510472532
CL	batch2_HO_10	HO	429385927.3538889	9985719.240788113	23.251434913643354
CL	batch2_HO_11	HO	483285073.7576785	11239187.761806477	23.422034442265584
CL	batch2_HO_12	HO	553818538.8875136	12879500.904360786	23.61857335263664
CL	batch2_HO_9	HO	448792988.52540195	10437046.24477679	23.315210141353788
CL	batch2_QC_0	NA	491675553.54278946	11434315.198669523	23.446866629518105
CL	batch2_QC_1	NA	473084740.1392664	11001970.700913172	23.391258630305767
CL	batch2_QC_2	NA	465738880.23029554	10831136.749541758	23.368681328844325
CL	batch2_QC_3	NA	448938197.33846575	10440423.193917809	23.31567685575477
CL	batch2_WT_1	WT	450824359.53612924	10484287.431072772	23.32172547561359
CL	batch2_WT_2	WT	458332148.0930891	10658887.16495556	23.345553486416946
CL	batch2_WT_3	WT	459738946.46966803	10691603.406271346	23.349974892650028
CL	batch2_WT_5	WT	522722152.0062132	12156329.116423562	23.5352043037604
CL	batch3_HO_5	HO	2031177771.598596	30316086.143262636	24.853580175432448
CL	batch3_HO_6	HO	2361700760.5212827	35249265.08240719	25.071089843055795
CL	batch3_HO_7	HO	2366907441.8330812	35326976.74377733	25.074266953961306
CL	batch3_HO_8	HO	2064938825.7126966	30819982.47332383	24.877362705634173
CL	batch3_QC_0	NA	2142854758.2762566	31982906.839944124	24.930797731641146
CL	batch3_QC_1	NA	2214721547.4384775	33055545.48415638	24.9783889865154
CL	batch3_QC_2	NA	2179920473.9368944	32536126.476670064	24.955539168278616
CL	batch3_QC_3	NA	2224024954.0749326	33194402.299625866	24.984436639053165
CL	batch3_WT_1	WT	2403790459.7397265	35877469.54835412	25.096574804224066
CL	batch3_WT_2	WT	2227462241.3017545	33245705.094056044	24.986664639720885
CL	batch3_WT_3	WT	2112899801.4548316	31535817.932161666	24.910488016522283
CL	batch3_WT_4	WT	1914384439.9403315	28572902.088661663	24.768144239382952
CL	batch4_HO_10	HO	1409089648.1845353	11841089.480542317	23.497298491450852
CL	batch4_HO_6	HO	913755642.5293665	7678618.844784594	22.872415405664974
CL	batch4_HO_7	HO	1099113759.7363203	9236250.081817817	23.138875805549603
CL	batch4_QC_1	NA	1300773871.210453	10930872.867314734	23.3819052739192
CL	batch4_QC_2	NA	1017894174.6831754	8553732.560362816	23.028122670170813
CL	batch4_QC_3	NA	1114548839.2335553	9365956.63221476	23.15899492717408
CL	batch4_WT_1	WT	1252657516.5356953	10526533.752400804	23.327527118479406
CL	batch4_WT_3	WT	1746461189.9363213	14676144.45324639	23.80696967403042
CL	batch4_WT_4	WT	1053367316.3777136	8851826.188048013	23.07754369239016
CL	batch4_WT_5	WT	1000407174.7825103	8406782.98136563	23.0031224001573
Cer	batch1_HO_5	HO	5254983951.812326	114238781.5611375	26.767477256279204
Cer	batch1_HO_6	HO	5050669380.605008	109797160.44793496	26.710265503235693
