batch	sample_id	intensity	lipidName	LipidIon	Class	CalcMz	qc_grade	qc_sn	qc_rt	qc_height	is_qc
batch1	HO_5	151669843.4	AEA(12:0)	AEA(12:0)+H	AEA	244.22710547000003	NA	18.253465569545988	NA	NA	FALSE
batch1	HO_6	201925869.1	AEA(12:0)	AEA(12:0)+H	AEA	244.22710547000003	NA	7.753185644988004	NA	NA	FALSE
batch1	HO_7	285247079.5	AEA(12:0)	AEA(12:0)+H	AEA	244.22710547000003	B	42.115143172008494	NA	NA	FALSE
batch1	HO_8	75018327.07	AEA(12:0)	AEA(12:0)+H	AEA	244.22710547000003	A	8.176157040799373	NA	NA	FALSE
batch1	QC_1	194431871.6	AEA(12:0)	AEA(12:0)+H	AEA	244.22710547000003	A	20.693352346539648	NA	NA	TRUE
batch1	WT_1	303140992.9	AEA(12:0)	AEA(12:0)+H	AEA	244.22710547000003	A	34.812821035234954	NA	NA	FALSE
batch1	WT_2	75780907.07	AEA(12:0)	AEA(12:0)+H	AEA	244.22710547000003	NA	12.217608228566275	NA	NA	FALSE
batch1	WT_3	269007817.9	AEA(12:0)	AEA(12:0)+H	AEA	244.22710547000003	A	16.86816313375984	NA	NA	FALSE
batch1	WT_4	125756806.3	AEA(12:0)	AEA(12:0)+H	AEA	244.22710547000003	NA	17.169853820773433	NA	NA	FALSE
batch1	HO_5	169140100.2	AEA(15:1)	AEA(15:1)+NH4	AEA	301.28495447000006	C	22044762	NA	NA	FALSE
batch1	HO_6	173557292.6	AEA(15:1)	AEA(15:1)+NH4	AEA	301.28495447000006	NA	22880030	NA	NA	FALSE
batch1	HO_7	60376351.28	AEA(15:1)	AEA(15:1)+NH4	AEA	301.28495447000006	NA	18.886352034718257	NA	NA	FALSE
batch1	HO_8	304944364.4	AEA(15:1)	AEA(15:1)+NH4	AEA	301.28495447000006	C	264.8497566405548	NA	NA	FALSE
batch1	QC_1	170729465.8	AEA(15:1)	AEA(15:1)+NH4	AEA	301.28495447000006	C	55.06395793481454	NA	NA	TRUE
batch1	WT_1	291975442	AEA(15:1)	AEA(15:1)+NH4	AEA	301.28495447000006	C	997.9303638	NA	NA	FALSE
batch1	WT_2	34728662.66	AEA(15:1)	AEA(15:1)+NH4	AEA	301.28495447000006	C	4678386.5	NA	NA	FALSE
batch1	WT_3	60941210.8	AEA(15:1)	AEA(15:1)+NH4	AEA	301.28495447000006	NA	7328322	NA	NA	FALSE
batch1	WT_4	81978307.17	AEA(15:1)	AEA(15:1)+NH4	AEA	301.28495447000006	NA	9741722	NA	NA	FALSE
batch1	HO_5	40954514.79	AcCa(14:0)	AcCa(14:0)+H	AcCa	372.3108355	A	74.01743718225376	NA	NA	FALSE
batch1	HO_6	33440079.45	AcCa(14:0)	AcCa(14:0)+H	AcCa	372.3108355	A	21.03468183045178	NA	NA	FALSE
batch1	HO_7	34052626.38	AcCa(14:0)	AcCa(14:0)+H	AcCa	372.3108355	NA	49.23135865059193	NA	NA	FALSE
batch1	HO_8	40021314.14	AcCa(14:0)	AcCa(14:0)+H	AcCa	372.3108355	A	39.49706301734326	NA	NA	FALSE
batch1	QC_1	38189130.91	AcCa(14:0)	AcCa(14:0)+H	AcCa	372.3108355	A	54.32745465371307	NA	NA	TRUE
batch1	WT_1	28214533.34	AcCa(14:0)	AcCa(14:0)+H	AcCa	372.3108355	NA	28.325693952102203	NA	NA	FALSE
batch1	WT_2	34987194.19	AcCa(14:0)	AcCa(14:0)+H	AcCa	372.3108355	NA	33.366503595473546	NA	NA	FALSE
batch1	WT_3	46066320.67	AcCa(14:0)	AcCa(14:0)+H	AcCa	372.3108355	NA	17.286778071949172	NA	NA	FALSE
batch1	WT_4	40784114.78	AcCa(14:0)	AcCa(14:0)+H	AcCa	372.3108355	A	75.45046871391031	NA	NA	FALSE
batch1	HO_5	8236584.094	AcCa(14:1)	AcCa(14:1)+H	AcCa	370.2951854700001	NA	588769.31	NA	NA	FALSE
batch1	HO_6	5569174.656	AcCa(14:1)	AcCa(14:1)+H	AcCa	370.2951854700001	NA	667379.75	NA	NA	FALSE
batch1	HO_7	6607769.962	AcCa(14:1)	AcCa(14:1)+H	AcCa	370.2951854700001	NA	2.6484964116607097	NA	NA	FALSE
batch1	HO_8	8248210.374	AcCa(14:1)	AcCa(14:1)+H	AcCa	370.2951854700001	NA	764270.81	NA	NA	FALSE
batch1	QC_1	8128484.262	AcCa(14:1)	AcCa(14:1)+H	AcCa	370.2951854700001	NA	5.418098916974646	NA	NA	TRUE
batch1	WT_1	1155195.257	AcCa(14:1)	AcCa(14:1)+H	AcCa	370.2951854700001	A	0	NA	NA	FALSE
batch1	WT_2	8293113.069	AcCa(14:1)	AcCa(14:1)+H	AcCa	370.2951854700001	NA	2.1202201295226524	NA	NA	FALSE
