feature_id	lipidName	LipidIon	Class	CalcMz	batch3_HO_5	batch3_HO_6	batch3_HO_7	batch3_HO_8	batch3_QC_0	batch3_QC_1	batch3_QC_2	batch3_QC_3	batch3_WT_1	batch3_WT_2	batch3_WT_3	batch3_WT_4	batch4_HO_10	batch4_HO_6	batch4_HO_7	batch4_QC_1	batch4_QC_2	batch4_QC_3	batch4_WT_1	batch4_WT_3	batch4_WT_4	batch4_WT_5	batch1_HO_5	batch1_HO_6	batch1_HO_7	batch1_HO_8	batch1_QC_1	batch1_WT_1	batch1_WT_2	batch1_WT_3	batch1_WT_4	batch2_HO_10	batch2_HO_11	batch2_HO_12	batch2_HO_9	batch2_QC_0	batch2_QC_1	batch2_QC_2	batch2_QC_3	batch2_WT_1	batch2_WT_2	batch2_WT_3	batch2_WT_5
CL(15:0_16:0_20:0_20:4) | CL(15:0_16:0_20:0_20:4)-2H | 720.5023	CL(15:0_16:0_20:0_20:4)	CL(15:0_16:0_20:0_20:4)-2H	CL	720.502314	24.859616210884347	24.97287349991857	25.095731955855136	24.744819159398638	22.871302892372267	24.756515220479322	23.196275788189844	24.564062681227533	24.89542297599286	23.5506621596902	22.56287773850821	23.52552481111733	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL(16:0_16:0_16:0_16:0) | CL(16:0_16:0_16:0_16:0)-H | 1351.9650	CL(16:0_16:0_16:0_16:0)	CL(16:0_16:0_16:0_16:0)-H	CL	1351.964955	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.9907832332064	15.42513643044359	19.349028963325132	20.367402685908793	21.286392119409527	21.170745175622095	23.194680207282488	21.057993155439956	21.19667065310803	20.143984925413697	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL(17:1_18:1_18:2_18:1) | CL(17:1_18:1_18:2_18:1)-H | 1439.9963	CL(17:1_18:1_18:2_18:1)	CL(17:1_18:1_18:2_18:1)-H	CL	1439.996255	20.998295891726652	17.284970215417914	21.051294159682428	20.52942483783624	20.687087387285615	21.05889235983028	20.997608667998602	21.071817851320564	21.30202079194878	20.55576912831282	17.361805937805354	20.886109961661827	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL(17:1_18:2_18:1_18:2) | CL(17:1_18:2_18:1_18:2)-H | 1437.9806	CL(17:1_18:2_18:1_18:2)	CL(17:1_18:2_18:1_18:2)-H	CL	1437.980605	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.371192080411948	19.794256216356647	21.260708914691843	21.245816067037403	20.93406539392179	21.10968547173285	20.840176898894047	22.49336909067748	21.49736443240388	20.886084854030592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL(17:1_18:2_18:2_18:2) | CL(17:1_18:2_18:2_18:2)-H | 1435.9650	CL(17:1_18:2_18:2_18:2)	CL(17:1_18:2_18:2_18:2)-H	CL	1435.964955	20.41426019881483	20.426497781883793	20.536405565693855	20.014511856928074	20.16789660876881	20.36500059817365	20.382654435263234	20.22448648212555	20.499455453368135	18.387579862744957	20.299946193812282	19.952526576812378	20.772080830972538	19.801074350885575	20.72435378172314	20.568335592104397	20.48074517438369	20.444007806580494	21.06284287597168	21.70083426897767	20.75910053997646	20.706526326011815	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL(18:1_16:0_16:0_18:1) | CL(18:1_16:0_16:0_18:1)-H | 1403.9963	CL(18:1_16:0_16:0_18:1)	CL(18:1_16:0_16:0_18:1)-H	CL	1403.996255	21.479974149002754	21.241580432433782	21.78665254324629	21.125119911186765	21.043665779835464	21.134402976072337	21.32949153445591	21.409408753069386	21.728411661398997	20.37462664641319	20.58804819979568	21.034776287843034	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL(18:1_18:1_16:0_18:2) | CL(18:1_18:1_16:0_18:2)-H | 1427.9963	CL(18:1_18:1_16:0_18:2)	CL(18:1_18:1_16:0_18:2)-H	CL	1427.996255	23.598418529731113	24.325352711019637	20.497193672932767	23.938698931401873	20.49747649331779	24.054800505382026	19.533798061932714	24.24213460088119	21.129560354145127	20.22902533891096	24.383349181507327	24.014411305942616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL(18:1_18:1_18:2_20:4)-H | CL(18:1_18:1_18:2_20:4)-H | 1475.9963	CL(18:1_18:1_18:2_20:4)-H	CL(18:1_18:1_18:2_20:4)-H	CL	1475.996255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.970749612514837	20.425704962706583	26.638359613354282	26.415289988518257	26.695954818170872	27.34228162323393	27.781263742863853	27.100080663333717	27.09159749120256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL(18:2_14:0_16:1_18:1) | CL(18:2_14:0_16:1_18:1)-H | 1371.9337	CL(18:2_14:0_16:1_18:1)	CL(18:2_14:0_16:1_18:1)-H	CL	1371.933655	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.853982215494288	19.98225874533338	20.735294915123745	20.809298333455136	20.7574507431442	20.964756331073712	21.737532824886507	22.676968999818925	20.65840174793799	21.33649951691455	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL(18:2_16:0_16:1_18:1) | CL(18:2_16:0_16:1_18:1)-H | 1399.9650	CL(18:2_16:0_16:1_18:1)	CL(18:2_16:0_16:1_18:1)-H	CL	1399.964955	22.190871235514997	21.868900162372825	22.219302203460558	21.64339587337075	21.39337676942614	22.110090602949697	21.54809447277745	22.00533491545986	21.84560802112471	18.9128266197398	21.808611477619486	21.69628674137915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL(18:2_16:0_18:1_16:1) | CL(18:2_16:0_18:1_16:1)-H | 1399.9650	CL(18:2_16:0_18:1_16:1)	CL(18:2_16:0_18:1_16:1)-H	CL	1399.964955	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.20062634202297	21.810414549247973	22.656770164654873	22.756716737767146	22.606412035638705	22.768196233039465	23.05963026186502	24.032970897706473	22.655427216353736	22.698456445888144	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL(18:2_16:0_18:1_18:2)-H | CL(18:2_16:0_18:1_18:2)-H | 1425.9806	CL(18:2_16:0_18:1_18:2)-H	CL(18:2_16:0_18:1_18:2)-H	CL	1425.9806045300002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	21.11525038953459	23.45236620543532	23.997889356190893	25.159263593566404	23.59308825365516	25.282452277957212	24.443013879740455	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL(18:2_16:1_16:1_16:1) | CL(18:2_16:1_16:1_16:1)-H | 1369.9180	CL(18:2_16:1_16:1_16:1)	CL(18:2_16:1_16:1_16:1)-H	CL	1369.918005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.674156318828857	20.387396693554805	20.632447553319096	20.216496875608232	20.3981511054442	20.428680930181095	21.177940978328998	22.18426509452998	20.760398199936617	20.70832387317962	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
