feature_id	lipidName	LipidIon	Class	CalcMz	batch1_HO_5	batch1_HO_6	batch1_HO_7	batch1_HO_8	batch1_QC_1	batch1_WT_1	batch1_WT_2	batch1_WT_3	batch1_WT_4	batch2_HO_10	batch2_HO_11	batch2_HO_12	batch2_HO_9	batch2_QC_0	batch2_QC_1	batch2_QC_2	batch2_QC_3	batch2_WT_1	batch2_WT_2	batch2_WT_3	batch2_WT_5	batch3_HO_5	batch3_HO_6	batch3_HO_7	batch3_HO_8	batch3_QC_0	batch3_QC_1	batch3_QC_2	batch3_QC_3	batch3_WT_1	batch3_WT_2	batch3_WT_3	batch3_WT_4
AEA(12:0) | AEA(12:0)+H | 244.2271	AEA(12:0)	AEA(12:0)+H	AEA	244.22710547000003	27.276918022618208	27.88639494287801	28.268042640384046	26.153448535614668	27.53468949384957	28.219042407721503	26.2340253045419	27.993989889750022	26.89597304058692	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AEA(15:1) | AEA(15:1)+NH4 | 301.2850	AEA(15:1)	AEA(15:1)+NH4	AEA	301.28495447000006	27.434202497874004	27.667981181143855	26.027886019745083	28.17667957914584	27.347136838773313	28.164900480406693	25.108317773791377	25.851831876570564	26.278650666165674	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AcCa(14:0) | AcCa(14:0)+H | 372.3108	AcCa(14:0)	AcCa(14:0)+H	AcCa	372.3108355	25.388078191556	25.292219403533576	25.201668536252175	25.2469740020283	25.186658790158553	24.793563888970237	25.119017889161967	25.448126094099308	25.271415823750143	26.61602439265861	27.00076256402533	26.645248325531842	26.592997734811423	26.628726075120017	26.651278055978487	26.649301154866937	26.66031703902173	25.977551227406607	26.671981848662057	26.764934184703566	26.524027416927904	25.53653899819594	24.82736240221668	25.167167091954354	24.997938088109812	25.023237402410473	25.222881760895355	25.11349729620256	25.225339322411337	25.182395428144808	25.428490204229995	25.17611653947084	24.525524751378608
AcCa(14:1) | AcCa(14:1)+H | 370.2952	AcCa(14:1)	AcCa(14:1)+H	AcCa	370.2951854700001	23.074173866829	22.70617674724727	22.83613798596459	22.968358636051978	22.95455510137807	20.183335192047213	23.042176712210235	21.98425025177451	22.75213987347199	23.412740909435744	23.784187558407655	23.27356732397838	23.752409597409617	23.43804262655373	23.696407523911827	23.615618127148384	23.857117827796685	23.534316933213685	23.88789678537398	24.150794377762708	23.414252672979146	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AcCa(15:0) | AcCa(15:0)+H | 386.3265	AcCa(15:0)	AcCa(15:0)+H	AcCa	386.3264855	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.1034128021787	24.57107833592077	24.30486338180318	24.212771059307155	24.108252366722027	24.119264500686786	24.515676637177865	24.53881607956239	24.04127688674793	24.365055970387957	24.26698738927353	23.57731094114082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AcCa(16:0) | AcCa(16:0)+H | 400.3421	AcCa(16:0)	AcCa(16:0)+H	AcCa	400.3421355	27.76941926797903	27.85697150149595	27.71810243172902	27.726325206776465	27.327852309576397	27.01617671694966	27.34105794809241	27.6080856485973	27.779822759866946	29.313289851140638	29.574753937986454	29.13764469621428	29.06921256058962	28.950654158884447	29.069682395228234	28.926141349347365	28.9428708847682	28.336237854726257	28.601592510819582	28.85480947564231	28.808330427634203	27.892548064474248	26.791591235153142	27.42496481913691	27.62511550065	27.55358935274484	27.627271986092605	27.596935537643255	27.590534841562963	27.61839525885332	27.93886336219012	27.486267436200475	26.952635034326974
AcCa(16:1) | AcCa(16:1)+H | 398.3265	AcCa(16:1)	AcCa(16:1)+H	AcCa	398.3264854700001	24.874131371444935	24.69325800995846	24.85235179780024	24.676239264549036	24.64773467183808	23.92137967598174	24.535648257108356	25.107728885555503	24.921413374832476	25.67788287591485	26.17359916920489	25.9082827405292	26.007320858919314	25.835726456226325	25.934396716665564	25.88902819671858	25.968866112472174	25.323478654113366	25.867556267714964	25.877484934041668	25.798916418870366	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AcCa(17:1) | AcCa(17:1)+H | 412.3421	AcCa(17:1)	AcCa(17:1)+H	AcCa	412.3421355	22.10561448735148	21.746925477887128	22.382987764144595	21.544662202398925	22.128070097064096	21.067087017778423	22.025489003658862	22.366590728724233	22.04333238743511	22.840688176778052	23.66786344882618	22.994908499222735	23.35432526385205	23.041792654989568	23.18289469792737	23.08725701764698	23.103587607897552	23.02446868113008	23.00407961257768	23.27326328035593	22.966228375581732	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AcCa(18:0) | AcCa(18:0)+H | 428.3734	AcCa(18:0)	AcCa(18:0)+H	AcCa	428.3734355	24.86077602516691	24.98420888577055	25.031671861627327	25.04629786987697	24.8805849746048	24.67783699707625	24.70344237904496	25.129078925468757	24.999444598326175	27.59526582558015	27.296218445562015	27.413656961672995	27.104711249246048	27.114152898317784	27.11926443141434	27.148533777552743	27.1497018758476	26.508781737464027	27.102021507802213	27.150794309987777	26.910210050023533	25.003787310064176	24.333667978837216	24.961520174144464	24.867877551607435	24.82392860045502	24.78678265909136	24.74409789002528	24.725651817338697	24.736595688813868	24.94708390798995	24.80345765367867	24.317207524533686
AcCa(18:1) | AcCa(18:1)+H | 426.3578	AcCa(18:1)	AcCa(18:1)+H	AcCa	426.35778547000007	26.68902405352792	26.74557255827808	26.9468635578114	26.3373059847228	26.584632392420673	25.6389015215002	26.395459234556498	26.971012619537863	26.82544508276843	27.721957829897853	27.978736252406353	27.76822981792963	27.716145957875096	27.593960650177067	27.65127804913448	27.656220561920545	27.559790156757316	27.27128241753472	27.403911847562078	27.63954149266741	27.552316453739085	26.351265059103515	25.61864489731847	26.345585350741267	26.130533815676582	26.077215001538104	26.05894017359398	26.058820184478407	26.100115543360243	26.023272906063973	26.272754377755728	26.091583011380024	25.274563153651208
