batch	group	axis	n_sample	mean_score	sd_score
batch1	HO	Oxidation	4	NA	NA
batch1	HO	Remodeling	4	NA	NA
batch1	HO	Supply	4	0.17860702977478532	0.34644123079238537
batch1	HO	Synthesis	4	0.017281928311265043	0.43517784651028696
batch1	HO	Transport	4	0.38476710996764785	1.184691355568426
batch1	WT	Oxidation	4	NA	NA
batch1	WT	Remodeling	4	NA	NA
batch1	WT	Supply	4	-0.17860702977478488	0.10794058066696792
batch1	WT	Synthesis	4	-0.01728192831126566	0.6080409083925468
batch1	WT	Transport	4	-0.3847671099676472	0.837685968371897
batch2	HO	Oxidation	4	NA	NA
batch2	HO	Remodeling	4	0.3058382455010211	1.0924901453168128
batch2	HO	Supply	4	-7.578320035555447e-4	0.41610582275776054
batch2	HO	Synthesis	4	-0.3301300084221688	0.8945758091340013
batch2	HO	Transport	4	0.2188290320124322	0.7844559700986125
batch2	WT	Oxidation	4	NA	NA
batch2	WT	Remodeling	4	-0.30583824550102107	0.8323263127824994
batch2	WT	Supply	4	7.578320035549618e-4	0.31968320073626816
batch2	WT	Synthesis	4	0.3301300084221682	0.7594564463367034
batch2	WT	Transport	4	-0.2188290320124317	1.3254932831362507
batch3	HO	Oxidation	4	NA	NA
batch3	HO	Remodeling	4	-0.40657538399245263	1.1937943172497345
batch3	HO	Supply	4	0.09062593249160611	0.28517287784631884
batch3	HO	Synthesis	4	-0.16909191918958447	0.34941745083468634
batch3	HO	Transport	4	0.47976644666819945	0.2030951356910535
batch3	WT	Oxidation	4	NA	NA
batch3	WT	Remodeling	4	0.40657538399245263	0.43306784964903455
batch3	WT	Supply	4	-0.09062593249160544	0.7815112048558669
batch3	WT	Synthesis	4	0.16909191918958544	1.192773436554168
batch3	WT	Transport	4	-0.4797664466682	1.3582894083842925
batch4	HO	Oxidation	3	NA	NA
batch4	HO	Remodeling	3	0.2986527580142521	1.3171917968771654
batch4	HO	Supply	3	0.24813551041733595	0.8866325160204199
batch4	HO	Synthesis	3	0.2531002072994232	0.9043722650810853
batch4	HO	Transport	3	NA	NA
batch4	WT	Oxidation	4	NA	NA
batch4	WT	Remodeling	4	-0.22398956851068907	0.7378202656412594
batch4	WT	Supply	4	-0.1861016328130018	1.2044384025673434
batch4	WT	Synthesis	4	-0.18982515547456724	1.2285368138420336
batch4	WT	Transport	4	NA	NA
