batch	indicator	mean_HO	mean_WT	diff_HO_WT	p_value	FDR
batch1	CL	4825894107.213604	5970709673.043402	-1144815565.8297977	0.05944455179353033	0.44583413845147746
batch1	CL_PG_ratio	0.3707474437934094	0.38214358237303725	-0.011396138579627846	0.6291558884505826	0.8243434725620297
batch1	CL_fraction	0.0075186720127805974	0.009177014480015117	-0.0016583424672345195	0.11287960815452841	0.5643980407726421
batch1	MLCL	0	0	0	NA	NA
batch1	MLCL_CL_ratio	0	0	0	NA	NA
batch1	PA	1242081364.5219681	1245482136.7539084	-3400772.2319402695	0.9858883287102205	0.9858883287102205
batch1	PC	538680625274.0119	541836931162.64594	-3156305888.634033	0.9181766056238441	0.9390442557516587
batch1	PE	102969095273.00204	104414537442.86523	-1445442169.8631897	0.6659631384153353	0.8243434725620297
batch1	PG	13039420494.477543	15578024226.958385	-2538603732.4808426	0.006587038981637936	0.14820837708685355
batch1	PG_PA_ratio	10.964231870676185	12.793430892486974	-1.8291990218107888	0.3339282772712616	0.7759171910581011
batch1	mito_lipid_mass	646475614654.2275	652222178278.5546	-5746563624.327026	0.849473176347007	0.900998010080306
batch1	oxCL	0	0	0	NA	NA
batch1	oxCL_CL_ratio	0	0	0	NA	NA
batch1	sum_CL	4825894107.213604	5970709673.043402	-1144815565.8297977	0.05944455179353033	0.44583413845147746
batch1	sum_MLCL	0	0	0	NA	NA
batch1	sum_PG	13039420494.477543	15578024226.958385	-2538603732.4808426	0.006587038981637936	0.14820837708685355
batch1	sum_oxCL	0	0	0	NA	NA
batch2	CL	478820632.13112074	472904401.5262749	5916230.604845822	0.8609536540767367	0.900998010080306
batch2	CL_PG_ratio	0.02497415060116784	0.022116070780926488	0.0028580798202413535	0.2699829132238311	0.759326943442025
batch2	CL_fraction	7.036328671553532e-4	6.339688370418904e-4	6.966403011346282e-5	0.32262561399083595	0.7759171910581011
batch2	MLCL	757638442.5784115	698246737.7240977	59391704.85431373	0.3448520849147116	0.7759171910581011
batch2	MLCL_CL_ratio	1.6006197419219514	1.4814505408450003	0.11916920107695117	0.5261976236818039	0.8243434725620297
batch2	PA	192076856.7065828	206839024.97118187	-14762168.264599055	0.1750201415664877	0.6349136993003176
batch2	PC	566274472001.5358	624334019869.0525	-58059547867.51672	0.03532140790388626	0.3973658389187204
batch2	PE	116969562053.96097	122679336538.48581	-5709774484.524841	0.4136070591468085	0.8092312026785384
batch2	PG	19306191545.772972	21595525379.4787	-2289333833.7057266	0.19225944852998877	0.6349136993003176
batch2	PG_PA_ratio	100.62912579740181	104.43963754857775	-3.8105117511759374	0.5950189445564193	0.8243434725620297
batch2	mito_lipid_mass	683722854687.6279	747486260809.0646	-63763406121.436646	0.020814065208826716	0.31221097813240073
batch2	oxCL	0	0	0	NA	NA
batch2	oxCL_CL_ratio	0	0	0	NA	NA
batch2	sum_CL	478820632.13112074	472904401.5262749	5916230.604845822	0.8609536540767367	0.900998010080306
batch2	sum_MLCL	757638442.5784115	698246737.7240977	59391704.85431373	0.3448520849147116	0.7759171910581011
batch2	sum_PG	19306191545.772972	21595525379.4787	-2289333833.7057266	0.19225944852998877	0.6349136993003176
batch2	sum_oxCL	0	0	0	NA	NA
batch3	CL	2206181199.9164143	2164634235.609161	41546964.30725336	0.7729380870471638	0.8695553479280593
batch3	CL_PG_ratio	0.15302083227180183	0.14763775070184357	0.005383081569958259	0.6777935218843355	0.8243434725620297
batch3	CL_fraction	0.0028236037126079727	0.002641209320606115	1.8239439200185784e-4	0.39981418549361514	0.8092312026785384
batch3	MLCL	582982104.7661877	612219457.0041964	-29237352.238008738	0.19752870644898768	0.6349136993003176
batch3	MLCL_CL_ratio	0.26641941183307005	0.2847616931282171	-0.018342281295147034	0.4542799821996829	0.8243434725620297
batch3	PA	1314242165.2886403	1154979076.3464994	159263088.94214082	0.37311399592560474	0.799529991269153
batch3	PC	638742472083.8588	677987381690.4897	-39244909606.63098	0.08443796731503826	0.47496356614709023
batch3	PE	140360067129.02853	141804029667.0623	-1443962538.0337524	0.6971589745223836	0.8255829961449279
batch3	PG	14409191659.06992	14757820282.554083	-348628623.4841633	0.5896360046261936	0.8243434725620297
batch3	PG_PA_ratio	10.964067585694712	13.481227539358386	-2.5171599536636737	0.25306473405876273	0.7591942021762882
batch3	mito_lipid_mass	781308720412.8037	821956045593.1611	-40647325180.35742	0.06959858387889427	0.44741946779289177
batch3	oxCL	0	0	0	NA	NA
batch3	oxCL_CL_ratio	0	0	0	NA	NA
batch3	sum_CL	2206181199.9164143	2164634235.609161	41546964.30725336	0.7729380870471638	0.8695553479280593
batch3	sum_MLCL	582982104.7661877	612219457.0041964	-29237352.238008738	0.19752870644898768	0.6349136993003176
batch3	sum_PG	14409191659.06992	14757820282.554083	-348628623.4841633	0.5896360046261936	0.8243434725620297
batch3	sum_oxCL	0	0	0	NA	NA
batch4	CL	2155645636.9666853	2387283208.598339	-231637571.6316538	0.606402400829398	0.8243434725620297
batch4	CL_PG_ratio	NA	NA	NA	NA	NA
batch4	CL_fraction	1	1	0	NA	NA
batch4	MLCL	5853696.490635018	4911564.7457209835	942131.7449140344	0.6645779148588706	0.8243434725620297
