batch	sample_id	group	CL	PA	PC	PE	PG	MLCL	oxCL	z_CL	z_PG	z_MLCL	z_oxCL	z_PA	z_PC	z_PE	CL_PG_ratio	MLCL_CL_ratio	oxCL_CL_ratio	sum_CL	sum_PG	sum_MLCL	sum_oxCL	PA_CL_mismatch	PA_PG_mismatch	sum_PA	PG_PA_ratio	CL_fraction	mito_lipid_mass	Membrane context_score	Oxidation_score	Remodeling_score	Supply_score	Synthesis_score	Transport_score
batch1	HO_5	HO	4768063646.086637	1481694068.8859158	591770164838.2283	106067404573.19548	12017078647.36222	0	0	-0.7480642174892121	-1.47066340544737	NA	NA	0.9860870439938421	1.3725022773544253	0.565573393028635	0.3967739403231116	0	0	4768063646.086637	12017078647.36222	0	0	1.734151261483054	2.456750449441212	1481694068.8859158	8.110364278098142	0.006786258779818744	702605633057.5104	-0.17901307868350236	0.21593214812187383	0.21593214812187383	-0.3187995082106471	-0.47044619736229876	0.9636946483150186
batch1	HO_6	HO	4727184171.160023	933054540.6466224	578768586383.0374	95526544726.89717	12595223199.528465	0	0	-0.7965863005450221	-1.0996388735908926	NA	NA	-1.2878865552031802	1.0260799189227423	-1.943965015357993	0.3753156332582496	0	0	4727184171.160023	12595223199.528465	0	0	-0.4913002546581581	-0.18824768161228755	933054540.6466224	13.498914212238617	0.006961750836131375	679022315281.0946	0.07788398592323387	-0.012001783258834465	-0.012001783258834465	0.17639541520551943	-0.11948832187647491	-0.2419465512952706
batch1	HO_7	HO	5320476082.773533	1075935437.043348	481133932867.12683	102676033623.1824	14272384220.69214	0	0	-0.09237570431475492	-0.023320018049291402	NA	NA	-0.6956809821223281	-1.5753601333147653	-0.24183471031819384	0.3727811696002335	0	0	5320476082.773533	14272384220.69214	0	0	-0.6033052778075731	-0.6723609640730367	1075935437.043348	13.265093544936493	0.009031066294139974	589130442573.0828	0.5750366272717975	-0.038923304316714966	-0.038923304316714966	0.14634999170955332	0.05301174717191657	-0.3187323977259361
batch1	HO_8	HO	4487852528.834226	1477641411.511986	503049817007.6552	107606398168.73311	13272995910.327349	0	0	-1.0806621074790141	-0.6646779251792551	NA	NA	0.9692897929746119	-0.9914193220322578	0.9319726806179686	0.3381190319920428	0	0	4487852528.834226	13272995910.327349	0	0	2.049951900453626	1.633967718153867	1477641411.511986	8.982555447431492	0.007295612141032314	615144067705.2225	0.8224217792582135	-0.4071106581099408	-0.4071106581099408	-0.2490023071530641	0.471920556446746	0.7155190355561776
batch1	WT_1	WT	4850227787.211569	974541698.3803796	553851573546.1727	106661821036.25497	14747986910.526432	0	0	-0.6505391077114998	0.2818982265649179	NA	NA	-1.1159326646494925	0.36217511830425414	0.707090400784789	0.3288738874422041	0	0	4850227787.211569	14747986910.526432	0	0	-0.46539355693799267	-1.3978308912144104	974541698.3803796	15.133253851565879	0.007289589668184549	665363622369.6393	0.1488064268870913	-0.5053142180207013	-0.5053142180207013	0.22549492562691217	0.7379683169510552	-0.5777465457073676
batch1	WT_2	WT	6734258625.271165	1491590724.3318138	520844727076.73444	99606527612.88817	16274239530.47727	0	0	1.5857200655813422	1.261371546325872	NA	NA	1.0271062051114237	-0.5172803753300665	-0.972614109715303	0.4137986670688797	0	0	6734258625.271165	16274239530.47727	0	0	-0.5586138604699185	-0.2342653412144482	1491590724.3318138	10.910660186471475	0.01073726749471343	627185513314.8937	-0.5243031933530127	0.3967718055149572	0.3967718055149572	-0.1052428060680789	-0.40049406770131357	0.017058776207623708
batch1	WT_3	WT	6340470854.141247	1394208310.7911992	556525365862.7896	106498847297.29832	15877142559.358297	0	0	1.118311837578672	1.0065343827497346	NA	NA	0.6234804617602095	0.4334173481205192	0.6682900691767641	0.39934584138403734	0	0	6340470854.141247	15877142559.358297	0	0	-0.4948313758184625	-0.38305392098952507	1394208310.7911992	11.38792706690163	0.009472371347883157	669364684014.2291	-0.6563992395639344	0.24325133589223452	0.24325133589223452	-0.03629153416180897	-0.21356341922526742	-0.06773294508271269
batch1	WT_4	WT	5957881425.549627	1121587813.512241	536126058164.8871	104890953825.01947	15412727907.471544	0	0	0.6641955343794924	0.7084960666262884	NA	NA	-0.506463301865088	-0.11011483202484797	0.28548729178332954	0.3865559335970278	0	0	5957881425.549627	15412727907.471544	0	0	-1.1706588362445804	-1.2149593684913764	1121587813.512241	13.741882465008908	0.009208829409279352	646974893415.4562	-0.2644333077398837	0.10739467417712839	0.10739467417712839	0.1610958230516151	-0.05890861440436564	-0.4901140202675325
batch2	HO_10	HO	429385927.3538889	172001031.33402926	577295411316.6317	129876870091.8139	17608331288.32995	874218844.4262542	0	-1.1035916244686104	-1.2011666210891678	1.7811328522999652	NA	-1.953941263890776	-0.43038782531543246	1.1629646171306678	0.024385384413937488	2.035974606372568	0	429385927.3538889	17608331288.32995	874218844.4262542	0	-0.8503496394221657	-0.7527746428016082	172001031.33402926	102.37340527414766	6.068187048944863e-4	707601667335.7994	0.4349400868878339	-0.28916775362568825	1.0512504158922171	0.2532317238837191	-0.30806684860750255	-0.49042628596404814
batch2	HO_11	HO	483285073.7576785	204515149.99811694	573823806032.8119	103516447384.70537	18556870701.310165	700464884.9212325	0	0.17624941398517377	-0.8003423503619844	-0.3345822856456037	NA	0.35989081927113153	-0.5133546957484816	-1.88667283083832	0.02604345751698088	1.4493824100026913	0	483285073.7576785	18556870701.310165	700464884.9212325	0	0.18364140528595777	1.1602331696331158	204515149.99811694	90.73592201595348	7.129954129852034e-4	677823538491.2749	0.19171139783004768	0.17577928382425714	-0.11397479942461712	-0.05021442667541458	-0.32842447557651266	0.4537543189084181
batch2	HO_12	HO	553818538.8875136	184874050.70238182	523599436272.344	123195480248.68803	19041501964.216885	773502409.03085506	0	1.8510741427709543	-0.5955517324203862	0.5547591477064633	NA	-1.0378467657010444	-1.7136520907084765	0.3899945894314683	0.029084813788757782	1.3966712103654615	0	553818538.8875136	19041501964.216885	773502409.03085506	0	-2.8889209084719987	-0.4422950332806582	184874050.70238182	102.99715883258658	8.555180676088776e-4	647348735059.9196	-0.24436965130112942	0.3507711932338139	0.05003579348767244	0.2419422977586846	-0.7166788348509688	-0.5527036688272511
batch2	HO_9	HO	448792988.52540195	206917194.79180318	590379234384.3556	111289450490.63661	22018062229.23489	682367631.9353042	0	-0.6427688660336268	0.6622532477151484	-0.5549434918398866	NA	0.530829738644704	-0.11770139800524622	-0.9874140587612409	0.02038294668499523	1.5204507409470853	0	448792988.52540195	22018062229.23489	682367631.9353042	0	1.1735986046783307	-0.13142350907044442	206917194.79180318	106.41001706691954	6.391992831328455e-4	702117477863.5176	0.3192519762138415	-0.13200193595740634	-0.21988456365984024	-0.09711385697521653	0.4498558695614185	0.12128736711085827
batch2	WT_1	WT	450824359.53612924	211004641.20092425	612061609897.8184	122140927294.26419	18776782710.42387	616616710.924753	0	-0.5945337425239281	-0.7074141393979254	-1.3555596004579242	NA	0.8217084408275616	0.4004792973319906	0.26799335233408156	0.024009670159619814	1.3677537557181114	0	450824359.53612924	18776782710.42387	616616710.924753	0	1.4162421833514895	1.5291225802254869	211004641.20092425	88.98753412984938	6.136558860684573e-4	734653361551.6187	0.08497925218812424	0.13618446534396178	-0.4667482711605549	-0.12483760394638255	-0.032091465225914315	0.7511892979112225
