axis	pathway	n_batch	n_batch_nonNA	mean_Z_axis	mean_z_pathway	cor_Z_axis_pathway	support_Z
Membrane context	Membrane_context_OXPHOS_supercomplex_organization	3	3	1.8263572747629875	0.12489212427024037	-0.9192413042784383	-0.9220425569016623
Membrane context	Membrane_context_mito_mass_surface_area	3	3	1.8263572747629875	0.11177548307857021	-0.877040819615707	-1.05682972797686
Oxidation	Oxidation_mito_ROS_generators	3	3	0.6166890443727248	-0.7440449494622028	0.9738251615503676	-1.2887236555835528
Oxidation	Oxidation_antioxidant_defenses	3	3	0.6166890443727248	-1.0074576228182446	-0.35688794695130993	-1.744967789193762
Remodeling	Remodeling_peroxisomal_FA_chain_editing	3	3	0.06688861151887031	1.4717536037498935	-0.09692777046903368	2.6621767406514953
Remodeling	Remodeling_TAZ_LCLAT1_acyl_chain_remodeling	3	3	0.06688861151887031	-1.003130706218104	-0.27809843123442757	1.2182739110606224
Supply	Supply_AMPK_energy_sensing	3	3	0.21832363316312386	0.1536277319567802	0.9186528320211481	1.8924557227624594
Supply	Supply_PPAR_alpha_FAO	3	3	0.21832363316312386	0.9039002391506374	0.693006633420877	0.5435803844219581
Supply	Supply_mTOR_SREBP_lipogenesis	3	3	0.21832363316312386	0.5455659958718075	0.24619783497808292	-0.09465592979790126
Synthesis	Synthesis_TF_control_of_CL_machinery	3	3	-0.497653875967946	0.22572361716946646	-0.8869688678662228	-0.3909647734057425
Synthesis	Synthesis_core_CL_synthesis_enzymes	3	3	-0.497653875967946	0.5460385573958988	-0.9313750990397959	-0.9457665243013111
Transport	Transport_PGC1a_NRF1_mito_biogenesis_import	3	3	0.7000071385226742	-0.0061901861889803	-0.16610083268231166	-0.5464588970336092
Transport	Transport_MAM_contact_sites	3	3	0.7000071385226742	-0.4349027169300425	-0.9448672582978026	-0.8445423779694942
Transport	Transport_phospholipid_transfer_proteins	3	3	0.7000071385226742	-0.19607355867214102	-0.8690636293113987	-1.2506748769198943
Transport	Transport_MICOS_cristae_morphology	3	3	0.7000071385226742	0.7155618760725402	-0.7517924252679212	-3.485657448216255
