pathway	axis	batch	n_genes	mean_LFC	sd_LFC	se_LFC	z_pathway
EphB1_AMPK_energy_sensing	EphB1_signaling	batch1	10	-0.008123907842795436	0.2265289918838396	0.071634757041473	-0.11340734830847675
EphB1_AMPK_energy_sensing	EphB1_signaling	batch2	10	0.04608988789603454	0.2094368722222321	0.06622975422439038	0.6959090885326138
EphB1_AMPK_energy_sensing	EphB1_signaling	batch3	10	0.03124987593108317	0.4102777954843568	0.12974123071233126	0.24086310696691288
EphB1_JAK_STAT_inflammatory	EphB1_signaling	batch1	16	-0.1541695352586978	0.2198830061974902	0.05497075154937255	-2.8045739036372614
EphB1_JAK_STAT_inflammatory	EphB1_signaling	batch2	16	1.0673916587811256	1.3336804459013898	0.33342011147534745	3.201341556926589
EphB1_JAK_STAT_inflammatory	EphB1_signaling	batch3	16	-2.6081489342098427	3.0004677928358854	0.7501169482089713	-3.4769897419825413
EphB1_MAPK_ERK_p38_JNK	EphB1_signaling	batch1	24	-0.004622443853296958	0.5523830593716629	0.11275471983483996	-0.04099556861183095
EphB1_MAPK_ERK_p38_JNK	EphB1_signaling	batch2	24	0.026795190625044006	0.17764569712950484	0.03626177608069077	0.7389376230612246
EphB1_MAPK_ERK_p38_JNK	EphB1_signaling	batch3	24	-0.12494772386958995	0.4618777207526771	0.09428039495031297	-1.3252779004101445
EphB1_NFkB_inflammation_ROS	EphB1_signaling	batch1	15	-0.11114717033030937	0.23535661785955075	0.06076881742598288	-1.8290165094242274
EphB1_NFkB_inflammation_ROS	EphB1_signaling	batch2	15	0.4344893039781964	1.0516581176364441	0.2715369583673192	1.6001111104383987
EphB1_NFkB_inflammation_ROS	EphB1_signaling	batch3	15	-1.3407196427768444	2.457985933609208	0.6346492390720367	-2.1125364378238296
EphB1_PGC1_NRF_mito_biogenesis	EphB1_signaling	batch1	12	-0.07206451943547801	0.17947494706276443	0.05180995449974044	-1.3909396395211857
EphB1_PGC1_NRF_mito_biogenesis	EphB1_signaling	batch2	12	0.005273483927109348	0.14699646987547332	0.042434225726264624	0.12427430539507477
EphB1_PGC1_NRF_mito_biogenesis	EphB1_signaling	batch3	12	0.10864587773550047	0.2182036780094719	0.06298997611846752	1.724812175371622
EphB1_PI3K_AKT_mTOR	EphB1_signaling	batch1	20	-0.06987863502377804	0.4160668774625467	0.09303538211923297	-0.7510974151126983
EphB1_PI3K_AKT_mTOR	EphB1_signaling	batch2	20	-0.1290900525223708	0.2971082789548837	0.066435430842109	-1.943090469739969
EphB1_PI3K_AKT_mTOR	EphB1_signaling	batch3	20	-0.14090514837875015	1.127264820685686	0.25206407676973047	-0.5590052743115475
EphB1_cytoskeleton_FAQ_Src_Rho	EphB1_signaling	batch1	23	-0.012203097904305505	0.4961264043795299	0.10344950650744102	-0.11796187643899247
EphB1_cytoskeleton_FAQ_Src_Rho	EphB1_signaling	batch2	23	0.12936035853202063	0.5324922795748803	0.11103231566547223	1.1650694462841675
EphB1_cytoskeleton_FAQ_Src_Rho	EphB1_signaling	batch3	23	0.08938145356058537	0.9595435599443398	0.20007866316403364	0.44673156121253355
EphB1_integrin_caveolae_membrane_microdomain	EphB1_signaling	batch1	12	0.10101950497260713	0.32952182733317387	0.09512475785733267	1.061968589965983
EphB1_integrin_caveolae_membrane_microdomain	EphB1_signaling	batch2	12	-0.1440604046884154	0.3535457439817918	0.10205986522936701	-1.411528462874778
EphB1_integrin_caveolae_membrane_microdomain	EphB1_signaling	batch3	12	0.021079382569936498	0.4878311512022787	0.14082472323286033	0.14968524053181162
EphB1_mito_stress_cell_death	EphB1_signaling	batch1	17	-0.012755942947491442	0.1785878995016527	0.04331392782955916	-0.2944997968710258
EphB1_mito_stress_cell_death	EphB1_signaling	batch2	17	0.31038714498430847	0.379089357099826	0.09194267416882793	3.375876847070667
EphB1_mito_stress_cell_death	EphB1_signaling	batch3	17	-0.3790483883212988	0.594856297143426	0.14427384383447944	-2.627284185733405
