M	sample_left_out	beta_M_loo	beta_M_full
EphB1_AMPK_energy_sensing	batch1_KO_1	0.19042574128888995	0.2160330105469241
EphB1_AMPK_energy_sensing	batch1_KO_2	0.33205384319583026	0.2160330105469241
EphB1_AMPK_energy_sensing	batch1_WT_1	0.2230140015942693	0.2160330105469241
EphB1_AMPK_energy_sensing	batch1_WT_2	0.218472716740566	0.2160330105469241
EphB1_AMPK_energy_sensing	batch1_WT_3	0.2198658014242051	0.2160330105469241
EphB1_AMPK_energy_sensing	batch2_KO_1	0.251377562747253	0.2160330105469241
EphB1_AMPK_energy_sensing	batch2_KO_2	0.2524249937914791	0.2160330105469241
EphB1_AMPK_energy_sensing	batch2_KO_3	-0.0742131971879621	0.2160330105469241
EphB1_AMPK_energy_sensing	batch2_KO_4	0.1856503918913968	0.2160330105469241
EphB1_AMPK_energy_sensing	batch2_WT_1	0.19689902637695578	0.2160330105469241
EphB1_AMPK_energy_sensing	batch2_WT_2	0.2131417093549087	0.2160330105469241
EphB1_AMPK_energy_sensing	batch2_WT_3	0.19839033364618527	0.2160330105469241
EphB1_AMPK_energy_sensing	batch2_WT_4	0.21823878064900226	0.2160330105469241
EphB1_AMPK_energy_sensing	batch3_KO_1	0.20894292683138643	0.2160330105469241
EphB1_AMPK_energy_sensing	batch3_KO_2	0.24498662046424316	0.2160330105469241
EphB1_AMPK_energy_sensing	batch3_KO_3	0.21336510978500994	0.2160330105469241
EphB1_AMPK_energy_sensing	batch3_WT_1	0.22832881078991502	0.2160330105469241
EphB1_AMPK_energy_sensing	batch3_WT_2	0.22741732673108356	0.2160330105469241
EphB1_AMPK_energy_sensing	batch3_WT_3	0.31972530599801957	0.2160330105469241
EphB1_cytoskeleton_FAQ_Src_Rho	batch1_KO_1	0.20761122053812703	0.2220355671369673
EphB1_cytoskeleton_FAQ_Src_Rho	batch1_KO_2	0.21420169530371813	0.2220355671369673
EphB1_cytoskeleton_FAQ_Src_Rho	batch1_WT_1	0.22447544976304964	0.2220355671369673
EphB1_cytoskeleton_FAQ_Src_Rho	batch1_WT_2	0.2567230296566634	0.2220355671369673
EphB1_cytoskeleton_FAQ_Src_Rho	batch1_WT_3	0.26437604730146425	0.2220355671369673
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_KO_1	0.22567983306420777	0.2220355671369673
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_KO_2	0.21232726053406317	0.2220355671369673
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_KO_3	0.12803480604427867	0.2220355671369673
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_KO_4	0.05973992125982414	0.2220355671369673
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_WT_1	0.22702427679019543	0.2220355671369673
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_WT_2	0.22020789961930748	0.2220355671369673
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_WT_3	0.18989822991741206	0.2220355671369673
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_WT_4	0.23454479083886648	0.2220355671369673
EphB1_cytoskeleton_FAQ_Src_Rho	batch3_KO_1	0.22599238354584028	0.2220355671369673
EphB1_cytoskeleton_FAQ_Src_Rho	batch3_KO_2	0.2008087720672175	0.2220355671369673
EphB1_cytoskeleton_FAQ_Src_Rho	batch3_KO_3	0.2673372462149342	0.2220355671369673
EphB1_cytoskeleton_FAQ_Src_Rho	batch3_WT_1	0.26959355775390353	0.2220355671369673
EphB1_cytoskeleton_FAQ_Src_Rho	batch3_WT_2	0.30247715111946416	0.2220355671369673
EphB1_cytoskeleton_FAQ_Src_Rho	batch3_WT_3	0.28261244713621325	0.2220355671369673
EphB1_integrin_caveolae_membrane_microdomain	batch1_KO_1	0.4288854302928112	0.4430092995739274
EphB1_integrin_caveolae_membrane_microdomain	batch1_KO_2	0.450099355765834	0.4430092995739274
EphB1_integrin_caveolae_membrane_microdomain	batch1_WT_1	0.4483222254203296	0.4430092995739274
EphB1_integrin_caveolae_membrane_microdomain	batch1_WT_2	0.4497946233311463	0.4430092995739274
EphB1_integrin_caveolae_membrane_microdomain	batch1_WT_3	0.49111616412480935	0.4430092995739274
EphB1_integrin_caveolae_membrane_microdomain	batch2_KO_1	0.4337040099351951	0.4430092995739274
EphB1_integrin_caveolae_membrane_microdomain	batch2_KO_2	0.45694836073819	0.4430092995739274
EphB1_integrin_caveolae_membrane_microdomain	batch2_KO_3	0.2832124914223467	0.4430092995739274
EphB1_integrin_caveolae_membrane_microdomain	batch2_KO_4	0.38775948956148665	0.4430092995739274
EphB1_integrin_caveolae_membrane_microdomain	batch2_WT_1	0.43386058346044865	0.4430092995739274
EphB1_integrin_caveolae_membrane_microdomain	batch2_WT_2	0.46324882350817354	0.4430092995739274
EphB1_integrin_caveolae_membrane_microdomain	batch2_WT_3	0.4241291827622436	0.4430092995739274
EphB1_integrin_caveolae_membrane_microdomain	batch2_WT_4	0.4748897024839118	0.4430092995739274
EphB1_integrin_caveolae_membrane_microdomain	batch3_KO_1	0.5514542739145442	0.4430092995739274
EphB1_integrin_caveolae_membrane_microdomain	batch3_KO_2	0.41074664569320657	0.4430092995739274
EphB1_integrin_caveolae_membrane_microdomain	batch3_KO_3	0.5030796793398916	0.4430092995739274
EphB1_integrin_caveolae_membrane_microdomain	batch3_WT_1	0.44478623130222034	0.4430092995739274
EphB1_integrin_caveolae_membrane_microdomain	batch3_WT_2	0.43783396243614475	0.4430092995739274
EphB1_integrin_caveolae_membrane_microdomain	batch3_WT_3	0.44526803425067574	0.4430092995739274
EphB1_JAK_STAT_inflammatory	batch1_KO_1	-0.27629966918011145	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch1_KO_2	-0.2884496301210485	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch1_WT_1	-0.31436970317889623	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch1_WT_2	-0.2900207139572749	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch1_WT_3	-0.31240707216619357	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch2_KO_1	-0.27976699143550077	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch2_KO_2	-0.29883160238628337	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch2_KO_3	-0.06535238632112197	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch2_KO_4	-0.3576639409506857	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch2_WT_1	-0.2815397660025796	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch2_WT_2	-0.3279523182153961	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch2_WT_3	-0.262893055161576	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch2_WT_4	-0.3071532827911408	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch3_KO_1	-0.29142987051747354	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch3_KO_2	-0.3370026363226913	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch3_KO_3	-0.27017578838463063	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch3_WT_1	-0.30501826519258696	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch3_WT_2	-0.3031748595067624	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch3_WT_3	-0.44588108647060043	-0.2964378372695424
EphB1_MAPK_ERK_p38_JNK	batch1_KO_1	0.21046491999243275	0.23528398007466853
EphB1_MAPK_ERK_p38_JNK	batch1_KO_2	0.23354085285965634	0.23528398007466853
EphB1_MAPK_ERK_p38_JNK	batch1_WT_1	0.2752004585673273	0.23528398007466853
EphB1_MAPK_ERK_p38_JNK	batch1_WT_2	0.2264275505012362	0.23528398007466853
EphB1_MAPK_ERK_p38_JNK	batch1_WT_3	0.3013761610244999	0.23528398007466853
EphB1_MAPK_ERK_p38_JNK	batch2_KO_1	0.22394991376463402	0.23528398007466853
EphB1_MAPK_ERK_p38_JNK	batch2_KO_2	0.22694699979195956	0.23528398007466853
EphB1_MAPK_ERK_p38_JNK	batch2_KO_3	0.14411169056208945	0.23528398007466853
EphB1_MAPK_ERK_p38_JNK	batch2_KO_4	0.14730544802130316	0.23528398007466853
EphB1_MAPK_ERK_p38_JNK	batch2_WT_1	0.2177467880809007	0.23528398007466853
EphB1_MAPK_ERK_p38_JNK	batch2_WT_2	0.23164929028266162	0.23528398007466853
EphB1_MAPK_ERK_p38_JNK	batch2_WT_3	0.139354990874873	0.23528398007466853
