M	sample_left_out	beta_M_loo	beta_M_full
EphB1_AMPK_energy_sensing	batch1_KO_1	-0.2374858652189964	-0.2664973487061121
EphB1_AMPK_energy_sensing	batch1_KO_2	-0.2249841112458396	-0.2664973487061121
EphB1_AMPK_energy_sensing	batch1_WT_1	-0.28803400239590726	-0.2664973487061121
EphB1_AMPK_energy_sensing	batch1_WT_2	-0.271239982368793	-0.2664973487061121
EphB1_AMPK_energy_sensing	batch1_WT_3	-0.22378615390653436	-0.2664973487061121
EphB1_AMPK_energy_sensing	batch2_KO_1	-0.2752488607375932	-0.2664973487061121
EphB1_AMPK_energy_sensing	batch2_KO_2	-0.28352509311615426	-0.2664973487061121
EphB1_AMPK_energy_sensing	batch2_KO_3	-0.48490419377016936	-0.2664973487061121
EphB1_AMPK_energy_sensing	batch2_KO_4	-0.3179150379175289	-0.2664973487061121
EphB1_AMPK_energy_sensing	batch2_WT_1	-0.25171306257549797	-0.2664973487061121
EphB1_AMPK_energy_sensing	batch2_WT_2	-0.2716401163302997	-0.2664973487061121
EphB1_AMPK_energy_sensing	batch2_WT_3	-0.2553860408714583	-0.2664973487061121
EphB1_AMPK_energy_sensing	batch2_WT_4	-0.28476561149488344	-0.2664973487061121
EphB1_AMPK_energy_sensing	batch3_KO_1	-0.2035732496996986	-0.2664973487061121
EphB1_AMPK_energy_sensing	batch3_KO_2	-0.23228480612820268	-0.2664973487061121
EphB1_AMPK_energy_sensing	batch3_KO_3	-0.2690461380113514	-0.2664973487061121
EphB1_AMPK_energy_sensing	batch3_WT_1	-0.2791130253897717	-0.2664973487061121
EphB1_AMPK_energy_sensing	batch3_WT_2	-0.2774121971801108	-0.2664973487061121
EphB1_AMPK_energy_sensing	batch3_WT_3	-0.15927869210052376	-0.2664973487061121
EphB1_cytoskeleton_FAQ_Src_Rho	batch1_KO_1	0.4448351752251725	0.42159505850730916
EphB1_cytoskeleton_FAQ_Src_Rho	batch1_KO_2	0.4055915718595206	0.42159505850730916
EphB1_cytoskeleton_FAQ_Src_Rho	batch1_WT_1	0.41430750493276053	0.42159505850730916
EphB1_cytoskeleton_FAQ_Src_Rho	batch1_WT_2	0.39460273708482946	0.42159505850730916
EphB1_cytoskeleton_FAQ_Src_Rho	batch1_WT_3	0.3234722566994177	0.42159505850730916
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_KO_1	0.42170969898824123	0.42159505850730916
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_KO_2	0.43611502254925955	0.42159505850730916
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_KO_3	0.4122781171408294	0.42159505850730916
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_KO_4	0.18940115303682303	0.42159505850730916
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_WT_1	0.41768254994567333	0.42159505850730916
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_WT_2	0.4341081072836438	0.42159505850730916
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_WT_3	0.4515010330697781	0.42159505850730916
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_WT_4	0.4424949086596138	0.42159505850730916
EphB1_cytoskeleton_FAQ_Src_Rho	batch3_KO_1	0.40536811245022636	0.42159505850730916
EphB1_cytoskeleton_FAQ_Src_Rho	batch3_KO_2	0.39226904654767353	0.42159505850730916
EphB1_cytoskeleton_FAQ_Src_Rho	batch3_KO_3	0.4687657212803885	0.42159505850730916
EphB1_cytoskeleton_FAQ_Src_Rho	batch3_WT_1	0.43465713212945856	0.42159505850730916
EphB1_cytoskeleton_FAQ_Src_Rho	batch3_WT_2	0.45162047351333323	0.42159505850730916
EphB1_cytoskeleton_FAQ_Src_Rho	batch3_WT_3	0.6507844661491278	0.42159505850730916
EphB1_integrin_caveolae_membrane_microdomain	batch1_KO_1	0.04035848832792921	-0.007785934042790503
EphB1_integrin_caveolae_membrane_microdomain	batch1_KO_2	-0.06559493823437491	-0.007785934042790503
EphB1_integrin_caveolae_membrane_microdomain	batch1_WT_1	-0.020347846013123616	-0.007785934042790503
EphB1_integrin_caveolae_membrane_microdomain	batch1_WT_2	0.05351615795564763	-0.007785934042790503
EphB1_integrin_caveolae_membrane_microdomain	batch1_WT_3	-0.13425825903769498	-0.007785934042790503
EphB1_integrin_caveolae_membrane_microdomain	batch2_KO_1	-0.007588933835474337	-0.007785934042790503
EphB1_integrin_caveolae_membrane_microdomain	batch2_KO_2	-0.008139590219518666	-0.007785934042790503
EphB1_integrin_caveolae_membrane_microdomain	batch2_KO_3	-0.07983273041773839	-0.007785934042790503
EphB1_integrin_caveolae_membrane_microdomain	batch2_KO_4	-0.11685445825071127	-0.007785934042790503
EphB1_integrin_caveolae_membrane_microdomain	batch2_WT_1	0.017217591811513007	-0.007785934042790503
EphB1_integrin_caveolae_membrane_microdomain	batch2_WT_2	0.009713151108679475	-0.007785934042790503
EphB1_integrin_caveolae_membrane_microdomain	batch2_WT_3	0.006450376405949683	-0.007785934042790503
EphB1_integrin_caveolae_membrane_microdomain	batch2_WT_4	0.0018904352266069326	-0.007785934042790503
EphB1_integrin_caveolae_membrane_microdomain	batch3_KO_1	0.25418070729224496	-0.007785934042790503
EphB1_integrin_caveolae_membrane_microdomain	batch3_KO_2	-0.08710890105325551	-0.007785934042790503
EphB1_integrin_caveolae_membrane_microdomain	batch3_KO_3	0.035243828708381574	-0.007785934042790503
EphB1_integrin_caveolae_membrane_microdomain	batch3_WT_1	-0.009335742753005274	-0.007785934042790503
EphB1_integrin_caveolae_membrane_microdomain	batch3_WT_2	2.3862757913841853e-4	-0.007785934042790503
EphB1_integrin_caveolae_membrane_microdomain	batch3_WT_3	0.004688827730288308	-0.007785934042790503
EphB1_JAK_STAT_inflammatory	batch1_KO_1	0.4498806452830999	0.469128990796077
EphB1_JAK_STAT_inflammatory	batch1_KO_2	0.5218172232475594	0.469128990796077
EphB1_JAK_STAT_inflammatory	batch1_WT_1	0.45955265347284396	0.469128990796077
EphB1_JAK_STAT_inflammatory	batch1_WT_2	0.4471426320539669	0.469128990796077
EphB1_JAK_STAT_inflammatory	batch1_WT_3	0.40910948920042994	0.469128990796077
EphB1_JAK_STAT_inflammatory	batch2_KO_1	0.4772907922753483	0.469128990796077
EphB1_JAK_STAT_inflammatory	batch2_KO_2	0.46945157690820466	0.469128990796077
EphB1_JAK_STAT_inflammatory	batch2_KO_3	0.7268052960278739	0.469128990796077
EphB1_JAK_STAT_inflammatory	batch2_KO_4	0.39379951093755755	0.469128990796077
EphB1_JAK_STAT_inflammatory	batch2_WT_1	0.47109171172849257	0.469128990796077
EphB1_JAK_STAT_inflammatory	batch2_WT_2	0.4626984286447919	0.469128990796077
EphB1_JAK_STAT_inflammatory	batch2_WT_3	0.452468528320488	0.469128990796077
EphB1_JAK_STAT_inflammatory	batch2_WT_4	0.4729576061005455	0.469128990796077
EphB1_JAK_STAT_inflammatory	batch3_KO_1	0.42313602587099075	0.469128990796077
EphB1_JAK_STAT_inflammatory	batch3_KO_2	0.4298782855759463	0.469128990796077
EphB1_JAK_STAT_inflammatory	batch3_KO_3	0.5039761647227238	0.469128990796077
EphB1_JAK_STAT_inflammatory	batch3_WT_1	0.47859995044671055	0.469128990796077
EphB1_JAK_STAT_inflammatory	batch3_WT_2	0.47589570263615105	0.469128990796077
EphB1_JAK_STAT_inflammatory	batch3_WT_3	0.44260709328112313	0.469128990796077
EphB1_MAPK_ERK_p38_JNK	batch1_KO_1	0.07473332798890486	0.03487211803340464
EphB1_MAPK_ERK_p38_JNK	batch1_KO_2	0.031229196443344	0.03487211803340464
EphB1_MAPK_ERK_p38_JNK	batch1_WT_1	-0.024862421819581378	0.03487211803340464
EphB1_MAPK_ERK_p38_JNK	batch1_WT_2	0.05781401695959558	0.03487211803340464
EphB1_MAPK_ERK_p38_JNK	batch1_WT_3	-0.1866753018625279	0.03487211803340464
EphB1_MAPK_ERK_p38_JNK	batch2_KO_1	0.0353146855933053	0.03487211803340464
EphB1_MAPK_ERK_p38_JNK	batch2_KO_2	0.035617751922931415	0.03487211803340464
EphB1_MAPK_ERK_p38_JNK	batch2_KO_3	0.010505926987533219	0.03487211803340464
EphB1_MAPK_ERK_p38_JNK	batch2_KO_4	-0.12193810036627664	0.03487211803340464
EphB1_MAPK_ERK_p38_JNK	batch2_WT_1	0.05879597783029965	0.03487211803340464
EphB1_MAPK_ERK_p38_JNK	batch2_WT_2	0.028800198410072492	0.03487211803340464
