M	sample_left_out	beta_M_loo	beta_M_full
EphB1_AMPK_energy_sensing	batch1_KO_1	0.38454915208975904	0.4013572620596245
EphB1_AMPK_energy_sensing	batch1_KO_2	0.5030021709160067	0.4013572620596245
EphB1_AMPK_energy_sensing	batch1_WT_1	0.4084003939549363	0.4013572620596245
EphB1_AMPK_energy_sensing	batch1_WT_2	0.41000547565169265	0.4013572620596245
EphB1_AMPK_energy_sensing	batch1_WT_3	0.3709560618938007	0.4013572620596245
EphB1_AMPK_energy_sensing	batch2_KO_1	0.4638423787258612	0.4013572620596245
EphB1_AMPK_energy_sensing	batch2_KO_2	0.4165747930696989	0.4013572620596245
EphB1_AMPK_energy_sensing	batch2_KO_3	0.3789931519856655	0.4013572620596245
EphB1_AMPK_energy_sensing	batch2_KO_4	0.41158341615058747	0.4013572620596245
EphB1_AMPK_energy_sensing	batch2_WT_1	0.3794026767596255	0.4013572620596245
EphB1_AMPK_energy_sensing	batch2_WT_2	0.4165397004627201	0.4013572620596245
EphB1_AMPK_energy_sensing	batch2_WT_3	0.3802413273889155	0.4013572620596245
EphB1_AMPK_energy_sensing	batch2_WT_4	0.346744884975141	0.4013572620596245
EphB1_AMPK_energy_sensing	batch3_KO_1	0.42150638596066514	0.4013572620596245
EphB1_AMPK_energy_sensing	batch3_KO_2	0.3628030156070588	0.4013572620596245
EphB1_AMPK_energy_sensing	batch3_KO_3	0.40065378871875923	0.4013572620596245
EphB1_AMPK_energy_sensing	batch3_WT_1	0.4182713453596389	0.4013572620596245
EphB1_AMPK_energy_sensing	batch3_WT_2	0.4101348191791256	0.4013572620596245
EphB1_AMPK_energy_sensing	batch3_WT_3	0.3406845792553413	0.4013572620596245
EphB1_cytoskeleton_FAQ_Src_Rho	batch1_KO_1	-0.32899462333041296	-0.3096063640562246
EphB1_cytoskeleton_FAQ_Src_Rho	batch1_KO_2	-0.3112327719449402	-0.3096063640562246
EphB1_cytoskeleton_FAQ_Src_Rho	batch1_WT_1	-0.309068351905744	-0.3096063640562246
