M	sample_left_out	beta_M_loo	beta_M_full
EphB1_AMPK_energy_sensing	batch1_KO_1	-0.023035059764605285	-0.0012932764795838309
EphB1_AMPK_energy_sensing	batch1_KO_2	0.06933804319285738	-0.0012932764795838309
EphB1_AMPK_energy_sensing	batch1_WT_1	0.019483780454600336	-0.0012932764795838309
EphB1_AMPK_energy_sensing	batch1_WT_2	0.004480130041053856	-0.0012932764795838309
EphB1_AMPK_energy_sensing	batch1_WT_3	-0.03827074663578351	-0.0012932764795838309
EphB1_AMPK_energy_sensing	batch2_KO_1	-0.048424702360247596	-0.0012932764795838309
EphB1_AMPK_energy_sensing	batch2_KO_2	-0.04428253398474826	-0.0012932764795838309
EphB1_AMPK_energy_sensing	batch2_KO_3	-0.3256093554131592	-0.0012932764795838309
EphB1_AMPK_energy_sensing	batch2_KO_4	0.00712483799129083	-0.0012932764795838309
EphB1_AMPK_energy_sensing	batch2_WT_1	0.06783893245588726	-0.0012932764795838309
EphB1_AMPK_energy_sensing	batch2_WT_2	0.005350778545001268	-0.0012932764795838309
EphB1_AMPK_energy_sensing	batch2_WT_3	0.0043232896156061695	-0.0012932764795838309
EphB1_AMPK_energy_sensing	batch2_WT_4	0.049707807874014145	-0.0012932764795838309
EphB1_AMPK_energy_sensing	batch3_KO_1	0.09859991046368317	-0.0012932764795838309
EphB1_AMPK_energy_sensing	batch3_KO_2	-0.020317740128959615	-0.0012932764795838309
EphB1_AMPK_energy_sensing	batch3_KO_3	-0.0033065575996611453	-0.0012932764795838309
EphB1_AMPK_energy_sensing	batch3_WT_1	0.009635500299460222	-0.0012932764795838309
EphB1_AMPK_energy_sensing	batch3_WT_2	-0.009741185560238673	-0.0012932764795838309
EphB1_AMPK_energy_sensing	batch3_WT_3	0.0942258349803889	-0.0012932764795838309
EphB1_cytoskeleton_FAQ_Src_Rho	batch1_KO_1	-0.23423178560817995	-0.2220260690253651
EphB1_cytoskeleton_FAQ_Src_Rho	batch1_KO_2	-0.2367486156167472	-0.2220260690253651
EphB1_cytoskeleton_FAQ_Src_Rho	batch1_WT_1	-0.21339317117538592	-0.2220260690253651
EphB1_cytoskeleton_FAQ_Src_Rho	batch1_WT_2	-0.17335071972597654	-0.2220260690253651
EphB1_cytoskeleton_FAQ_Src_Rho	batch1_WT_3	-0.12440265921264863	-0.2220260690253651
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_KO_1	-0.22793701862467744	-0.2220260690253651
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_KO_2	-0.19718471284789554	-0.2220260690253651
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_KO_3	-0.31732345902574305	-0.2220260690253651
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_KO_4	-0.21993982095972048	-0.2220260690253651
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_WT_1	-0.23339300012229255	-0.2220260690253651
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_WT_2	-0.17792827236253653	-0.2220260690253651
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_WT_3	-0.21468246188840043	-0.2220260690253651
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_WT_4	-0.277099096225036	-0.2220260690253651
EphB1_cytoskeleton_FAQ_Src_Rho	batch3_KO_1	-0.24586744022132467	-0.2220260690253651
EphB1_cytoskeleton_FAQ_Src_Rho	batch3_KO_2	-0.20722886989945324	-0.2220260690253651
EphB1_cytoskeleton_FAQ_Src_Rho	batch3_KO_3	-0.1967948309561958	-0.2220260690253651
EphB1_cytoskeleton_FAQ_Src_Rho	batch3_WT_1	-0.2112960813137706	-0.2220260690253651
EphB1_cytoskeleton_FAQ_Src_Rho	batch3_WT_2	-0.29813820237563265	-0.2220260690253651
EphB1_cytoskeleton_FAQ_Src_Rho	batch3_WT_3	-0.19768231968552194	-0.2220260690253651
EphB1_integrin_caveolae_membrane_microdomain	batch1_KO_1	-0.22961337702417656	-0.192052153431255
EphB1_integrin_caveolae_membrane_microdomain	batch1_KO_2	-0.24292173637052378	-0.192052153431255
EphB1_integrin_caveolae_membrane_microdomain	batch1_WT_1	-0.17901437406919585	-0.192052153431255
EphB1_integrin_caveolae_membrane_microdomain	batch1_WT_2	-0.2862873585559996	-0.192052153431255
EphB1_integrin_caveolae_membrane_microdomain	batch1_WT_3	-0.1148198797826104	-0.192052153431255
EphB1_integrin_caveolae_membrane_microdomain	batch2_KO_1	-0.17410299231273182	-0.192052153431255
EphB1_integrin_caveolae_membrane_microdomain	batch2_KO_2	-0.15637330284262144	-0.192052153431255
EphB1_integrin_caveolae_membrane_microdomain	batch2_KO_3	-0.4691809391432104	-0.192052153431255
EphB1_integrin_caveolae_membrane_microdomain	batch2_KO_4	-0.18001238691463678	-0.192052153431255
EphB1_integrin_caveolae_membrane_microdomain	batch2_WT_1	-0.13614008974446473	-0.192052153431255
EphB1_integrin_caveolae_membrane_microdomain	batch2_WT_2	-0.22030278070623036	-0.192052153431255
EphB1_integrin_caveolae_membrane_microdomain	batch2_WT_3	-0.1867104482714887	-0.192052153431255
EphB1_integrin_caveolae_membrane_microdomain	batch2_WT_4	-0.26539328634017273	-0.192052153431255
EphB1_integrin_caveolae_membrane_microdomain	batch3_KO_1	0.10098296993201628	-0.192052153431255
EphB1_integrin_caveolae_membrane_microdomain	batch3_KO_2	-0.16205067718737923	-0.192052153431255
EphB1_integrin_caveolae_membrane_microdomain	batch3_KO_3	-0.16347738657289015	-0.192052153431255
EphB1_integrin_caveolae_membrane_microdomain	batch3_WT_1	-0.19026387103011558	-0.192052153431255
EphB1_integrin_caveolae_membrane_microdomain	batch3_WT_2	-0.18559937126204773	-0.192052153431255
EphB1_integrin_caveolae_membrane_microdomain	batch3_WT_3	-0.1865855664700449	-0.192052153431255
EphB1_JAK_STAT_inflammatory	batch1_KO_1	-0.25498178940270044	-0.26448163830186466
EphB1_JAK_STAT_inflammatory	batch1_KO_2	-0.2508955163339815	-0.26448163830186466
EphB1_JAK_STAT_inflammatory	batch1_WT_1	-0.2245297536058912	-0.26448163830186466
EphB1_JAK_STAT_inflammatory	batch1_WT_2	-0.21124828301966672	-0.26448163830186466
EphB1_JAK_STAT_inflammatory	batch1_WT_3	-0.21210452182374911	-0.26448163830186466
EphB1_JAK_STAT_inflammatory	batch2_KO_1	-0.3055899647430854	-0.26448163830186466
EphB1_JAK_STAT_inflammatory	batch2_KO_2	-0.2604967957944734	-0.26448163830186466
EphB1_JAK_STAT_inflammatory	batch2_KO_3	-0.07697062769773717	-0.26448163830186466
EphB1_JAK_STAT_inflammatory	batch2_KO_4	-0.2555434858559505	-0.26448163830186466
EphB1_JAK_STAT_inflammatory	batch2_WT_1	-0.378878239590421	-0.26448163830186466
EphB1_JAK_STAT_inflammatory	batch2_WT_2	-0.23816840169683418	-0.26448163830186466
EphB1_JAK_STAT_inflammatory	batch2_WT_3	-0.28178933274842477	-0.26448163830186466
EphB1_JAK_STAT_inflammatory	batch2_WT_4	-0.23205262547593128	-0.26448163830186466
EphB1_JAK_STAT_inflammatory	batch3_KO_1	-0.34823094775328195	-0.26448163830186466
EphB1_JAK_STAT_inflammatory	batch3_KO_2	-0.2451329010090021	-0.26448163830186466
EphB1_JAK_STAT_inflammatory	batch3_KO_3	-0.24542734337805558	-0.26448163830186466
EphB1_JAK_STAT_inflammatory	batch3_WT_1	-0.27391129270026016	-0.26448163830186466
EphB1_JAK_STAT_inflammatory	batch3_WT_2	-0.2602681805362371	-0.26448163830186466
EphB1_JAK_STAT_inflammatory	batch3_WT_3	-0.47870885912477684	-0.26448163830186466
EphB1_MAPK_ERK_p38_JNK	batch1_KO_1	-0.5176142098472101	-0.48013668545282145
EphB1_MAPK_ERK_p38_JNK	batch1_KO_2	-0.4825531876074424	-0.48013668545282145
EphB1_MAPK_ERK_p38_JNK	batch1_WT_1	-0.45883893468921777	-0.48013668545282145
EphB1_MAPK_ERK_p38_JNK	batch1_WT_2	-0.5136361653754472	-0.48013668545282145
EphB1_MAPK_ERK_p38_JNK	batch1_WT_3	-0.4355636883074792	-0.48013668545282145
EphB1_MAPK_ERK_p38_JNK	batch2_KO_1	-0.462057810900089	-0.48013668545282145
EphB1_MAPK_ERK_p38_JNK	batch2_KO_2	-0.46510943028606583	-0.48013668545282145
EphB1_MAPK_ERK_p38_JNK	batch2_KO_3	-0.5811872538904558	-0.48013668545282145
EphB1_MAPK_ERK_p38_JNK	batch2_KO_4	-0.48287351892244673	-0.48013668545282145
EphB1_MAPK_ERK_p38_JNK	batch2_WT_1	-0.4367704480087735	-0.48013668545282145
EphB1_MAPK_ERK_p38_JNK	batch2_WT_2	-0.47256196062352573	-0.48013668545282145
EphB1_MAPK_ERK_p38_JNK	batch2_WT_3	-0.5318792137778897	-0.48013668545282145
EphB1_MAPK_ERK_p38_JNK	batch2_WT_4	-0.4372855397139283	-0.48013668545282145
EphB1_MAPK_ERK_p38_JNK	batch3_KO_1	-0.4047436917294251	-0.48013668545282145
EphB1_MAPK_ERK_p38_JNK	batch3_KO_2	-0.5022485042298743	-0.48013668545282145
EphB1_MAPK_ERK_p38_JNK	batch3_KO_3	-0.4609822315170763	-0.48013668545282145
EphB1_MAPK_ERK_p38_JNK	batch3_WT_1	-0.49220672526554377	-0.48013668545282145
EphB1_MAPK_ERK_p38_JNK	batch3_WT_2	-0.49587728063396347	-0.48013668545282145
EphB1_MAPK_ERK_p38_JNK	batch3_WT_3	-0.4822487344569943	-0.48013668545282145
EphB1_mito_stress_cell_death	batch1_KO_1	0.05423236759567935	0.01604233136762159
EphB1_mito_stress_cell_death	batch1_KO_2	-0.005881742594500638	0.01604233136762159
EphB1_mito_stress_cell_death	batch1_WT_1	-0.01170542986244591	0.01604233136762159
EphB1_mito_stress_cell_death	batch1_WT_2	-4.836030558295646e-5	0.01604233136762159
EphB1_mito_stress_cell_death	batch1_WT_3	-0.10288661603404041	0.01604233136762159
EphB1_mito_stress_cell_death	batch2_KO_1	-0.002692853768954117	0.01604233136762159
EphB1_mito_stress_cell_death	batch2_KO_2	0.027059479499955276	0.01604233136762159
EphB1_mito_stress_cell_death	batch2_KO_3	0.3630776236197892	0.01604233136762159
EphB1_mito_stress_cell_death	batch2_KO_4	0.015706852282349054	0.01604233136762159
EphB1_mito_stress_cell_death	batch2_WT_1	-0.04298164549428783	0.01604233136762159
EphB1_mito_stress_cell_death	batch2_WT_2	0.047220527941981075	0.01604233136762159
EphB1_mito_stress_cell_death	batch2_WT_3	0.00437242331584565	0.01604233136762159
EphB1_mito_stress_cell_death	batch2_WT_4	0.03851882842999089	0.01604233136762159
EphB1_mito_stress_cell_death	batch3_KO_1	-0.045017589256625745	0.01604233136762159
EphB1_mito_stress_cell_death	batch3_KO_2	0.04694434857271828	0.01604233136762159
EphB1_mito_stress_cell_death	batch3_KO_3	0.04254851724769255	0.01604233136762159
EphB1_mito_stress_cell_death	batch3_WT_1	0.009072463019834873	0.01604233136762159
EphB1_mito_stress_cell_death	batch3_WT_2	0.02378562548594492	0.01604233136762159
EphB1_mito_stress_cell_death	batch3_WT_3	-0.09093369080463995	0.01604233136762159
EphB1_NFkB_inflammation_ROS	batch1_KO_1	-0.3675956481430613	-0.37214120697229275
EphB1_NFkB_inflammation_ROS	batch1_KO_2	-0.363161887113383	-0.37214120697229275
EphB1_NFkB_inflammation_ROS	batch1_WT_1	-0.3439566570591776	-0.37214120697229275
EphB1_NFkB_inflammation_ROS	batch1_WT_2	-0.3312941564900805	-0.37214120697229275
EphB1_NFkB_inflammation_ROS	batch1_WT_3	-0.3119483424497737	-0.37214120697229275
EphB1_NFkB_inflammation_ROS	batch2_KO_1	-0.3752112155199764	-0.37214120697229275
EphB1_NFkB_inflammation_ROS	batch2_KO_2	-0.3604289964172156	-0.37214120697229275
EphB1_NFkB_inflammation_ROS	batch2_KO_3	-0.20449748683331884	-0.37214120697229275
EphB1_NFkB_inflammation_ROS	batch2_KO_4	-0.366637029344563	-0.37214120697229275
EphB1_NFkB_inflammation_ROS	batch2_WT_1	-0.4846649211779917	-0.37214120697229275
EphB1_NFkB_inflammation_ROS	batch2_WT_2	-0.3505103425666007	-0.37214120697229275
EphB1_NFkB_inflammation_ROS	batch2_WT_3	-0.37286300779857157	-0.37214120697229275
EphB1_NFkB_inflammation_ROS	batch2_WT_4	-0.34640968022116136	-0.37214120697229275
EphB1_NFkB_inflammation_ROS	batch3_KO_1	-0.4316491368765293	-0.37214120697229275
EphB1_NFkB_inflammation_ROS	batch3_KO_2	-0.35813683692677795	-0.37214120697229275
EphB1_NFkB_inflammation_ROS	batch3_KO_3	-0.3468489045172103	-0.37214120697229275
EphB1_NFkB_inflammation_ROS	batch3_WT_1	-0.37589892125519586	-0.37214120697229275
EphB1_NFkB_inflammation_ROS	batch3_WT_2	-0.3683189423020773	-0.37214120697229275
EphB1_NFkB_inflammation_ROS	batch3_WT_3	-0.6058319660680238	-0.37214120697229275
EphB1_PGC1_NRF_mito_biogenesis	batch1_KO_1	-0.1802908251847208	-0.19036425453906225
EphB1_PGC1_NRF_mito_biogenesis	batch1_KO_2	-0.17014521714972214	-0.19036425453906225
EphB1_PGC1_NRF_mito_biogenesis	batch1_WT_1	-0.1582940658807545	-0.19036425453906225
EphB1_PGC1_NRF_mito_biogenesis	batch1_WT_2	-0.230797707800559	-0.19036425453906225
EphB1_PGC1_NRF_mito_biogenesis	batch1_WT_3	-0.33420198259109246	-0.19036425453906225
EphB1_PGC1_NRF_mito_biogenesis	batch2_KO_1	-0.1858001693882017	-0.19036425453906225
EphB1_PGC1_NRF_mito_biogenesis	batch2_KO_2	-0.2035696017162502	-0.19036425453906225
EphB1_PGC1_NRF_mito_biogenesis	batch2_KO_3	-0.3661387433820674	-0.19036425453906225
EphB1_PGC1_NRF_mito_biogenesis	batch2_KO_4	-0.1767489953326947	-0.19036425453906225
EphB1_PGC1_NRF_mito_biogenesis	batch2_WT_1	-0.06362218381211193	-0.19036425453906225
EphB1_PGC1_NRF_mito_biogenesis	batch2_WT_2	-0.1766100491340851	-0.19036425453906225
