M	sample_left_out	beta_M_loo	beta_M_full
EphB1_AMPK_energy_sensing	batch1_KO_1	0.6761108570095822	0.6942556119657135
EphB1_AMPK_energy_sensing	batch1_KO_2	0.7874709281273087	0.6942556119657135
EphB1_AMPK_energy_sensing	batch1_WT_1	0.6871143170151376	0.6942556119657135
EphB1_AMPK_energy_sensing	batch1_WT_2	0.6904241424338741	0.6942556119657135
EphB1_AMPK_energy_sensing	batch1_WT_3	0.7553136991301398	0.6942556119657135
EphB1_AMPK_energy_sensing	batch2_KO_1	0.7214304288818634	0.6942556119657135
EphB1_AMPK_energy_sensing	batch2_KO_2	0.7630475311283869	0.6942556119657135
EphB1_AMPK_energy_sensing	batch2_KO_3	0.5624023304946792	0.6942556119657135
EphB1_AMPK_energy_sensing	batch2_KO_4	0.6796745897384893	0.6942556119657135
EphB1_AMPK_energy_sensing	batch2_WT_1	0.6574379105450793	0.6942556119657135
EphB1_AMPK_energy_sensing	batch2_WT_2	0.7029785051781043	0.6942556119657135
EphB1_AMPK_energy_sensing	batch2_WT_3	0.6948836857517536	0.6942556119657135
EphB1_AMPK_energy_sensing	batch2_WT_4	0.6975529790329127	0.6942556119657135
EphB1_AMPK_energy_sensing	batch3_KO_1	0.6581170700891251	0.6942556119657135
EphB1_AMPK_energy_sensing	batch3_KO_2	0.7025593036813745	0.6942556119657135
EphB1_AMPK_energy_sensing	batch3_KO_3	0.693611464914609	0.6942556119657135
EphB1_AMPK_energy_sensing	batch3_WT_1	0.6932600108346507	0.6942556119657135
EphB1_AMPK_energy_sensing	batch3_WT_2	0.7031224733197374	0.6942556119657135
EphB1_AMPK_energy_sensing	batch3_WT_3	0.6282460690966242	0.6942556119657135
EphB1_cytoskeleton_FAQ_Src_Rho	batch1_KO_1	0.44974555434850083	0.46860533367437346
EphB1_cytoskeleton_FAQ_Src_Rho	batch1_KO_2	0.49032223484885634	0.46860533367437346
EphB1_cytoskeleton_FAQ_Src_Rho	batch1_WT_1	0.46307054364297784	0.46860533367437346
EphB1_cytoskeleton_FAQ_Src_Rho	batch1_WT_2	0.44814048992610506	0.46860533367437346
EphB1_cytoskeleton_FAQ_Src_Rho	batch1_WT_3	0.3718616960169932	0.46860533367437346
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_KO_1	0.46954269423674794	0.46860533367437346
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_KO_2	0.4654319266288794	0.46860533367437346
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_KO_3	0.36994068873505886	0.46860533367437346
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_KO_4	0.45195298809557016	0.46860533367437346
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_WT_1	0.4803872808454817	0.46860533367437346
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_WT_2	0.6422995709382833	0.46860533367437346
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_WT_3	0.47086823634690156	0.46860533367437346
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_WT_4	0.5047520561198956	0.46860533367437346
EphB1_cytoskeleton_FAQ_Src_Rho	batch3_KO_1	0.4839753944952229	0.46860533367437346
EphB1_cytoskeleton_FAQ_Src_Rho	batch3_KO_2	0.47295740921862084	0.46860533367437346
EphB1_cytoskeleton_FAQ_Src_Rho	batch3_KO_3	0.4898505503946681	0.46860533367437346
EphB1_cytoskeleton_FAQ_Src_Rho	batch3_WT_1	0.4829147047287563	0.46860533367437346
EphB1_cytoskeleton_FAQ_Src_Rho	batch3_WT_2	0.5568732313949849	0.46860533367437346
EphB1_cytoskeleton_FAQ_Src_Rho	batch3_WT_3	0.33174261076563594	0.46860533367437346
EphB1_integrin_caveolae_membrane_microdomain	batch1_KO_1	0.5568467427898629	0.5796026772555647
EphB1_integrin_caveolae_membrane_microdomain	batch1_KO_2	0.6744339666185578	0.5796026772555647
EphB1_integrin_caveolae_membrane_microdomain	batch1_WT_1	0.5725427113711037	0.5796026772555647
EphB1_integrin_caveolae_membrane_microdomain	batch1_WT_2	0.6858762184955249	0.5796026772555647
EphB1_integrin_caveolae_membrane_microdomain	batch1_WT_3	0.5120973654736221	0.5796026772555647
EphB1_integrin_caveolae_membrane_microdomain	batch2_KO_1	0.5801534863213142	0.5796026772555647
EphB1_integrin_caveolae_membrane_microdomain	batch2_KO_2	0.6036966532310778	0.5796026772555647
EphB1_integrin_caveolae_membrane_microdomain	batch2_KO_3	0.41569334119328893	0.5796026772555647
EphB1_integrin_caveolae_membrane_microdomain	batch2_KO_4	0.5561248587321773	0.5796026772555647
EphB1_integrin_caveolae_membrane_microdomain	batch2_WT_1	0.5386997223889785	0.5796026772555647
EphB1_integrin_caveolae_membrane_microdomain	batch2_WT_2	0.5619328889578958	0.5796026772555647
EphB1_integrin_caveolae_membrane_microdomain	batch2_WT_3	0.5801871199057151	0.5796026772555647
