Y_axis	outcome_col	M_type	M_axis	mediator_col	n	group_ref	group_focal	a	se_a	p_a	b	se_b	p_b	c_total	se_c_total	p_c_total	c_prime	se_c_prime	p_c_prime	ab	ab_boot_mean	ab_boot_ci_low	ab_boot_ci_high	a_boot_mean	a_boot_ci_low	a_boot_ci_high	b_boot_mean	b_boot_ci_low	b_boot_ci_high	z_sobel	p_sobel
CL	CL_score	M1_ephb1_downstream_or_other	NA	EphB1_JAK_STAT_inflammatory	5	WT	HO	-0.7037419617071937	0.5436241546620191	0.2861154331173244	-123387440.9638254	914041856.3666376	0.9049788365647012	-1099832037.387457	705910040.0885181	0.2171063105782819	-1186664957.1413698	1074469484.3621974	0.3845064880672616	86832919.75391304	-28926605754.414143	-233215707538.63535	2183756910.5408196	-0.7011693982788867	-1.135349604399133	0.13833184921842284	25527281370.399807	-1933615132.0629756	205413122649.61777	0.13426301904754318	0.8931945949454665
CL_fraction	CL_fraction_score	M1_ephb1_downstream_or_other	NA	EphB1_JAK_STAT_inflammatory	5	WT	HO	-0.7037419617071937	0.5436241546620191	0.2861154331173244	-1.3805453430059628e-4	0.00167416081958572	0.9417894827413325	-0.00220455738275071	0.00128928212702396	0.1858113848753924	-0.00230171215154199	0.00196800037113193	0.3626957936652672	9.715476879127469e-5	-0.05528821543805194	-0.42677253866359743	0.00117751961244299	-0.7011693982788867	-1.135349604399133	0.13833184921842284	0.04958412767329392	-0.00152499164147342	0.3758952634589222	0.08229513662549813	0.9344120217147612
Membrane context	Membrane context_score	M1_ephb1_downstream_or_other	NA	EphB1_PGC1_NRF_mito_biogenesis	5	WT	HO	-0.3604665804603276	0.1637603324147411	0.11504462319456513	-0.18800784977348184	1.1605093537167337	0.886189768507086	0.16274547835513403	0.27052249671773143	0.5898659613234188	0.09497493164758808	0.5323038885201531	0.8748285795741941	0.06777054670754597	-0.1830850660591928	-4.369433966112965	1.3390848730391012	-0.3601139198172406	-0.603763167327167	-0.180903740859271	1.1431190484545009	-2.217897588829693	14.725144902479531	0.16156759868462575	0.8716463745193923
Oxidation	Oxidation_score	M1_ephb1_downstream_or_other	NA	EphB1_JAK_STAT_inflammatory	5	WT	HO	-0.7037419617071937	0.5436241546620191	0.2861154331173244	-0.1263345807282794	0.4512627008946199	0.8058082845694379	0.10234776187439153	0.35366354069594236	0.7911279302439007	0.01344081620121634	0.5304658623287881	0.9820863736747388	0.08890694567317518	-11.892726776188873	-111.66517340886956	12.176093227540605	-0.7011693982788867	-1.135349604399133	0.13833184921842284	9.836731671865673	-10.781363988151629	98.35311782044974	0.27363233764837364	0.7843671802651284
PC	PC_score	M1_ephb1_downstream_or_other	NA	EphB1_PGC1_NRF_mito_biogenesis	5	WT	HO	-0.3604665804603276	0.1637603324147411	0.11504462319456513	12533789223.847862	56440300360.09405	0.8448725599059338	48328589348.0347	13231298656.569124	0.03542792960423716	52846601489.76564	25888107885.304203	0.17799132914225663	-4518012141.730943	-29765241888.90305	-214261142228.80185	25422400177.485554	-0.3601139198172406	-0.603763167327167	-0.180903740859271	117791828114.24524	-51815494415.01257	722067524251.1077	-0.22095002843701153	0.8251313428414677
PE	PE_score	M1_ephb1_downstream_or_other	NA	EphB1_integrin_caveolae_membrane_microdomain	5	WT	HO	0.4623044610755857	0.3059648299969014	0.2279665257804965	-1029171385.3438282	11039519458.098524	0.9342219559829174	-2922792841.341205	4787163447.31416	0.5846432162893991	-2447002318.685413	7763607077.719951	0.7824650567219317	-475790522.6557924	-14634163736.16564	-175879026011.91797	8719254004.772894	0.4627616789915715	0.12809973927770055	0.9191959595067022	-28119883510.25161	-191340077371.86496	33355531219.22911	-0.09304916136567352	0.9258645054809318
Remodeling	Remodeling_score	M1_ephb1_downstream_or_other	NA	EphB1_JAK_STAT_inflammatory	5	WT	HO	-0.7037419617071937	0.5436241546620191	0.2861154331173244	-0.1263345807282794	0.4512627008946199	0.8058082845694379	0.10234776187439153	0.35366354069594236	0.7911279302439007	0.01344081620121634	0.5304658623287881	0.9820863736747388	0.08890694567317518	-11.892726776188873	-111.66517340886956	12.176093227540605	-0.7011693982788867	-1.135349604399133	0.13833184921842284	9.836731671865673	-10.781363988151629	98.35311782044974	0.27363233764837364	0.7843671802651284
Supply	Supply_score	M1_ephb1_downstream_or_other	NA	EphB1_mito_stress_cell_death	5	WT	HO	-0.4123816138220984	0.4371452825058097	0.41509568131246233	0.11668546910540573	0.3563649056992422	0.7744370713273253	-0.16498469403937993	0.22613867738180696	0.5184545242851035	-0.11686575198010413	0.3072490900653998	0.7402737087137162	-0.04811894205927582	-0.14803682413122174	-1.2720789013083291	0.25807362293931585	-0.4175380588535826	-0.9959866264721012	0.16975145967941907	0.24544484682099996	-0.7326577064641571	1.2772048012473616	-0.30932909778663537	0.757071198781841
Synthesis	Synthesis_score	M1_ephb1_downstream_or_other	NA	EphB1_PGC1_NRF_mito_biogenesis	5	WT	HO	-0.3604665804603276	0.1637603324147411	0.11504462319456513	-0.5146995652971897	1.9291707693585387	0.8146152248666249	-0.38782247123451186	0.4546617803223049	0.4563540033145877	-0.573354463501607	0.8848744724548087	0.583468096685873	0.18553199226709507	-0.3062376782562259	-7.3902319370619	1.8293801171159192	-0.3601139198172406	-0.603763167327167	-0.180903740859271	1.9560492439640595	-3.029963098303108	24.905339451319463	0.2648598981323311	0.7911173919900654
Transport	Transport_score	M1_ephb1_downstream_or_other	NA	EphB1_NFkB_inflammation_ROS	5	WT	HO	-0.33489180392307116	0.5000076108707254	0.5509439532328261	0.6391562496700154	0.5604168417620317	0.3722453164536291	0.7111413117656326	0.5090889765492134	0.25684514445723466	0.9251895012063288	0.5203660808741413	0.2173835227292066	-0.2140481894406963	-1.8745727171181397	-23.43936646972418	0.542604871753588	-0.3249421707312958	-1.0194796559170205	0.4349178216267622	3.268223958271909	-0.09025720878217364	22.99149996145883	-0.5775460787223384	0.5635706204062758
mito_lipid_mass	mito_lipid_mass_score	M1_ephb1_downstream_or_other	NA	EphB1_PGC1_NRF_mito_biogenesis	5	WT	HO	-0.3604665804603276	0.1637603324147411	0.11504462319456513	24950535971.35395	70036139781.61137	0.75572302138048	44305964469.30608	16726537587.313915	0.07707010940438734	53299798851.55244	32124264594.07276	0.23894738343184097	-8993834382.246359	-42217080086.580315	-247829954363.5483	26373598520.138016	-0.3601139198172406	-0.603763167327167	-0.180903740859271	158986662557.41254	-53754210353.208305	835195592262.1658	-0.3516761618134771	0.7250811400702633
sum_CL	sum_CL_score	M1_ephb1_downstream_or_other	NA	EphB1_JAK_STAT_inflammatory	5	WT	HO	-0.7037419617071937	0.5436241546620191	0.2861154331173244	-123387440.9638254	914041856.3666376	0.9049788365647012	-1099832037.387457	705910040.0885181	0.2171063105782819	-1186664957.1413698	1074469484.3621974	0.3845064880672616	86832919.75391304	-28926605754.414143	-233215707538.63535	2183756910.5408196	-0.7011693982788867	-1.135349604399133	0.13833184921842284	25527281370.399807	-1933615132.0629756	205413122649.61777	0.13426301904754318	0.8931945949454665
