iter	ab
1	0.16635814019993547
2	NA
3	-1.0531026943915827
4	-0.10046959692144503
5	-0.13059215794136023
6	-0.1991203123441807
7	-0.41949741193661205
8	0.07032323142065022
9	NA
10	0.12144236422299906
11	0.16635814019993547
12	0.12144236422299903
13	-0.09856428462677795
14	NA
15	0.550857904570379
16	-1.0531026943915816
17	-0.4194974119366122
18	-0.9527876866857735
19	9.274074691840844e-5
20	-0.4194974119366122
21	NA
22	0.10044926242886668
23	-0.08102975182502754
24	0.1004492624288668
25	-0.22310085071743446
26	NA
27	0.10158719809661086
28	-0.3354997379180699
29	0.10158719809661068
30	-0.2571084418188536
31	NA
32	-0.06603591785869115
33	-0.010328581478401757
34	1.0845324074445926
35	-0.9026301828328691
36	0.18971704384037139
37	0.1663581401999353
38	0.1224298425472511
39	0.020935385197558762
40	-0.13059215794136023
41	-0.4547082828008224
42	-1.7799235401051041
43	-0.2560273746629017
44	NA
45	0.07670479019612653
46	-1.7799235401051048
47	-0.006733230708980937
48	-1.6294510285463921
49	0.1663581401999353
50	-0.2730564153830279
51	-1.7799235401051041
52	NA
53	-0.3354997379180701
54	-0.015829365970083362
55	-1.0531026943915822
56	NA
57	NA
58	-0.2159838779417817
59	-1.2035752059502953
60	0.13285116477257125
61	-0.19912031234418082
62	NA
63	0.9416224165941307
64	NA
65	1.0845324074445928
66	-0.06603591785869116
67	NA
68	NA
69	NA
70	-0.2231008507174339
71	-0.07818822613421256
72	0.586585402282994
73	-0.25710844181885456
74	-0.10046959692144501
75	NA
76	-0.09856428462677802
77	-0.3354997379180702
78	NA
79	0.06461910897159182
80	-1.0531026943915824
81	-1.1534177020973906
82	-0.1004695969214453
83	-1.0531026943915813
84	-0.08102975182502752
85	-0.4194974119366122
86	-1.6796085323992962
87	-1.8802385478109125
88	0.05219935187351925
89	NA
90	0.08189584198490248
91	0.07670479019612673
92	NA
93	-0.2571084418188538
94	-0.2542464557355881
95	1.0845324074445926
96	-0.07818822613421272
97	-0.10046959692144518
98	NA
99	NA
100	-0.20755994392296082
101	-0.2231008507174344
102	NA
103	-0.2730564153830275
104	NA
105	-0.25602737466290193
106	-0.05556554759766743
107	0.08189584198490248
108	0.1663581401999352
109	-0.20755994392296084
110	-0.10785278297176
111	NA
112	-0.13059215794136023
113	-0.0781882261342127
114	0.08189584198490252
115	0.07670479019612732
116	NA
117	-0.07818822613421272
118	-0.006733230708980902
119	-0.27305641538302755
120	-0.25710844181885406
121	-0.22310085071743435
122	-0.2730564153830275
123	-0.10046959692144514
124	-0.13059215794136014
125	0.16635814019993525
126	NA
127	NA
128	-0.055565547597667464
129	NA
130	0.041778029648199044
131	-0.11391572384682865
132	-0.25602737466290193
133	-0.25602737466290204
134	1.0130774120193609
135	-0.12579640774125503
136	0.041778029648199155
137	-0.4149721011732381
138	-0.9527876866857734
139	-0.2950570791038609
140	-0.06603591785869115
141	0.06472176471625077
142	0.06461910897159209
143	NA
144	-1.6294510285463923
145	-0.06603591785869115
146	-0.1305921579413602
147	0.1663581401999352
148	-0.0781882261342127
149	-0.2231008507174343
150	NA
151	-0.3354997379180699
152	-0.2560273746629017
153	-0.10046959692144523
154	0.06461910897159232
155	0.10158719809661076
156	0.12242984254725128
157	-1.6294510285463901
158	-0.08102975182502761
159	-0.21598387794178175
160	-0.13059215794136014
161	-0.08102975182502754
162	0.7294953931334583
163	0.06472176471625093
164	-0.21629119303531766
165	-0.41949741193661205
166	0.658040397708226
167	0.08189584198490242
168	-0.19912031234418084
169	NA
170	-0.21598387794178164
171	1.0845324074445926
172	-0.06603591785869109
173	-1.9303960516638166
174	-1.6796085323992962
175	0.07032323142065028
176	0.9416224165941296
177	-0.13059215794136023
178	0.6580403977082253
179	-0.12579640774125497
180	0.1015871980966108
181	-0.25602737466290176
182	-0.33549973791807025
183	0.04177802964819909
184	0.06472176471625077
185	-0.25602737466290193
186	0.06461910897159241
187	-0.21598387794178167
188	-0.10046959692144518
189	-0.9026301828328692
190	-0.27305641538302766
191	-0.006733230708980992
192	1.0130774120193606
193	-1.0531026943915824
194	-0.2560273746629017
195	0.6580403977082263
196	-0.2075599439229609
197	NA
198	-0.10046959692144512
199	-0.13503791085283565
200	-0.21598387794178184
201	-0.3354997379180702
202	0.08074455364597047
203	NA
204	NA
205	-0.22310085071743396
206	NA
207	-0.3354997379180699
208	0.10158719809661076
209	0.9416224165941288
210	-0.11391572384682862
211	-0.10785278297176
212	-0.19912031234418087
213	0.08189584198490248
214	-1.8802385478109118
215	NA
216	0.6580403977082259
217	-0.21598387794178175
218	1.0130774120193613
219	-0.21598387794178178
220	-0.1350379108528358
221	-0.29505707910386064
222	-0.21598387794178162
223	-0.4194974119366122
224	-0.08102975182502761
225	-1.6796085323992962
