axis	batch	z_rna	z_lipid	p_rna	p_lipid	n_omics	Z_combined	p_combined
Membrane context	batch1	-0.08271653665362981	2.2422344605237803	0.9340769355853185	0.024946223055344455	2	1.5270097680624777	0.1267585824317398
Membrane context	batch2	-1.7109759678757834	1.7850058188423048	0.08708554930212736	0.07426037304989794	2	0.052347009628656745	0.9582521963706724
Membrane context	batch3	-1.5150170487903842	1.0502125542272682	0.12976808667697964	0.29362039881537433	2	-0.32866641003156505	0.7424078459654158
Oxidation	batch1	1.0823026679506873	-0.5129924036466468	0.279118060891168	0.6079566344245073	2	0.4025631484884927	0.6872696241814601
Oxidation	batch2	1.107760662177988	0.2706978811341595	0.267965193185837	0.7866234065988955	2	0.9747173835605496	0.3297004676127817
Oxidation	batch3	-0.00115359549122775	0.6697748188314725	0.9990795641722876	0.5030013482211241	2	0.4727866010691321	0.6363654343599141
Remodeling	batch1	0.7991598327804031	-0.5129924036466468	0.42419773942920325	0.6079566344245073	2	0.20235092969519988	0.8396423872328455
Remodeling	batch2	-1.2144527244025645	1.1369686188437729	0.2245748922671286	0.25555140450557945	2	-0.05478953647479579	0.9563061365654487
Remodeling	batch3	1.230855414069376	-1.1557543929094658	0.2183769457271984	0.2477816326624559	2	0.05310444133620684	0.9576486927736895
Supply	batch1	0.9782404609488116	-0.80890130239841	0.32795540934529516	0.4185719197189482	2	0.1197408673314129	0.9046884257926833
Supply	batch2	-0.4174978494439805	1.5692200121982776	0.6763142969878156	0.11659668271610782	2	0.8143905513263999	0.41542124980122175
Supply	batch3	0.6286067701845907	-1.0233993624717146	0.5296065269341264	0.30611906071947725	2	-0.2791605191684412	0.7801216407716056
Synthesis	batch1	-0.17025405857746728	-0.10222209648966143	0.8648103396397356	0.9185803891621257	2	-0.192669736959604	0.8472176257535076
Synthesis	batch2	-0.02980734476601257	-1.4491819511575583	0.9762207010946713	0.14728677657015052	2	-1.0458033604498744	0.2956518293536016
Synthesis	batch3	0.09450619733757123	-0.4544073286310937	0.9247070597177365	0.6495356785411783	2	-0.25448853049435965	0.7991181638261345
Transport	batch1	0.32102907355963606	1.5540576923175693	0.7481883585363391	0.12017065574795278	2	1.3258865674649238	0.18487727295126793
Transport	batch2	-1.0331155979880478	-0.7041098596365389	0.30154980467339393	0.4813643604289935	2	-1.2284039015362485	0.2192953840030828
Transport	batch3	1.2300841485184983	1.6019333103991262	0.21866559531601085	0.10917035751605193	2	2.002538749639347	0.04522681989028337
Membrane context	batch4	NA	0.5494001441509279	NA	0.5827308751844101	1	0.5494001441509279	0.5827308751844101
Oxidation	batch4	NA	-0.7287954840078895	NA	0.466126774422768	1	-0.7287954840078895	0.466126774422768
Remodeling	batch4	NA	0.6632609779056742	NA	0.5071634238396534	1	0.6632609779056742	0.5071634238396534
Supply	batch4	NA	-0.7287954840078895	NA	0.466126774422768	1	-0.7287954840078895	0.466126774422768
Synthesis	batch4	NA	0.01649582353922443	NA	0.9868388339686591	1	0.01649582353922443	0.9868388339686591
Transport	batch4	NA	NA	NA	NA	0	NA	NA
