pathway	axis	gene_symbol	GeneID	gene_effect_sign	weight	IC_stat	IC_pvalue	IC_padj	LFC_batch1	LFC_batch2	LFC_batch3	signed_LFC_batch1	signed_LFC_batch2	signed_LFC_batch3	n_batches	mean_LFC_signed	mean_abs_LFC	sd_LFC_signed	se_LFC_signed	z_meta	sign_consistency	min_abs_LFC	p_use	p_evidence	stability	evidence_factor	score	eligible	hard_fail_reason	rank_in_set	Tier	recommended_topN
EphB1_PI3K_AKT_FOXO_suppression_footprint	EphB1_signaling	Bnip3	ENSMUSG00000078566	1	1	0.7920580410692821	0.6729871652066508	0.8425002992549363	0.3595239113881248	0.4478033339912543	0.22385218062711357	0.3595239113881248	0.4478033339912543	0.22385218062711357	3	0.34372647533549755	0.34372647533549755	0.11280824000337857	0.06512986773275853	5.277555249242623	1	0.22385218062711357	0.8425002992549363	0.0744299361957995	0.8986274220947214	1.00744299361958	0.31118104346284226	TRUE		1	Tier1	TRUE
EphB1_PI3K_AKT_FOXO_suppression_footprint	EphB1_signaling	Trib3	ENSMUSG00000032715	1	1	0.6984535532586165	0.7052331817305154	0.8621713508629545	-0.1861902783910136	-0.3382192152983884	-0.42331532326152865	-0.1861902783910136	-0.3382192152983884	-0.42331532326152865	3	-0.3159082723169769	0.3159082723169769	0.12012662218988258	0.06935513765816918	-4.554936850878945	1	0.1861902783910136	0.8621713508629545	0.0644064124364899	0.8927562118334164	1.006440641243649	0.2838455205566699	TRUE		2	Tier1	TRUE
EphB1_PI3K_AKT_FOXO_suppression_footprint	EphB1_signaling	Klf2	ENSMUSG00000055148	1	1	22.436558970189537	1.34265094908275e-5	0.0018384977231829	-0.14087849756654688	0.22305132734180896	-0.7513074009459002	-0.14087849756654688	0.22305132734180896	-0.7513074009459002	3	-0.22304485705687938	0.3717457419514187	0.49234867301692953	0.2842576389014793	-0.7846573901016055	0.6666666666666666	0.14087849756654688	0.0018384977231829	2.735536903630156	0.6700846913867666	1.2735536903630156	0.21149577624370436	TRUE		3	Tier2	FALSE
EphB1_PI3K_AKT_FOXO_suppression_footprint	EphB1_signaling	Fasl	ENSMUSG00000000817	1	1	1.8510110997448024	0.39633100333102184	NA	-0.2356310581637547	5.436707223211931	-3.605356677182297	-0.2356310581637547	5.436707223211931	-3.605356677182297	3	0.5319064959552932	3.092564986185994	4.569635140516189	2.638280078475395	0.20161107999673425	0.3333333333333333	0.2356310581637547	0.39633100333102184	0.4019419532804187	0.17954497462958066	1.0401941953280418	0.1925241699648857	TRUE		4	Tier2	FALSE
EphB1_PI3K_AKT_FOXO_suppression_footprint	EphB1_signaling	Cdkn1a	ENSMUSG00000023067	1	1	29.35640945732314	4.220235458298611e-7	2.2391541361609657e-4	-0.17173268270614978	1.6997737209054666	-1.2677394129187245	-0.17173268270614978	1.6997737209054666	-1.2677394129187245	3	0.08676720842686417	1.0464152721767803	1.500549964226984	0.8663429257789326	0.10015342175138257	0.3333333333333333	0.17173268270614978	2.2391541361609657e-4	3.6499160099582038	0.3999120250769068	1.3649916009958205	0.19040452141983333	TRUE		5	Tier2	FALSE
EphB1_PI3K_AKT_FOXO_suppression_footprint	EphB1_signaling	Pmaip1	ENSMUSG00000024521	1	1	8.25067204697234	0.01615806418678796	0.12618409548580367	0.1951892568762386	0.5598916732686603	-0.3296139871957858	0.1951892568762386	0.5598916732686603	-0.3296139871957858	3	0.14182231431637105	0.3615649724468949	0.4471477417120808	0.2581608690450031	0.5493563561395057	0.6666666666666666	0.1951892568762386	0.12618409548580367	0.8989953810509683	0.6910144494417186	1.0898995381050969	0.18153847742762372	TRUE		6	Tier2	FALSE
EphB1_PI3K_AKT_FOXO_suppression_footprint	EphB1_signaling	Klf4	ENSMUSG00000003032	1	1	1.7834127229431544	0.409955623104774	0.6626998434914826	-0.264730912135643	-0.03163413165836951	-0.2701869417423427	-0.264730912135643	-0.03163413165836951	-0.2701869417423427	3	-0.18885066184545174	0.18885066184545174	0.1361808359785495	0.07862404231068383	-2.4019454647117495	1	0.03163413165836951	0.6626998434914826	0.17868313197536334	0.8801415833939303	1.0178683131975363	0.16918530794731465	TRUE		7	Tier2	FALSE
EphB1_PI3K_AKT_FOXO_suppression_footprint	EphB1_signaling	Sesn3	ENSMUSG00000032009	1	1	4.336593009355312	0.11437228370707364	0.3452419994913534	-0.4411135868813672	0.3464129962863987	-0.20091139344800563	-0.4411135868813672	0.3464129962863987	-0.20091139344800563	3	-0.09853732801432472	0.3294793255385905	0.40362094439466184	0.233030660896829	-0.4228513434030499	0.6666666666666666	0.20091139344800563	0.3452419994913534	0.46187637681020466	0.7124430594979964	1.0461876376810204	0.163718083872761	TRUE		8	Tier2	FALSE
EphB1_PI3K_AKT_FOXO_suppression_footprint	EphB1_signaling	Dusp10	ENSMUSG00000039384	1	1	2.322316000039365	0.3131233739847131	0.5767079901638807	-0.043744155750412	0.20891559831905365	-0.36142091335763216	-0.043744155750412	0.20891559831905365	-0.36142091335763216	3	-0.06541649026299684	0.20469355580903262	0.28578523702301634	0.16499818352565948	-0.39646794204145697	0.6666666666666666	0.043744155750412	0.5767079901638807	0.23904403149174847	0.777734858984152	1.0239044031491749	0.10866855368702506	TRUE		9	Tier2	FALSE
EphB1_PI3K_AKT_FOXO_suppression_footprint	EphB1_signaling	Gadd45b	ENSMUSG00000015312	1	1	2.607052440465907	0.27157247828286374	0.5360218461839401	0.18917074806336068	0.085853808715043	-0.11005056333541216	0.18917074806336068	0.085853808715043	-0.11005056333541216	3	0.05499133114766384	0.12835837337127196	0.15197933310157036	0.08774530887745145	0.6267153406966393	0.6666666666666666	0.085853808715043	0.5360218461839401	0.2708175097777661	0.868071128765493	1.0270817509777765	0.07629450696242153	TRUE		10	Tier2	FALSE
