pathway	axis	gene_symbol	GeneID	gene_effect_sign	weight	IC_stat	IC_pvalue	IC_padj	LFC_batch1	LFC_batch2	LFC_batch3	signed_LFC_batch1	signed_LFC_batch2	signed_LFC_batch3	n_batches	mean_LFC_signed	mean_abs_LFC	sd_LFC_signed	se_LFC_signed	z_meta	sign_consistency	min_abs_LFC	p_use	p_evidence	stability	evidence_factor	score	eligible	hard_fail_reason	rank_in_set	Tier	recommended_topN	corr_IFN	corr_UPR	max_abs_confound_corr	confound_flag	recommended_topN_filtered	filtered_rank
EphB1_PI3K_AKT_mTORC1_SREBP_anabolic_footprint	EphB1_signaling	Scd1	ENSMUSG00000037071	-1	1	5.541042286600572	0.06262935736591889	0.2530679462794822	-0.678058156237405	0.744442382266186	1.6754093584797485	0.678058156237405	-0.744442382266186	-1.6754093584797485	3	-0.5805978615028432	1.0326366323277798	1.1852578225623998	0.6843089229155113	-0.8484440901766923	0.6666666666666666	0.678058156237405	0.2530679462794822	0.5967628593281669	0.4576119072427872	1.0596762859328166	0.3338311052560868	TRUE	NA	1	Tier2	FALSE	0.54784367717198	-0.14995816649993304	0.54784367717198	FALSE	FALSE	1
EphB1_PI3K_AKT_mTORC1_SREBP_anabolic_footprint	EphB1_signaling	Mvd	ENSMUSG00000006517	-1	1	32.6323875941076	8.202893409909376e-8	9.366160079378676e-5	-0.12557973759154936	-0.5865035447266816	0.5849443477784806	0.12557973759154936	0.5865035447266816	-0.5849443477784806	3	0.04237964484658345	0.43234254336557054	0.5901391639166771	0.3407170051466342	0.12438370907945888	0.6666666666666666	0.12557973759154936	9.366160079378676e-5	4.028438423855165	0.6288757755873999	1.4028438423855163	0.2542792431943668	TRUE	NA	2	Tier2	FALSE	0.9985537814371755	-0.9303351195756001	0.9985537814371755	TRUE	FALSE	2
EphB1_PI3K_AKT_mTORC1_SREBP_anabolic_footprint	EphB1_signaling	Insig1	ENSMUSG00000045294	-1	1	16.948671151487986	2.08757853007353e-4	0.01072714708496668	-0.3185512499531748	-0.4693248243359769	0.5661679877253096	0.3185512499531748	0.4693248243359769	-0.5661679877253096	3	0.0739026955212807	0.4513480206714871	0.5594202600432516	0.32298143772610177	0.228814064491076	0.6666666666666666	0.3185512499531748	0.01072714708496668	1.969515764520552	0.6412639527796467	1.1969515764520553	0.23095836263162195	TRUE	NA	3	Tier2	FALSE	0.9775615333128109	-0.8011999917029632	0.9775615333128109	TRUE	FALSE	3
EphB1_PI3K_AKT_mTORC1_SREBP_anabolic_footprint	EphB1_signaling	Ldlr	ENSMUSG00000032193	-1	1	29.848919522250924	3.299054425986526e-7	2.1043254302899767e-4	-0.30527431297622	-0.36531785190507654	0.2852325058510037	0.30527431297622	0.36531785190507654	-0.2852325058510037	3	0.1284532196767643	0.3186082235774334	0.35951803330410576	0.20756783330665032	0.6188493545962583	0.6666666666666666	0.2852325058510037	2.1043254302899767e-4	3.676887096433603	0.7355547889053368	1.3676887096433603	0.21368203510933015	TRUE	NA	4	Tier2	FALSE	0.9654042853232184	-0.7692910893282563	0.9654042853232184	TRUE	FALSE	4
EphB1_PI3K_AKT_mTORC1_SREBP_anabolic_footprint	EphB1_signaling	Acaca	ENSMUSG00000020532	-1	1	18.141009785039273	1.1500845707531006e-4	0.00767981467009533	-0.28309985749111605	-0.3523865356818912	0.4033567117349545	0.28309985749111605	0.3523865356818912	-0.4033567117349545	3	0.0773765604793509	0.3462810349693206	0.4177661070552315	0.24119737436663993	0.32080183576846133	0.6666666666666666	0.28309985749111605	0.00767981467009533	2.1146492602713645	0.705334959711407	1.2114649260271364	0.19726212305688193	TRUE	NA	5	Tier2	FALSE	0.9652522515056698	-0.7689188526170782	0.9652522515056698	TRUE	FALSE	5
EphB1_PI3K_AKT_mTORC1_SREBP_anabolic_footprint	EphB1_signaling	Me1	ENSMUSG00000032418	-1	1	0.12778097301887217	0.9381077293574428	0.9768309262082512	0.22404675689666867	0.22001357343231756	0.08230650815004684	-0.22404675689666867	-0.22001357343231756	-0.08230650815004684	3	-0.17545561282634436	0.17545561282634436	0.08069469263037782	0.04658910251232275	-3.766022596806552	1	0.08230650815004684	0.9768309262082512	0.01018059919731071	0.9253307218211932	1.0010180599197311	0.1625197554417209	TRUE	NA	6	Tier2	FALSE	-0.9314557307621808	0.6955138986507272	0.9314557307621808	TRUE	FALSE	6
EphB1_PI3K_AKT_mTORC1_SREBP_anabolic_footprint	EphB1_signaling	Dhcr7	ENSMUSG00000058454	-1	1	13.168630277710491	0.00138187343502374	0.03251681100069042	-0.13634482387346727	-0.3713747650350397	0.16768162331563366	0.13634482387346727	0.3713747650350397	-0.16768162331563366	3	0.1133459885309578	0.22513373740804687	0.270263126000851	0.1560364885486211	0.7264069422815747	0.6666666666666666	0.13634482387346727	0.03251681100069042	1.4878920532598294	0.7872384701493178	1.148789205325983	0.13573629063940643	TRUE	NA	7	Tier2	FALSE	0.9947591420196517	-0.9470636702217932	0.9947591420196517	TRUE	FALSE	7
EphB1_PI3K_AKT_mTORC1_SREBP_anabolic_footprint	EphB1_signaling	Fasn	ENSMUSG00000025153	-1	1	9.743873754424442	0.0076585173055295	0.08432868007198334	-0.2638503552396932	-0.612618455343608	0.9131319340604048	0.2638503552396932	0.612618455343608	-0.9131319340604048	3	-0.01222104115903455	0.596533581547902	0.7994623972544186	0.46156983026182213	-0.02647712297855831	0.3333333333333333	0.2638503552396932	0.08432868007198334	1.0740246972768377	0.555721531900738	1.107402469727684	0.12237039286281298	TRUE	NA	8	Tier2	FALSE	0.9918809185329368	-0.8489643176566736	0.9918809185329368	TRUE	FALSE	8
EphB1_PI3K_AKT_mTORC1_SREBP_anabolic_footprint	EphB1_signaling	Srebf2	ENSMUSG00000022463	-1	1	6.836691900653079	0.03276658770468468	0.180822765138508	-0.0861309001637342	-0.2944566265028665	0.2727357735140243	0.0861309001637342	0.2944566265028665	-0.2727357735140243	3	0.03595058438419217	0.2177744333935417	0.28690652263068384	0.1656455580730848	0.21703319305628677	0.6666666666666666	0.0861309001637342	0.180822765138508	0.7427468938183575	0.7770572162116393	1.0742746893818358	0.12119479681187437	TRUE	NA	9	Tier2	FALSE	0.9997087728626027	-0.9190535802511666	0.9997087728626027	TRUE	FALSE	9
EphB1_PI3K_AKT_mTORC1_SREBP_anabolic_footprint	EphB1_signaling	Sqle	ENSMUSG00000022351	-1	1	13.025462220704412	0.00148442006688663	0.03366578881786458	-0.11447867099028834	-0.6220722009698615	0.8086953832974292	0.11447867099028834	0.6220722009698615	-0.8086953832974292	3	-0.02404817044575976	0.5150820850858597	0.725373169062794	0.4187943944213361	-0.05742237901485768	0.3333333333333333	0.11447867099028834	0.03366578881786458	1.472811205190323	0.5795847634185655	1.1472811205190323	0.11416737015362688	TRUE	NA	10	Tier2	FALSE	0.9999496216152545	-0.9134064132648536	0.9999496216152545	TRUE	FALSE	10
