pathway	axis	gene_symbol	GeneID	gene_effect_sign	weight	IC_stat	IC_pvalue	IC_padj	LFC_batch1	LFC_batch2	LFC_batch3	signed_LFC_batch1	signed_LFC_batch2	signed_LFC_batch3	n_batches	mean_LFC_signed	mean_abs_LFC	sd_LFC_signed	se_LFC_signed	z_meta	sign_consistency	min_abs_LFC	p_use	p_evidence	stability	evidence_factor	score	eligible	hard_fail_reason	rank_in_set	Tier	recommended_topN	corr_IFN	corr_UPR	max_abs_confound_corr	confound_flag	recommended_topN_filtered
EphB1_PI3K_AKT_mTOR_capacity_2	EphB1_signaling	Inpp4b	ENSMUSG00000037940	-1	1	23.569742377968396	7.618956126032566e-6	0.00136074556410941	1.7475593391967972	0.565506838943548	4.805347422662372	-1.7475593391967972	-0.565506838943548	-4.805347422662372	3	-2.3728045336009056	2.3728045336009056	2.187980966252076	1.2632313998474138	-1.8783609510399424	1	0.565506838943548	0.00136074556410941	2.866223072763926	0.31367815886794387	1.2866223072763927	0.9576290686975468	TRUE	NA	1	Tier1	TRUE	0.997271519674613	-0.8760696582026475	0.997271519674613	TRUE	FALSE
EphB1_PI3K_AKT_mTOR_capacity_2	EphB1_signaling	Deptor	ENSMUSG00000022419	-1	1	3.890966493422013	0.14291814192572583	0.3877078355382307	0.17530394989586714	-0.3004593457431133	0.41762105277214245	-0.17530394989586714	0.3004593457431133	-0.41762105277214245	3	-0.09748855230829878	0.29779478280370764	0.3653098571887167	0.21091174438552937	-0.4622243896010727	0.6666666666666666	0.17530394989586714	0.3877078355382307	0.4114954218542044	0.7324344688018884	1.0411495421854204	0.15139366845252383	TRUE	NA	2	Tier2	FALSE	0.9352876327706104	-0.9977205001997258	0.9977205001997258	TRUE	FALSE
EphB1_PI3K_AKT_mTOR_capacity_2	EphB1_signaling	Phlpp2	ENSMUSG00000031732	-1	1	4.727211376825267	0.09408038633271032	0.3128922351345555	0.2854281728087089	0.12472888911057949	-0.32014108521323714	-0.2854281728087089	-0.12472888911057949	0.32014108521323714	3	-0.03000532556868375	0.24343271571084185	0.31370040912129715	0.18111501565107663	-0.16567000511150268	0.6666666666666666	0.12472888911057949	0.3128922351345555	0.5046052143547922	0.7612085625130285	1.0504605214354792	0.1297690380062165	TRUE	NA	3	Tier2	FALSE	-0.8216870415613166	0.5099324148861495	0.8216870415613166	TRUE	FALSE
EphB1_PI3K_AKT_mTOR_capacity_2	EphB1_signaling	Tsc1	ENSMUSG00000026812	1	1	5.203376923106532	0.07414827594689474	0.2761224720270081	0.17661788592406152	-0.1092379600293102	0.4049539765759157	0.17661788592406152	-0.1092379600293102	0.4049539765759157	3	0.157444634156889	0.2302699408430958	0.2576316112299764	0.1487436800953839	1.0584962941344835	0.6666666666666666	0.1092379600293102	0.2761224720270081	0.5588982471811568	0.7951454075029093	1.0558898247181157	0.1288876039181162	TRUE	NA	4	Tier2	FALSE	-0.9711751071369122	0.9822724866723613	0.9822724866723613	TRUE	FALSE
EphB1_PI3K_AKT_mTOR_capacity_2	EphB1_signaling	Phlpp1	ENSMUSG00000044340	-1	1	0.19459733115451172	0.9072849908682888	0.964243376192064	-0.10691195176750087	-0.08642769171677073	-0.20505043626267927	0.10691195176750087	0.08642769171677073	0.20505043626267927	3	0.13279669324898363	0.13279669324898363	0.06340625964424462	0.03660762107391194	3.627569597621843	1	0.08642769171677073	0.964243376192064	0.01581333580972072	0.9403743780242024	1.001581333580972	0.12507608255377092	TRUE	NA	5	Tier2	FALSE	-0.9829054773261506	0.8171046177618964	0.9829054773261506	TRUE	FALSE
EphB1_PI3K_AKT_mTOR_capacity_2	EphB1_signaling	Pik3cb	ENSMUSG00000032462	-1	1	3.2900617142269084	0.19300660707510212	0.45071888106188857	-0.07032924841026235	-0.2519921468316489	0.15973224702513805	0.07032924841026235	0.2519921468316489	-0.15973224702513805	3	0.05419638273892439	0.16068454742234978	0.20633576069179507	0.11912800697885408	0.45494241122110407	0.6666666666666666	0.07032924841026235	0.45071888106188857	0.34609424852046594	0.8289566077578037	1.0346094248520463	0.09187367376387928	TRUE	NA	6	Tier2	FALSE	0.9941277974803834	-0.9489727886348511	0.9941277974803834	TRUE	FALSE
EphB1_PI3K_AKT_mTOR_capacity_2	EphB1_signaling	Pik3ca	ENSMUSG00000027665	-1	1	0.2153878121311834	0.8979023968482847	0.960749790551266	0.074871305884821715	0.07612270325256075	0.10079787283097465	-0.074871305884821715	-0.07612270325256075	-0.10079787283097465	3	-0.08393062732278571	0.08393062732278571	0.01462085760542575	0.00844135607427574	-9.942789592605452	1	0.074871305884821715	0.960749790551266	0.017389701542187	0.9855898314174892	1.0017389701542188	0.08286502248450849	TRUE	NA	7	Tier2	FALSE	0.9248261889621118	-0.6826038922426362	0.9248261889621118	TRUE	FALSE
EphB1_PI3K_AKT_mTOR_capacity_2	EphB1_signaling	Tsc2	ENSMUSG00000002496	1	1	0.43807979804986985	0.8032896670397716	0.9133645624084769	-0.0272439932128686	-0.10287143171893316	-0.09508590675575276	-0.0272439932128686	-0.10287143171893316	-0.09508590675575276	3	-0.07506711056251818	0.07506711056251818	0.0415985758712584	0.02401694897717611	-3.1255889594409463	1	0.0272439932128686	0.9133645624084769	0.03935584257466233	0.9600627565792678	1.0039355842574662	0.07235277125649249	TRUE	NA	8	Tier2	FALSE	0.08237906417752577	0.3398769234635546	0.3398769234635546	FALSE	FALSE
EphB1_PI3K_AKT_mTOR_capacity_2	EphB1_signaling	Mtor	ENSMUSG00000028991	-1	1	0.42285694619656056	0.8094271748002022	0.9166425300825318	-0.02693320794312261	-0.08720661102984523	-0.09155215969882986	0.02693320794312261	0.08720661102984523	0.09155215969882986	3	0.06856399289059924	0.06856399289059924	0.03611872976470675	0.02085315835244079	3.2879428493177896	1	0.02693320794312261	0.9166425300825318	0.03779999636937332	0.9651403562862828	1.0037799996369374	0.06642401375608932	TRUE	NA	9	Tier2	FALSE	-0.2341864430426233	-0.19168323387970565	0.2341864430426233	FALSE	FALSE
EphB1_PI3K_AKT_mTOR_capacity_2	EphB1_signaling	Rictor	ENSMUSG00000050310	-1	1	6.729194154027482	0.034575944754645	0.18645119967329704	-0.1038264498445387	0.00184389990027175	0.16672513724203564	0.1038264498445387	-0.00184389990027175	-0.16672513724203564	3	-0.02158086243258956	0.09079849566228204	0.1363513882814093	0.07872251072865084	-0.2741383910756707	0.6666666666666666	0.00184389990027175	0.18645119967329704	0.729434817935193	0.8800094850171091	1.0729434817935193	0.05715465308950535	TRUE	NA	10	Tier2	FALSE	0.734870773970731	-0.38593171478524824	0.734870773970731	TRUE	FALSE
