pathway	axis	gene_symbol	GeneID	gene_effect_sign	weight	IC_stat	IC_pvalue	IC_padj	LFC_batch1	LFC_batch2	LFC_batch3	signed_LFC_batch1	signed_LFC_batch2	signed_LFC_batch3	n_batches	mean_LFC_signed	mean_abs_LFC	sd_LFC_signed	se_LFC_signed	z_meta	sign_consistency	min_abs_LFC	p_use	p_evidence	stability	evidence_factor	score	eligible	hard_fail_reason	rank_in_set	Tier	recommended_topN
EphB1_mito_stress_cell_death	EphB1_signaling	Bnip3	ENSMUSG00000078566	1	0.7	0.7920580410692821	0.6729871652066508	0.8425002992549363	0.3595239113881248	0.4478033339912543	0.22385218062711357	0.3595239113881248	0.4478033339912543	0.22385218062711357	3	0.34372647533549755	0.34372647533549755	0.11280824000337857	0.06512986773275853	5.277555249242623	1	0.22385218062711357	0.8425002992549363	0.0744299361957995	0.8986274220947214	1.00744299361958	0.31118104346284226	TRUE		1	Tier1	TRUE
EphB1_mito_stress_cell_death	EphB1_signaling	Mlkl	ENSMUSG00000012519	1	0.5	11.273578700617575	NA	NA	-0.04300481085930313	1.2642689850931323	-2.2523210629434685	-0.04300481085930313	1.2642689850931323	-2.2523210629434685	3	-0.3436856295698797	1.186531619631968	1.7774723929059666	1.026224164521388	-0.3349030762008691	0.6666666666666666	0.04300481085930313	NA	0	0.3600395822309999	1	0.28479889909077694	TRUE		2	Tier2	FALSE
EphB1_mito_stress_cell_death	EphB1_signaling	Casp1	ENSMUSG00000025888	1	0.5	6.71272742114644	0.03486179632341246	0.1871731512873512	-0.05766241456996247	0.8176167004496471	-0.926334471088658	-0.05766241456996247	0.8176167004496471	-0.926334471088658	3	-0.05546006173632445	0.6005378620360892	0.8719776717014946	0.5034365434842011	-0.11016296384146954	0.6666666666666666	0.05766241456996247	0.1871731512873512	0.7277564477133042	0.53419440579709	1.0727756447713304	0.22943378791115288	TRUE		3	Tier2	FALSE
EphB1_mito_stress_cell_death	EphB1_signaling	Ddit3	ENSMUSG00000025408	1	1	9.82948454154399	0.00733760876497897	0.08252499530385675	-0.15433360744899902	0.6781500536596009	-0.7167262792657498	-0.15433360744899902	0.6781500536596009	-0.7167262792657498	3	-0.06430327768504933	0.5164033134581166	0.7017827949208163	0.40517448556018126	-0.1587051504394352	0.6666666666666666	0.15433360744899902	0.08252499530385675	1.083414491711485	0.5876190563123714	1.1083414491711485	0.224216313426604	TRUE		4	Tier2	FALSE
EphB1_mito_stress_cell_death	EphB1_signaling	Gsdmd	ENSMUSG00000022575	1	0.5	11.0595525274274	0.00396687652403336	0.06019406518201857	-0.11101355402500096	0.4558908978959541	-0.8636418317748055	-0.11101355402500096	0.4558908978959541	-0.8636418317748055	3	-0.17292149596795078	0.47684876123192016	0.6619411613767496	0.3821719077085599	-0.45247045238034295	0.6666666666666666	0.11101355402500096	0.06019406518201857	1.220446325781348	0.6017060189854143	1.1220446325781348	0.21462676919664136	TRUE		5	Tier2	FALSE
EphB1_mito_stress_cell_death	EphB1_signaling	Bcl2	ENSMUSG00000057329	-1	0.7	4.523141964951435	0.10418668067224304	0.3295902406552567	-0.466766552710371	-0.40052512268225854	0.3633369153743998	0.466766552710371	0.40052512268225854	-0.3633369153743998	3	0.16798492000607657	0.41020953025567647	0.4613286803647708	0.26634823779349526	0.630696570015674	0.6666666666666666	0.3633369153743998	0.3295902406552567	0.4820256564783183	0.6843087482210944	1.0482025656478318	0.19616060728143261	TRUE		6	Tier2	FALSE
EphB1_mito_stress_cell_death	EphB1_signaling	Bak1	ENSMUSG00000057789	1	0.7	9.767636836400923	0.00756806076395885	0.08379421924503277	-0.13127675566342314	0.4606967773618429	-0.6357062872184915	-0.13127675566342314	0.4606967773618429	-0.6357062872184915	3	-0.10209542184002392	0.4092266067479192	0.5487837303419916	0.31684043443983584	-0.3222297748092837	0.6666666666666666	0.13127675566342314	0.08379421924503277	1.0767859412334444	0.645667939563897	1.1076785941233445	0.19511721512394298	TRUE		7	Tier2	FALSE
EphB1_mito_stress_cell_death	EphB1_signaling	Pycard	ENSMUSG00000030793	1	0.5	8.663367036429747	0.01314539833352056	0.11190505921671942	0.07314602257336757	0.31667034512445724	-0.3457995852316564	0.07314602257336757	0.31667034512445724	-0.3457995852316564	3	0.014672260822056138	0.2452053176431604	0.33508355341096696	0.19346057976283812	0.07584108783320484	0.6666666666666666	0.07314602257336757	0.11190505921671942	0.9511502786169951	0.7490167918293418	1.0951150278616995	0.13408800149702085	TRUE		8	Tier2	FALSE
EphB1_mito_stress_cell_death	EphB1_signaling	Atf4	ENSMUSG00000042406	1	1	0.5936751793939834	0.7431647001653421	0.8818010077500885	-0.05422183694376994	-0.12590524170858	-0.14865642042834284	-0.05422183694376994	-0.12590524170858	-0.14865642042834284	3	-0.10959449969356426	0.10959449969356426	0.04928491522044542	0.02845465906951205	-3.851548508307031	1	0.05422183694376994	0.8818010077500885	0.05462940918393925	0.9530299973767459	1.005462940918394	0.10501743270293804	TRUE		9	Tier2	FALSE
EphB1_mito_stress_cell_death	EphB1_signaling	Tnfrsf1a	ENSMUSG00000030341	1	0.5	4.819276582580301	0.08984778742269138	0.3047794600439836	-0.11899135752388884	0.0940420318220926	-0.2513188580937465	-0.11899135752388884	0.0940420318220926	-0.2513188580937465	3	-0.09208939459851424	0.15478408247990932	0.17424500789920427	0.10060040221555407	-0.9153978768513918	0.6666666666666666	0.0940420318220926	0.3047794600439836	0.5160143046885228	0.8516110294469642	1.0516014304688523	0.09241181153547558	TRUE		10	Tier2	FALSE
