pathway	axis	gene_symbol	GeneID	gene_effect_sign	weight	IC_stat	IC_pvalue	IC_padj	LFC_batch1	LFC_batch2	LFC_batch3	signed_LFC_batch1	signed_LFC_batch2	signed_LFC_batch3	n_batches	mean_LFC_signed	mean_abs_LFC	sd_LFC_signed	se_LFC_signed	z_meta	sign_consistency	min_abs_LFC	p_use	p_evidence	stability	evidence_factor	score	eligible	hard_fail_reason	rank_in_set	Tier	recommended_topN	corr_IFN	corr_UPR	max_abs_confound_corr	confound_flag	recommended_topN_filtered
Rerouting to TG & breakdown	NA	Dgat2	ENSMUSG00000030747	1	1	4.46687232266828	0.10715957918046176	0.33383395851439857	1.1733173089527051	1.562772101703604	-0.6121061265793952	1.1733173089527051	1.562772101703604	-0.6121061265793952	3	0.7079944280256381	1.116065179078568	1.1597059388485291	0.669556535975006	1.057407985712004	0.6666666666666666	0.6121061265793952	0.33383395851439857	0.4764694877727456	0.46302599905483466	1.0476469487772746	0.3609263830678784	TRUE	NA	1	Tier2	FALSE	0.9840756539431371	-0.8208159620126725	0.9840756539431371	TRUE	FALSE
Rerouting to TG & breakdown	NA	Mgll	ENSMUSG00000033174	1	0.5	21.663202165301183	1.976493632844042e-5	0.00236266584088126	0.2689155984826429	-0.5106601684260804	0.8243407913945103	0.2689155984826429	-0.5106601684260804	0.8243407913945103	3	0.19419874048369096	0.5346388527677446	0.6706294411464511	0.3871880883723918	0.501561763689676	0.6666666666666666	0.2689155984826429	0.00236266584088126	2.6265976976327567	0.5985767851150529	1.2626597697632755	0.26938627805615784	TRUE	NA	2	Tier2	FALSE	-0.9630133400130314	0.9877893166203174	0.9877893166203174	TRUE	FALSE
Rerouting to TG & breakdown	NA	Lipe	ENSMUSG00000003123	1	0.3	6.303964689385651	0.04276726332295774	0.20807447343017096	-0.11831251187806076	0.3192118542924277	-0.4744623906771151	-0.11831251187806076	0.3192118542924277	-0.4744623906771151	3	-0.09118768275424938	0.30399558561586787	0.3975317836956442	0.22951508232811227	-0.3973058407721043	0.6666666666666666	0.11831251187806076	0.20807447343017096	0.681781195753817	0.7155472323896577	1.0681781195753817	0.15490234845496856	TRUE	NA	3	Tier2	FALSE	0.9724409663787941	-0.9812518107026387	0.9812518107026387	TRUE	FALSE
Rerouting to TG & breakdown	NA	Fitm2	ENSMUSG00000048486	1	0.5	3.806321138306856	0.14909664350723095	0.39635310588464767	-0.06654114456382257	-0.03703208650023523	-0.3085113787501073	-0.06654114456382257	-0.03703208650023523	-0.3085113787501073	3	-0.1373615366047217	0.1373615366047217	0.14895266857879	0.08599786330047753	-1.5972668544656616	1	0.03703208650023523	0.39635310588464767	0.4019177342580703	0.8703578723020516	1.040191773425807	0.1243587697464503	TRUE	NA	4	Tier2	FALSE	0.9693581324379352	-0.7791732349809436	0.9693581324379352	TRUE	FALSE
Rerouting to TG & breakdown	NA	Pla2g6	ENSMUSG00000042632	1	0.7	3.959592163560416	0.13809739501481016	0.3814251617596215	-0.09720059073266868	-0.2232003624455703	0.23531727212032932	-0.09720059073266868	-0.2232003624455703	0.23531727212032932	3	-0.02836122701930321	0.1852394084328561	0.23688340760661716	0.13676469914823627	-0.2073724228250091	0.6666666666666666	0.09720059073266868	0.3814251617596215	0.4185906609152999	0.808483640293155	1.04185906609153	0.10402131458595988	TRUE	NA	5	Tier2	FALSE	-0.9969425808052516	0.8739739238749052	0.9969425808052516	TRUE	FALSE
Rerouting to TG & breakdown	NA	Acsl3	ENSMUSG00000032883	1	0.7	8.193129453097072	0.01662970497359136	0.12805716005711773	-0.01613299378552828	-0.5107557021031914	0.9228590114901796	-0.01613299378552828	-0.5107557021031914	0.9228590114901796	3	0.13199010520048662	0.4832492357929664	0.7281951154036714	0.4204236459008803	0.3139454844830607	0.3333333333333333	0.01613299378552828	0.12805716005711773	0.8925961338190426	0.578638367327187	1.0892596133819044	0.10152863548319016	TRUE	NA	6	Tier2	FALSE	-0.999999599911778	0.9089019252456557	0.999999599911778	TRUE	FALSE
Rerouting to TG & breakdown	NA	Lpin1	ENSMUSG00000020593	1	0.3	5.881006059743584	0.05283914238502649	0.2320400990893959	-0.04291527106387986	-0.3651634324791647	0.573070792422099	-0.04291527106387986	-0.3651634324791647	0.573070792422099	3	0.0549973629596848	0.3270498319883812	0.4767190242900876	0.27523385700169783	0.199820485600162	0.3333333333333333	0.04291527106387986	0.2320400990893959	0.6344369577451721	0.6771768925241118	1.0634436957745173	0.0785071671977587	TRUE	NA	7	Tier2	FALSE	-0.9999965300271113	0.9081750141229064	0.9999965300271113	TRUE	FALSE
Rerouting to TG & breakdown	NA	Acsl1	ENSMUSG00000018796	1	0.7	7.312044395203202	0.02583507542904537	0.1606596264494256	0.1263219823757339	0.11561568107089894	-0.701443394537726	0.1263219823757339	0.11561568107089894	-0.701443394537726	3	-0.1531685770303644	0.31446035266145295	0.4748500951420937	0.2741548302550072	-0.5586937019781614	0.3333333333333333	0.11561568107089894	0.1606596264494256	0.7940932471519107	0.6780350106724952	1.079409324715191	0.07671546598397343	TRUE	NA	8	Tier2	FALSE	0.9363597842277827	-0.705305699547123	0.9363597842277827	TRUE	FALSE
Rerouting to TG & breakdown	NA	Plin3	ENSMUSG00000024197	1	0.5	7.465601603548009	0.0239257306775259	0.1544320744129428	0.10628693150053396	-0.04834072203067638	0.16125452469785112	0.10628693150053396	-0.04834072203067638	0.16125452469785112	3	0.07306691138923624	0.10529405940968715	0.1086748322517424	0.0627434436546809	1.164534605262859	0.6666666666666666	0.04834072203067638	0.1544320744129428	0.8112624948429087	0.9019777223308828	1.0811262494842908	0.06845179381789065	TRUE	NA	9	Tier2	FALSE	-0.9029926541215897	0.9998896929622683	0.9998896929622683	TRUE	FALSE
Rerouting to TG & breakdown	NA	Pnpla8	ENSMUSG00000036257	1	0.5	8.979031841728641	0.01122607680403973	0.10322820438450184	-0.04179133412388721	-0.1206037753996071	0.2759770775117618	-0.04179133412388721	-0.1206037753996071	0.2759770775117618	3	0.03786065599608917	0.14612406234508538	0.20994623805043952	0.12121251705377052	0.31234939193032335	0.3333333333333333	0.04179133412388721	0.10322820438450184	0.9862016269816472	0.8264830027582701	1.0986201626981646	0.04422643918635063	TRUE	NA	10	Tier2	FALSE	-0.9874504287450412	0.8321339392835193	0.9874504287450412	TRUE	FALSE
