gene_symbol	ensembl_gene_id
Ephb1	ENSMUSG00000032537
Efnb1	ENSMUSG00000031217
Efnb2	ENSMUSG00000001300
Ptk2	ENSMUSG00000022607
Src	ENSMUSG00000027646
Yes1	ENSMUSG00000014932
Lyn	ENSMUSG00000042228
Rhoa	ENSMUSG00000007815
Rac1	ENSMUSG00000001847
Cdc42	ENSMUSG00000006699
Vav2	ENSMUSG00000009621
Vav3	ENSMUSG00000033721
Arhgef1	ENSMUSG00000040940
Arhgef12	ENSMUSG00000059495
Arhgap5	ENSMUSG00000035133
Arhgap35	ENSMUSG00000058230
Pik3ca	ENSMUSG00000027665
Pik3cb	ENSMUSG00000032462
Pik3cd	ENSMUSG00000039936
Pik3r1	ENSMUSG00000041417
Pik3r2	ENSMUSG00000031834
Akt1	ENSMUSG00000001729
Akt2	ENSMUSG00000004056
Akt3	ENSMUSG00000019699
Mtor	ENSMUSG00000028991
Rptor	ENSMUSG00000025583
Rictor	ENSMUSG00000050310
Mlst8	ENSMUSG00000024142
Prkaa1	ENSMUSG00000050697
Prkaa2	ENSMUSG00000028518
Tsc1	ENSMUSG00000026812
Tsc2	ENSMUSG00000002496
Rps6kb1	ENSMUSG00000020516
Rps6kb2	ENSMUSG00000024830
Eif4ebp1	ENSMUSG00000031490
Hras	ENSMUSG00000025499
Kras	ENSMUSG00000030265
Nras	ENSMUSG00000027852
Braf	ENSMUSG00000002413
Raf1	ENSMUSG00000000441
Map2k1	ENSMUSG00000004936
Map2k2	ENSMUSG00000035027
Mapk1	ENSMUSG00000063358
Mapk3	ENSMUSG00000063065
Mapk14	ENSMUSG00000053436
Mapk11	ENSMUSG00000053137
Mapk12	ENSMUSG00000022610
Mapk8	ENSMUSG00000021936
Mapk9	ENSMUSG00000020366
Mapk10	ENSMUSG00000046709
Elk1	ENSMUSG00000009406
Fos	ENSMUSG00000021250
Jun	ENSMUSG00000052684
Jund	ENSMUSG00000071076
Atf2	ENSMUSG00000027104
Jak1	ENSMUSG00000028530
Jak2	ENSMUSG00000024789
Jak3	ENSMUSG00000031805
Tyk2	ENSMUSG00000032175
Stat1	ENSMUSG00000026104
Stat2	ENSMUSG00000040033
Stat3	ENSMUSG00000004040
Stat5a	ENSMUSG00000004043
Stat5b	ENSMUSG00000020919
Stat6	ENSMUSG00000002147
Ifit1	ENSMUSG00000034459
Ifit3	ENSMUSG00000074896
Isg15	ENSMUSG00000035692
Irf7	ENSMUSG00000025498
Socs1	ENSMUSG00000038037
Socs3	ENSMUSG00000053113
Rela	ENSMUSG00000024927
Relb	ENSMUSG00000002983
Nfkb1	ENSMUSG00000028163
Nfkb2	ENSMUSG00000025225
Nfkbia	ENSMUSG00000021025
Nfkbib	ENSMUSG00000030595
Nfkbie	ENSMUSG00000023947
Chuk	ENSMUSG00000025199
Ikbkb	ENSMUSG00000031537
Ikbkg	ENSMUSG00000004221
Tnf	ENSMUSG00000024401
Il1b	ENSMUSG00000027398
Il6	ENSMUSG00000025746
Ccl2	ENSMUSG00000035385
Cxcl10	ENSMUSG00000034855
Ppargc1a	ENSMUSG00000029167
Ppargc1b	ENSMUSG00000033871
Nrf1	ENSMUSG00000058440
Nfe2l2	ENSMUSG00000015839
Esrra	ENSMUSG00000024955
Esrrg	ENSMUSG00000026610
Creb1	ENSMUSG00000025958
Tfam	ENSMUSG00000003923
Tfb1m	ENSMUSG00000036983
Tfb2m	ENSMUSG00000026492
Ndufa9	ENSMUSG00000000399
Cox4i1	ENSMUSG00000031818
Atp5f1a	ENSMUSG00000025428
