gene_symbol	ensembl_gene_id
Pik3ca	ENSMUSG00000027665
Pik3cb	ENSMUSG00000032462
Pik3cd	ENSMUSG00000039936
Pik3r1	ENSMUSG00000041417
Pik3r2	ENSMUSG00000031834
Akt1	ENSMUSG00000001729
Akt2	ENSMUSG00000004056
Akt3	ENSMUSG00000019699
Mtor	ENSMUSG00000028991
Rptor	ENSMUSG00000025583
Rictor	ENSMUSG00000050310
Mlst8	ENSMUSG00000024142
Pten	ENSMUSG00000013663
Pik3ip1	ENSMUSG00000034614
Inpp4b	ENSMUSG00000037940
Phlpp1	ENSMUSG00000044340
Phlpp2	ENSMUSG00000031732
Rps6kb1	ENSMUSG00000020516
Rps6kb2	ENSMUSG00000024830
Eif4ebp1	ENSMUSG00000031490
Acly	ENSMUSG00000020917
Acaca	ENSMUSG00000020532
Fasn	ENSMUSG00000025153
Gpam	ENSMUSG00000024978
Agpat2	ENSMUSG00000026922
Lpin1	ENSMUSG00000020593
Chka	ENSMUSG00000024843
Pcyt1a	ENSMUSG00000005615
Cept1	ENSMUSG00000040774
Etnk1	ENSMUSG00000030275
Pcyt2	ENSMUSG00000025137
Cds1	ENSMUSG00000029330
Cdipt	ENSMUSG00000030682
Pgs1	ENSMUSG00000017715
Crls1	ENSMUSG00000027357
Ptdss1	ENSMUSG00000021518
Ptdss2	ENSMUSG00000025495
Dgat1	ENSMUSG00000022555
Dgat2	ENSMUSG00000030747
Acsl1	ENSMUSG00000018796
Acsl3	ENSMUSG00000032883
Plin2	ENSMUSG00000028494
Plin3	ENSMUSG00000024197
Fitm2	ENSMUSG00000048486
Pla2g6	ENSMUSG00000042632
Pnpla8	ENSMUSG00000036257
Pnpla2	ENSMUSG00000025509
Lipe	ENSMUSG00000003123
Mgll	ENSMUSG00000033174
Akt1s1	ENSMUSG00000011096
Deptor	ENSMUSG00000022419
Rheb	ENSMUSG00000028945
Tsc1	ENSMUSG00000026812
Tsc2	ENSMUSG00000002496
Srebf1	ENSMUSG00000020538
Srebf2	ENSMUSG00000022463
Insig1	ENSMUSG00000045294
Ldlr	ENSMUSG00000032193
Scd1	ENSMUSG00000037071
Hmgcs1	ENSMUSG00000093930
Hmgcr	ENSMUSG00000021670
Mvd	ENSMUSG00000006517
Fdft1	ENSMUSG00000021273
Sqle	ENSMUSG00000022351
Dhcr7	ENSMUSG00000058454
G6pdx	ENSMUSG00000031400
Me1	ENSMUSG00000032418
Idh1	ENSMUSG00000025950
Myc	ENSMUSG00000022346
Ncl	ENSMUSG00000026234
Npm1	ENSMUSG00000057113
Ddx21	ENSMUSG00000020075
Tcof1	ENSMUSG00000024613
Polr1a	ENSMUSG00000049553
Polr1c	ENSMUSG00000067148
Pes1	ENSMUSG00000020430
Wdr12	ENSMUSG00000026019
Rrp9	ENSMUSG00000041506
Eif4a1	ENSMUSG00000059796
Eef2	ENSMUSG00000034994
Txnip	ENSMUSG00000038393
Trib3	ENSMUSG00000032715
Sesn3	ENSMUSG00000032009
Bcl2l11	ENSMUSG00000027381
Fasl	ENSMUSG00000000817
Gadd45a	ENSMUSG00000036390
Gadd45b	ENSMUSG00000015312
Cdkn1a	ENSMUSG00000023067
Cdkn1b	ENSMUSG00000003031
Bnip3	ENSMUSG00000078566
Pmaip1	ENSMUSG00000024521
Dusp10	ENSMUSG00000039384
Klf2	ENSMUSG00000055148
Klf4	ENSMUSG00000003032
Stat1	ENSMUSG00000026104
Irf7	ENSMUSG00000025498
Isg15	ENSMUSG00000035692
Ifit1	ENSMUSG00000034459
Ifit3	ENSMUSG00000074896
Oas1a	ENSMUSG00000052776
Oas2	ENSMUSG00000032690
Mx1	ENSMUSG00000000386
Atf4	ENSMUSG00000042406
Ddit3	ENSMUSG00000025408
Hspa5	ENSMUSG00000026864
Xbp1	ENSMUSG00000020484
Ern1	ENSMUSG00000020715
Atf6	ENSMUSG00000026663
Herpud1	ENSMUSG00000031770
Ppp1r15a	ENSMUSG00000040435
