gene_symbol	ensembl_gene_id
Prkaa1	ENSMUSG00000050697
Prkaa2	ENSMUSG00000028518
Prkab1	ENSMUSG00000029513
Prkag2	ENSMUSG00000028944
Cpt1a	ENSMUSG00000024900
Acadl	ENSMUSG00000026003
Acadm	ENSMUSG00000062908
Slc27a1	ENSMUSG00000031808
Hk2	ENSMUSG00000000628
Mtor	ENSMUSG00000028991
Rptor	ENSMUSG00000025583
Rps6kb1	ENSMUSG00000020516
Srebf1	ENSMUSG00000020538
Fasn	ENSMUSG00000025153
Acaca	ENSMUSG00000020532
Scd1	ENSMUSG00000037071
Dgat2	ENSMUSG00000030747
Mlxipl	ENSMUSG00000005373
Ppara	ENSMUSG00000022383
Ppargc1a	ENSMUSG00000029167
Cpt2	ENSMUSG00000028607
Acox1	ENSMUSG00000020777
Nrf1	ENSMUSG00000058440
Nfe2l2	ENSMUSG00000015839
Tfam	ENSMUSG00000003923
Tfb1m	ENSMUSG00000036983
Tfb2m	ENSMUSG00000026492
Polg	ENSMUSG00000039176
Polg2	ENSMUSG00000020718
Tomm20	ENSMUSG00000093904
Tomm40	ENSMUSG00000002984
Timm23	ENSMUSG00000013701
Timm17a	ENSMUSG00000062580
Mfn2	ENSMUSG00000029020
Vapa	ENSMUSG00000024091
Rmdn3	ENSMUSG00000070730
Vps13d	ENSMUSG00000020220
Psen1	ENSMUSG00000019969
Hspa9	ENSMUSG00000024359
Vdac1	ENSMUSG00000020402
Stard7	ENSMUSG00000027367
Stard5	ENSMUSG00000046027
Stard3	ENSMUSG00000018167
Prelid1	ENSMUSG00000021486
Prelid2	ENSMUSG00000056671
Triap1	ENSMUSG00000029535
Pnpla8	ENSMUSG00000036257
Plscr3	ENSMUSG00000019461
Immt	ENSMUSG00000052337
Chchd3	ENSMUSG00000053768
Chchd6	ENSMUSG00000030086
Samm50	ENSMUSG00000022437
Dnm1l	ENSMUSG00000022789
Opa1	ENSMUSG00000038084
